out, in
Arsenal, Arsenal
Aston Villa, Aston Villa
Bournemouth, Bournemouth
Brentford, Brentford
Brighton, Brighton
Burnley, Burnley
Chelsea, Chelsea
Crystal Palace, Crystal Palace
Everton, Everton
Fulham, Fulham
Leeds, Leeds
Liverpool, Liverpool
Manchester City, Man.City
Manchester Utd, Man.Utd.
Newcastle, Newcastle
Nottingham, Nottingham Forest
Sunderland, Sunderland
Tottenham, Tottenham
West Ham, West Ham
Wolves, Wolves
Birmingham, Birmingham
Blackburn, Blackburn
Bristol City, Bristol City
Charlton, Charlton
Coventry, Coventry
Derby, Derby
Hull, Hull
Ipswich, Ipswich
Leicester, Leicester
Middlesbrough, Middlesbrough
Millwall, Millwall
Norwich, Norwich
Oxford Utd, Oxford Utd.
Portsmouth, Portsmouth
Preston, Preston
QPR, Q.P.R.
Sheffield Utd, Sheff.Utd.
Sheffield Wed, Sheff.Wed.
Southampton, Southampton
Stoke, Stoke
Swansea, Swansea
Watford, Watford
West Brom, W.B.A.
Wrexham, Wrexham
AFC Wimbledon, Wimbledon
Barnsley, Barnsley
Blackpool, Blackpool
Bolton, Bolton
Bradford City, Bradford City
Burton, Burton Albion
Cardiff, Cardiff
Doncaster, Doncaster
Exeter, Exeter
Huddersfield, Huddersfield
Leyton Orient, Leyton Orient
Lincoln, Lincoln
Luton, Luton
Mansfield, Mansfield
Northampton, Northampton
Peterborough, Peterborough
Plymouth, Plymouth
Port Vale, Port Vale
Reading, Reading
Rotherham, Rotherham
Stevenage, Stevenage
Stockport County, Stockport
Wigan, Wigan
Wycombe, Wycombe
Accrington, Accrington Stanley
Barnet, Barnet
Barrow, Barrow
Bristol Rovers, Bristol Rovers
Bromley, Bromley
Cambridge Utd, Cambridge Utd.
Cheltenham, Cheltenham
Chesterfield, Chesterfield
Colchester, Colchester
Crawley, Crawley
Crewe, Crewe
Fleetwood, Fleetwood
Gillingham, Gillingham
Grimsby, Grimsby
Harrogate, Harrogate
MK Dons, MK Dons
Newport, Newport
Notts Co, Notts County
Oldham, Oldham
Salford, Salford
Shrewsbury, Shrewsbury
Swindon, Swindon
Tranmere, Tranmere
Walsall, Walsall
