out, in
AC Milan, AC Milan
Atalanta, Atalanta
Bologna, Bologna
Cagliari, Cagliari
Como, Como
Cremonese, Cremonese
Fiorentina, Fiorentina
Genoa, Genoa
Inter, Inter
Juventus, Juventus
Lazio, Lazio
Lecce, Lecce
Napoli, Napoli
Parma, Parma
Pisa, Pisa
Roma, AS Roma
Sassuolo, Sassuolo
Torino, Torino
Udinese, Udinese
Verona, Verona
Avellino, Avellino
Bari, Bari
Carrarese, Carrarese
Catanzaro, Catanzaro
Cesena, Cesena
Empoli, Empoli
Frosinone, Frosinone
Mantova, Mantova
Modena, Modena
Monza, Monza
Padova, Padova
Palermo, Palermo
Pescara Calcio, Pescara
Reggiana, Reggiana
SS Juve Stabia, Juve Stabia
Sampdoria, Sampdoria
Spezia, Spezia
Sudtirol, Sudtirol
Venezia, Venezia
Virtus Entella, Entella
