out, in
Alaves, Alaves
Almeria, Almeria
Andorra, FC Andorra
Ath Bilbao, Athletic Bilbao
Atl. Madrid, Atletico Madrid
Barcelona, Barcelona
Betis, Real Betis
Burgos CF, Burgos
Cadiz CF, Cadiz
Castellon, Castellon
Celta Vigo, Celta De Vigo
Ceuta, AD Ceuta
Cordoba, Cordoba
Cultural Leonesa, Cultural Leonesa
Dep. La Coruna, Deportivo La Coruna
Eibar, Eibar
Elche, Elche
Espanyol, Espanyol
Getafe, Getafe
Gijon, Sporting Gijon
Girona, Girona
Granada CF, Granada
Huesca, Huesca
Las Palmas, Las Palmas
Leganes, Leganes
Levante, Levante
Malaga, Malaga
Mallorca, Mallorca
Mirandes, Mirandes
Osasuna, Osasuna
R. Oviedo, Real Oviedo
Racing Santander, Racing Santander
Rayo Vallecano, Rayo Vallecano
Real Madrid, Real Madrid
Real Sociedad, Real Sociedad
Real Sociedad B, Real Sociedad B
Sevilla, Sevilla
Valencia, Valencia
Valladolid, Real Valladolid
Villarreal, Villarreal
Zaragoza, Real Zaragoza
