date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,1.66,3.39,4.72,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,3.17,3.37,2.01,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,2.08,2.99,3.08,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,1.53,3.86,5.07,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,1.54,3.84,5.02,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Levante,Girona,2.7,3.15,2.37,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,1.71,3.32,4.45,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,1.72,3.08,4.29,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,2.32,2.72,2.93,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,1.86,3.15,3.5,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,3.49,3.38,1.79,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,2.31,3.1,2.6,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,1.77,3.15,3.87,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Las Palmas,Ceuta,1.58,3.38,4.74,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Leganes,Eibar,2.19,2.86,3.01,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Racing Santander,Cordoba,1.95,3.31,3.08,2026-03-04T07:07:45Z
2026-03-09,LaLiga2,Almeria,Cultural Leonesa,1.45,3.89,5.24,2026-03-04T07:07:45Z
