date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,0-1,2.83,3.36,2.01,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,1-0,1.14,5.35,11.6,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,0-2,5.83,4.52,1.32,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,2-0,1.02,7.87,24.41,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,3-0,1.01,8.28,33.38,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,0-1,2.82,3.37,2.01,2026-03-04T08:56:38Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,1-0,1.14,5.36,11.53,2026-03-04T08:56:38Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,0-2,5.78,4.52,1.32,2026-03-04T08:56:38Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,2-0,1.02,7.89,24.23,2026-03-04T08:56:38Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,3-0,1.01,8.3,33.12,2026-03-04T08:56:38Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,0-1,6.47,4.68,1.28,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,1-0,1.66,3.83,3.51,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,0-2,13.99,7.06,1.07,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,2-0,1.22,5.31,7.19,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,3-0,1.05,7.74,14.14,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,0-2,13.98,7.06,1.07,2026-03-04T08:56:38Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,0-1,3.92,3.55,1.56,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,1-0,1.26,4.21,6.64,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,0-2,8.44,5.13,1.15,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,2-0,1.05,6.28,14.35,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,3-0,1.01,7.22,21.56,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-1,2.39,3.51,2.24,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,1-0,1.12,5.77,11.57,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-2,4.49,4.32,1.44,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,2-0,1.02,8.09,22.83,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-3,9.03,6.28,1.14,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-1,2.41,3.52,2.22,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,1-0,1.13,5.75,11.43,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-2,4.53,4.33,1.43,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,2-0,1.02,8.1,22.7,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,0-3,9.12,6.31,1.13,2026-03-04T08:56:38Z
2026-03-07,LaLiga,Levante,Girona,0-1,5.39,4.24,1.37,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,1-0,1.47,4,4.51,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,0-2,11.92,6.45,1.1,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,2-0,1.14,5.94,9.84,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,3-0,1.03,8.32,18.39,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,0-1,3,3.35,1.93,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,1-0,1.16,5.16,10.95,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,0-2,6.32,4.63,1.29,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,2-0,1.02,7.79,23.68,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,3-0,1.01,8.27,32.74,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,0-1,3.12,3.16,1.84,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,1-0,1.14,4.71,10.74,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,0-2,6.72,4.46,1.24,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,2-0,1.02,6.67,21.79,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,3-0,1.01,6.84,29.01,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,0-1,4.54,3.72,1.45,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,1-0,1.29,4.12,6.21,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,0-2,9.91,5.48,1.12,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,2-0,1.06,6.15,13.53,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,3-0,1.01,7.23,20.88,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,0-1,3.37,3.39,1.7,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,1-0,1.21,4.46,7.83,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,0-2,7.09,4.77,1.21,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,2-0,1.04,6.52,16.44,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,3-0,1.01,7.13,23.38,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,0-1,7.33,4.64,1.21,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,1-0,1.76,3.52,3.04,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,0-2,14.85,6.61,1.04,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,2-0,1.25,4.69,6.04,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,3-0,1.06,6.63,11.54,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,0-1,4.45,3.77,1.45,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,1-0,1.36,3.96,5.21,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,0-2,9.53,5.5,1.12,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,2-0,1.09,5.87,11.23,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,3-0,1.01,7.3,18.4,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,0-1,3.16,3.31,1.78,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,1-0,1.17,4.63,8.99,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,0-2,6.62,4.59,1.23,2026-03-04T07:07:45Z
