date,home,away,home_score,away_score
01.03. 15:00,Fredericia W,Aarhus Handbold W,23,22
28.02. 14:00,Holstebro W,Saeby W,34,27
28.02. 14:00,Roskilde W,Rodovre W,25,29
28.02. 13:30,Ydun W,Ejstrup/Haervejen W,29,30
28.02. 13:00,Gudme HK W,Ajax Kobenhavn W,23,29
28.02. 12:15,Sondermarkens W,AGF W,18,30
22.02. 14:00,Aarhus Handbold W,Roskilde W,21,20
21.02. 14:30,Rodovre W,Ydun W,29,26
21.02. 14:00,Ejstrup/Haervejen W,Gudme HK W,31,21
21.02. 13:30,Saeby W,Sondermarkens W,29,37
21.02. 13:00,Ajax Kobenhavn W,Holstebro W,26,22
19.02. 18:30,AGF W,Fredericia W,26,24
15.02. 14:00,Aarhus Handbold W,Ejstrup/Haervejen W,27,29
14.02. 14:00,Roskilde W,Sondermarkens W,26,25
14.02. 13:00,Gudme HK W,Saeby W,34,28
13.02. 19:00,Fredericia W,Holstebro W,21,24
13.02. 18:00,Rodovre W,Ajax Kobenhavn W,21,32
12.02. 18:45,AGF W,Ydun W,27,21
08.02. 13:00,Ajax Kobenhavn W,AGF W,27,24
07.02. 14:00,Holstebro W,Rodovre W,25,24
07.02. 13:30,Saeby W,Aarhus Handbold W,28,31
07.02. 13:30,Ydun W,Fredericia W,29,18
07.02. 13:15,Sondermarkens W,Gudme HK W,23,30
07.02. 13:00,Ejstrup/Haervejen W,Roskilde W,32,29
01.02. 15:00,Fredericia W,Roskilde W,24,29
31.01. 13:30,Saeby W,Ajax Kobenhavn W,26,38
31.01. 13:30,Ydun W,Sondermarkens W,31,25
31.01. 13:00,Gudme HK W,Holstebro W,22,32
29.01. 18:30,AGF W,Ejstrup/Haervejen W,33,28
29.01. 17:30,Aarhus Handbold W,Ajax Kobenhavn W,27,28
27.01. 18:00,Holstebro W,Roskilde W,34,21
25.01. 13:00,Sondermarkens W,Aarhus Handbold W,26,31
25.01. 12:00,Rodovre W,AGF W,32,27
24.01. 14:00,Holstebro W,Ydun W,25,28
24.01. 14:00,Roskilde W,Gudme HK W,30,24
24.01. 12:30,Ajax Kobenhavn W,Fredericia W,31,21
24.01. 12:00,Ejstrup/Haervejen W,Saeby W,31,34
17.01. 13:30,Aarhus Handbold W,Holstebro W,18,32
17.01. 13:30,Saeby W,Ydun W,30,30
17.01. 13:00,Ajax Kobenhavn W,Sondermarkens W,34,20
17.01. 12:00,AGF W,Roskilde W,27,18
17.01. 12:00,Ejstrup/Haervejen W,Fredericia W,24,26
16.01. 18:00,Rodovre W,Gudme HK W,24,19
13.01. 19:00,Gudme HK W,Aarhus Handbold W,27,19
11.01. 15:00,Fredericia W,Rodovre W,22,28
10.01. 14:30,Roskilde W,Saeby W,28,23
10.01. 14:00,Holstebro W,AGF W,24,18
10.01. 13:30,Ydun W,Ajax Kobenhavn W,28,23
10.01. 13:15,Sondermarkens W,Ejstrup/Haervejen W,36,33
07.01. 18:30,Fredericia W,Sondermarkens W,24,33
06.01. 19:00,Ydun W,Gudme HK W,22,28
20.12. 13:00,Ajax Kobenhavn W,Ejstrup/Haervejen W,35,30
29.11. 13:30,Saeby W,AGF W,27,36
29.11. 13:00,Ejstrup/Haervejen W,Rodovre W,25,34
22.11. 14:30,Rodovre W,Saeby W,32,31
22.11. 13:30,Roskilde W,Ydun W,24,20
22.11. 13:00,Gudme HK W,Fredericia W,28,20
22.11. 12:00,AGF W,Aarhus Handbold W,25,24
16.11. 14:00,Aarhus Handbold W,Fredericia W,21,20
15.11. 13:30,Saeby W,Holstebro W,23,34
15.11. 12:30,Ajax Kobenhavn W,Gudme HK W,28,22
15.11. 12:00,Ejstrup/Haervejen W,Ydun W,32,28
14.11. 18:00,Rodovre W,Roskilde W,21,22
13.11. 18:30,AGF W,Sondermarkens W,26,24
09.11. 13:00,Fredericia W,Ejstrup/Haervejen W,29,24
09.11. 13:00,Sondermarkens W,Ajax Kobenhavn W,30,24
08.11. 14:00,Holstebro W,Aarhus Handbold W,28,16
08.11. 13:30,Roskilde W,AGF W,22,23
08.11. 13:30,Ydun W,Saeby W,34,37
07.11. 19:00,Gudme HK W,Rodovre W,27,26
02.11. 13:30,Saeby W,Gudme HK W,34,38
01.11. 14:00,Ejstrup/Haervejen W,Aarhus Handbold W,27,27
01.11. 14:00,Holstebro W,Fredericia W,38,16
01.11. 13:30,Ydun W,AGF W,26,25
01.11. 13:15,Sondermarkens W,Roskilde W,24,28
31.10. 18:00,Ajax Kobenhavn W,Rodovre W,20,26
26.10. 15:00,Fredericia W,Ydun W,25,22
26.10. 14:00,Aarhus Handbold W,Saeby W,20,15
25.10. 12:30,Rodovre W,Holstebro W,31,32
25.10. 12:30,Roskilde W,Ejstrup/Haervejen W,29,24
25.10. 12:00,Gudme HK W,Sondermarkens W,29,30
25.10. 11:00,AGF W,Ajax Kobenhavn W,26,23
21.10. 17:30,Ejstrup/Haervejen W,AGF W,26,30
17.10. 17:00,Rodovre W,Aarhus Handbold W,24,25
11.10. 13:00,Holstebro W,Gudme HK W,28,20
11.10. 13:00,Roskilde W,Fredericia W,29,22
11.10. 12:00,Ajax Kobenhavn W,Saeby W,37,26
11.10. 12:00,Sondermarkens W,Ydun W,27,27
07.10. 17:30,Saeby W,Ejstrup/Haervejen W,26,30
05.10. 14:00,Fredericia W,Ajax Kobenhavn W,20,27
05.10. 13:00,Aarhus Handbold W,Sondermarkens W,29,24
04.10. 12:30,Ydun W,Holstebro W,28,32
04.10. 12:00,Gudme HK W,Roskilde W,34,28
01.10. 17:00,Sondermarkens W,Holstebro W,26,31
29.09. 17:30,Ydun W,Aarhus Handbold W,24,28
28.09. 14:00,Fredericia W,AGF W,23,30
27.09. 13:00,Holstebro W,Ajax Kobenhavn W,29,25
27.09. 12:30,Ydun W,Rodovre W,20,22
27.09. 12:00,Gudme HK W,Ejstrup/Haervejen W,31,33
27.09. 12:00,Sondermarkens W,Saeby W,33,23
25.09. 17:30,Roskilde W,Aarhus Handbold W,25,20
21.09. 12:30,AGF W,Rodovre W,23,27
14.09. 12:30,Aarhus Handbold W,Gudme HK W,22,27
