date,home,away,home_score,away_score
01.03. 14:00,Sydhavsoerne,Give,26,26
01.03. 14:00,Tonder,Skive,29,34
01.03. 13:00,Midtjylland,Tik Taastrup,30,31
01.03. 13:00,Raekker Molle,Aarhus Handbold,25,26
28.02. 15:00,HC Kobenhavn,Odder,33,27
27.02. 18:30,Lemvig,Norddjurs,34,28
27.02. 18:30,Vendsyssel,Kolding,24,29
25.02. 18:00,HC Kobenhavn,Raekker Molle,29,24
22.02. 16:00,Aarhus Handbold,Lemvig,33,27
22.02. 14:00,Give,Tonder,27,39
20.02. 18:30,Norddjurs,Midtjylland,25,34
19.02. 18:30,Kolding,Sydhavsoerne,30,28
19.02. 18:30,Odder,Vendsyssel,28,22
19.02. 18:00,Skive,Raekker Molle,37,28
19.02. 18:00,Tik Taastrup,HC Kobenhavn,28,35
15.02. 14:00,Sydhavsoerne,Odder,32,31
15.02. 14:00,Tonder,Kolding,34,21
15.02. 13:00,Raekker Molle,Give,29,25
14.02. 14:00,Norddjurs,Tik Taastrup,37,27
14.02. 14:00,Vendsyssel,HC Kobenhavn,32,27
13.02. 18:30,Lemvig,Skive,31,41
13.02. 17:30,Midtjylland,Aarhus Handbold,25,34
10.02. 18:30,Tik Taastrup,Sydhavsoerne,25,32
08.02. 16:00,Aarhus Handbold,Norddjurs,33,29
08.02. 15:00,Tik Taastrup,Vendsyssel,30,30
07.02. 14:00,Give,Lemvig,33,37
07.02. 14:00,Kolding,Raekker Molle,32,27
07.02. 14:00,Odder,Tonder,28,41
06.02. 18:30,Skive,Midtjylland,40,32
06.02. 18:00,HC Kobenhavn,Sydhavsoerne,30,34
03.02. 19:00,Vendsyssel,Tonder,26,35
02.02. 17:30,Midtjylland,Give,35,22
31.01. 14:00,Aarhus Handbold,Tik Taastrup,32,22
31.01. 14:00,Norddjurs,Skive,29,36
31.01. 14:00,Tonder,HC Kobenhavn,33,30
31.01. 13:30,Lemvig,Kolding,32,37
31.01. 13:00,Raekker Molle,Odder,28,28
25.01. 14:00,Give,Norddjurs,31,33
25.01. 14:00,Odder,Lemvig,32,40
22.01. 17:30,Skive,Aarhus Handbold,33,24
21.01. 18:00,Kolding,Midtjylland,29,22
18.01. 13:00,Skive,Tik Taastrup,31,21
17.01. 16:00,Aarhus Handbold,Give,28,23
17.01. 14:00,Norddjurs,Kolding,37,45
20.12. 18:00,Give,Skive,22,34
20.12. 14:00,HC Kobenhavn,Midtjylland,32,36
20.12. 14:00,Kolding,Aarhus Handbold,33,23
20.12. 14:00,Odder,Norddjurs,30,36
20.12. 14:00,Sydhavsoerne,Raekker Molle,36,31
20.12. 14:00,Tik Taastrup,Tonder,29,35
19.12. 18:30,Vendsyssel,Lemvig,18,29
14.12. 16:00,Aarhus Handbold,Odder,37,30
14.12. 14:00,Give,Tik Taastrup,29,26
13.12. 15:00,Skive,Kolding,28,33
13.12. 14:00,Norddjurs,HC Kobenhavn,32,35
13.12. 13:30,Lemvig,Sydhavsoerne,32,33
13.12. 13:00,Midtjylland,Vendsyssel,33,27
12.12. 18:00,Raekker Molle,Tonder,28,35
10.12. 19:00,Sydhavsoerne,Vendsyssel,28,27
09.12. 17:30,Midtjylland,Odder,33,33
07.12. 14:00,Tonder,Lemvig,29,30
06.12. 14:00,HC Kobenhavn,Aarhus Handbold,31,37
06.12. 14:00,Kolding,Give,33,30
06.12. 14:00,Odder,Skive,39,36
06.12. 14:00,Tik Taastrup,Raekker Molle,26,28
05.12. 19:00,Sydhavsoerne,Midtjylland,33,34
05.12. 18:30,Vendsyssel,Norddjurs,31,32
30.11. 14:00,Tonder,Midtjylland,32,29
29.11. 14:00,Odder,Give,35,34
29.11. 14:00,Sydhavsoerne,Norddjurs,37,36
29.11. 14:00,Tik Taastrup,Kolding,25,32
28.11. 18:30,Vendsyssel,Aarhus Handbold,21,25
28.11. 18:00,HC Kobenhavn,Skive,30,30
28.11. 18:00,Raekker Molle,Lemvig,32,26
25.11. 18:30,Tonder,Sydhavsoerne,33,37
23.11. 14:00,Give,HC Kobenhavn,29,27
22.11. 14:00,Kolding,Odder,32,29
22.11. 13:30,Lemvig,Tik Taastrup,35,34
21.11. 18:30,Norddjurs,Tonder,29,34
21.11. 18:30,Skive,Vendsyssel,35,19
21.11. 18:00,Aarhus Handbold,Sydhavsoerne,27,32
20.11. 17:30,Midtjylland,Raekker Molle,27,22
16.11. 14:00,Odder,Tik Taastrup,36,30
16.11. 14:00,Tonder,Aarhus Handbold,27,26
15.11. 15:15,HC Kobenhavn,Kolding,20,30
15.11. 14:30,Vendsyssel,Give,31,23
15.11. 14:00,Sydhavsoerne,Skive,28,32
15.11. 12:30,Raekker Molle,Norddjurs,24,38
14.11. 18:30,Lemvig,Midtjylland,32,23
08.11. 17:30,Odder,HC Kobenhavn,27,21
08.11. 15:00,Aarhus Handbold,Raekker Molle,37,35
08.11. 14:00,Give,Sydhavsoerne,30,34
08.11. 14:00,Norddjurs,Lemvig,27,32
08.11. 14:00,Tik Taastrup,Midtjylland,25,31
07.11. 18:30,Kolding,Vendsyssel,34,29
07.11. 18:30,Skive,Tonder,30,29
26.10. 14:00,Tonder,Give,35,28
25.10. 12:00,Raekker Molle,Skive,25,32
24.10. 17:30,Lemvig,Aarhus Handbold,29,33
24.10. 17:30,Vendsyssel,Odder,28,32
24.10. 17:00,HC Kobenhavn,Tik Taastrup,22,30
24.10. 16:30,Midtjylland,Norddjurs,33,32
22.10. 16:00,Sydhavsoerne,Kolding,36,33
19.10. 13:00,Give,Raekker Molle,24,26
19.10. 13:00,Odder,Sydhavsoerne,34,28
