date,home,away,home_score,away_score
11.03. 18:00,HIFK W,Atlas W,30,27
11.03. 16:30,Cocks W,Dicken W,23,25
28.02. 12:00,Atlas W,BK-46 W,27,31
28.02. 12:00,Cocks W,HIFK W,27,29
28.02. 12:00,SIF W,Dicken W,13,25
25.02. 16:30,BK-46 W,GRIFK W,32,17
21.02. 14:00,Atlas W,SIF W,36,20
21.02. 13:00,HIFK W,Dicken W,23,18
18.02. 17:30,SIF W,BK-46 W,11,49
14.02. 13:00,SIF W,Cocks W,24,29
14.02. 11:30,GRIFK W,Atlas W,28,22
13.02. 17:00,Dicken W,BK-46 W,19,28
11.02. 18:00,HIFK W,GRIFK W,23,31
08.02. 14:00,Atlas W,Dicken W,31,31
08.02. 14:00,Cocks W,GRIFK W,19,26
07.02. 10:30,BK-46 W,HIFK W,20,20
04.02. 18:00,HIFK W,Atlas W,35,28
04.02. 17:00,Dicken W,Cocks W,26,28
04.02. 17:00,GRIFK W,SIF W,41,14
31.01. 12:30,Cocks W,Atlas W,24,24
31.01. 11:30,GRIFK W,HIFK W,26,26
17.01. 14:00,BK-46 W,Cocks W,31,26
17.01. 13:45,Dicken W,GRIFK W,25,42
17.01. 13:00,HIFK W,SIF W,40,24
14.01. 18:00,HIFK W,Cocks W,29,14
14.01. 17:00,Dicken W,SIF W,37,19
14.01. 16:30,BK-46 W,Atlas W,30,18
10.01. 14:00,Atlas W,HIFK W,26,23
10.01. 14:00,Cocks W,Dicken W,26,25
10.01. 13:00,SIF W,GRIFK W,21,37
07.01. 18:00,HIFK W,BK-46 W,24,28
07.01. 17:00,Dicken W,Atlas W,34,28
07.01. 17:00,GRIFK W,Cocks W,33,22
20.12. 14:00,Atlas W,GRIFK W,24,25
20.12. 12:30,Cocks W,SIF W,36,23
20.12. 11:30,BK-46 W,Dicken W,28,27
17.12. 17:30,SIF W,HIFK W,18,38
17.12. 16:00,GRIFK W,Dicken W,32,22
14.12. 13:45,Dicken W,Cocks W,38,27
13.12. 13:00,HIFK W,Atlas W,41,32
13.12. 11:30,GRIFK W,SIF W,40,17
10.12. 17:30,SIF W,Atlas W,11,32
10.12. 17:00,Dicken W,HIFK W,24,23
10.12. 17:00,GRIFK W,BK-46 W,37,24
07.12. 15:30,SIF W,Dicken W,20,36
07.12. 14:00,Atlas W,BK-46 W,23,31
07.12. 14:00,Cocks W,HIFK W,21,30
03.12. 16:30,Cocks W,BK-46 W,25,31
30.11. 17:30,Atlas W,Cocks W,24,27
29.11. 14:00,BK-46 W,SIF W,38,17
15.11. 14:00,Atlas W,Dicken W,28,21
15.11. 14:00,BK-46 W,HIFK W,27,27
15.11. 14:00,Cocks W,GRIFK W,26,32
12.11. 18:00,HIFK W,Dicken W,36,23
12.11. 16:30,BK-46 W,GRIFK W,24,27
08.11. 14:00,Cocks W,Atlas W,28,28
08.11. 11:30,GRIFK W,HIFK W,28,19
08.11. 11:30,SIF W,BK-46 W,9,47
05.11. 17:00,Atlas W,SIF W,38,22
01.11. 15:30,SIF W,Cocks W,27,38
01.11. 13:45,Dicken W,BK-46 W,27,32
01.11. 11:30,GRIFK W,Atlas W,31,20
25.10. 15:15,Dicken W,GRIFK W,20,27
25.10. 12:00,HIFK W,SIF W,34,19
25.10. 10:30,BK-46 W,Cocks W,26,23
22.10. 17:00,HIFK W,Cocks W,36,19
22.10. 16:00,Dicken W,SIF W,30,15
22.10. 15:30,BK-46 W,Atlas W,30,27
12.10. 15:00,Atlas W,HIFK W,26,31
11.10. 14:30,SIF W,GRIFK W,12,31
11.10. 11:30,Cocks W,Dicken W,21,16
05.10. 12:45,Dicken W,Atlas W,31,31
04.10. 12:00,HIFK W,BK-46 W,36,30
04.10. 10:30,GRIFK W,Cocks W,27,23
01.10. 16:00,Atlas W,GRIFK W,30,38
01.10. 15:30,BK-46 W,Dicken W,26,18
30.09. 15:30,Cocks W,SIF W,36,15
27.09. 12:00,SIF W,Atlas W,21,36
27.09. 10:30,GRIFK W,BK-46 W,26,33
24.09. 16:00,Dicken W,HIFK W,27,27
13.09. 15:30,Atlas W,Cocks W,26,27
13.09. 11:00,HIFK W,GRIFK W,26,27
12.09. 16:30,BK-46 W,SIF W,43,23
07.09. 12:00,SIF W,HIFK W,16,32
06.09. 13:00,Cocks W,BK-46 W,24,30
06.09. 10:30,GRIFK W,Dicken W,31,12
