date,home,away,home_score,away_score
11.03. 17:00,AIFK,SIF,22,27
10.03. 17:30,Cocks,GrIFK,39,24
10.03. 17:00,Dicken,HIFK,32,28
07.03. 17:00,BK-46,Dicken,37,30
07.03. 15:30,SIF,EIF,39,26
07.03. 14:00,GrIFK,AIFK,23,18
05.03. 17:00,HIFK,Cocks,42,34
03.03. 17:30,EIF,BK-46,27,40
28.02. 16:00,Cocks,BK-46,19,34
28.02. 14:30,SIF,GrIFK,25,27
28.02. 14:00,EIF,Dicken,19,30
27.02. 17:00,AIFK,HIFK,32,43
24.02. 17:00,SIF,BK-46,25,31
24.02. 16:30,EIF,Cocks,31,40
21.02. 16:00,GrIFK,EIF,34,28
20.02. 17:15,HIFK,SIF,32,23
18.02. 17:00,Dicken,Cocks,28,20
14.02. 15:30,AIFK,Dicken,26,25
14.02. 14:00,GrIFK,HIFK,27,36
11.02. 17:00,Dicken,SIF,21,22
11.02. 16:30,Cocks,AIFK,33,30
10.02. 17:00,HIFK,EIF,41,34
10.02. 16:30,BK-46,GrIFK,33,26
04.02. 16:30,BK-46,AIFK,40,27
04.02. 16:30,Cocks,SIF,32,28
31.01. 16:00,BK-46,HIFK,35,27
31.01. 14:00,EIF,AIFK,26,29
31.01. 13:45,Dicken,GrIFK,28,32
28.01. 17:30,SIF,AIFK,31,24
28.01. 17:00,GrIFK,Cocks,20,30
28.01. 16:30,BK-46,EIF,37,15
27.01. 17:00,HIFK,Dicken,41,22
25.01. 13:45,Dicken,BK-46,35,38
23.01. 17:00,AIFK,GrIFK,22,26
21.01. 17:00,EIF,SIF,22,28
21.01. 16:30,Cocks,HIFK,29,33
17.01. 16:15,Dicken,EIF,36,32
17.01. 14:00,GrIFK,SIF,26,25
16.01. 17:15,HIFK,AIFK,41,29
16.01. 16:30,BK-46,Cocks,34,22
14.01. 17:30,EIF,GrIFK,29,34
14.01. 17:30,SIF,HIFK,27,33
13.01. 17:00,AIFK,BK-46,26,39
13.01. 16:30,Cocks,Dicken,30,25
21.12. 14:00,Cocks,EIF,34,24
20.12. 14:00,BK-46,SIF,38,25
20.12. 13:45,Dicken,AIFK,40,29
19.12. 17:00,HIFK,GrIFK,38,19
17.12. 18:15,GrIFK,BK-46,29,38
17.12. 17:00,AIFK,Cocks,35,39
16.12. 17:30,EIF,HIFK,27,37
16.12. 17:30,SIF,Dicken,27,35
13.12. 14:00,GrIFK,Dicken,24,28
12.12. 17:15,HIFK,BK-46,35,31
12.12. 17:00,AIFK,EIF,28,26
09.12. 17:30,SIF,Cocks,25,23
05.12. 17:00,AIFK,SIF,36,29
05.12. 17:00,Dicken,HIFK,34,39
05.12. 16:30,Cocks,GrIFK,33,14
05.12. 16:30,EIF,BK-46,20,44
29.11. 17:00,BK-46,Dicken,41,25
29.11. 15:30,SIF,EIF,35,26
26.11. 18:00,HIFK,Cocks,33,32
26.11. 17:00,GrIFK,AIFK,38,27
26.11. 16:30,BK-46,EIF,38,17
22.11. 14:00,EIF,Dicken,26,37
22.11. 13:00,SIF,GrIFK,18,24
18.11. 16:30,Cocks,BK-46,30,32
17.11. 17:00,AIFK,HIFK,31,45
15.11. 14:00,GrIFK,EIF,33,28
14.11. 17:15,HIFK,SIF,37,26
14.11. 17:00,Dicken,Cocks,29,31
11.11. 16:30,BK-46,AIFK,43,36
08.11. 14:00,GrIFK,HIFK,37,35
08.11. 14:00,SIF,BK-46,25,32
07.11. 17:00,AIFK,Dicken,24,33
05.11. 17:00,Dicken,SIF,27,24
05.11. 16:30,BK-46,GrIFK,33,20
05.11. 16:30,Cocks,AIFK,47,32
04.11. 17:00,HIFK,EIF,44,28
25.10. 13:00,BK-46,HIFK,37,34
25.10. 13:00,Cocks,SIF,30,19
25.10. 13:00,EIF,AIFK,28,28
25.10. 12:45,Dicken,GrIFK,35,22
21.10. 16:30,EIF,Cocks,19,39
21.10. 16:00,Dicken,BK-46,24,31
18.10. 14:30,SIF,AIFK,32,25
18.10. 13:00,GrIFK,Cocks,29,25
17.10. 16:00,HIFK,Dicken,33,27
11.10. 14:30,AIFK,GrIFK,19,30
11.10. 14:00,Cocks,HIFK,28,39
11.10. 13:00,EIF,SIF,23,27
28.09. 11:00,EIF,GrIFK,34,23
27.09. 14:30,SIF,HIFK,21,39
27.09. 13:00,Cocks,Dicken,30,34
26.09. 16:00,AIFK,BK-46,24,43
20.09. 12:45,Dicken,EIF,39,23
20.09. 12:00,BK-46,Cocks,36,25
20.09. 10:30,GrIFK,SIF,25,24
19.09. 16:00,HIFK,AIFK,45,28
16.09. 16:00,Dicken,AIFK,28,28
13.09. 14:00,HIFK,GrIFK,44,25
13.09. 13:00,BK-46,SIF,33,19
13.09. 13:00,Cocks,EIF,41,22
