date,home,away,home_score,away_score
21.03. 17:00,Neckarsulmer W,Metzingen W,38,28
21.03. 16:00,Blomberg-Lippe W,Oldenburg W,30,21
18.03. 18:00,Goppingen W,BVB Dortmund W,32,33
18.03. 18:00,Halle-Neustadt W,Bensheim-Auerbach W,33,36
01.03. 13:30,Oldenburg W,Goppingen W,29,29
28.02. 18:30,Metzingen W,Thuringer W,23,28
28.02. 17:00,Bensheim-Auerbach W,Blomberg-Lippe W,28,29
28.02. 17:00,Zwickau W,Buxtehuder SV W,30,31
27.02. 18:30,BVB Dortmund W,Neckarsulmer W,32,29
25.02. 18:00,Halle-Neustadt W,Zwickau W,33,32
21.02. 15:00,Buxtehuder SV W,Metzingen W,32,31
18.02. 18:30,Neckarsulmer W,Oldenburg W,26,26
18.02. 18:30,Thuringer W,BVB Dortmund W,22,33
18.02. 18:00,Blomberg-Lippe W,Goppingen W,40,22
15.02. 16:00,Metzingen W,Halle-Neustadt W,36,32
14.02. 18:00,Goppingen W,Neckarsulmer W,32,41
14.02. 17:00,Zwickau W,Bensheim-Auerbach W,22,37
11.02. 18:30,BVB Dortmund W,Buxtehuder SV W,33,33
11.02. 18:00,Oldenburg W,Thuringer W,35,30
07.02. 17:00,Bensheim-Auerbach W,Metzingen W,32,22
04.02. 18:30,Buxtehuder SV W,Oldenburg W,35,31
04.02. 18:30,Neckarsulmer W,Blomberg-Lippe W,27,29
04.02. 18:30,Thuringer W,Goppingen W,39,33
04.02. 18:00,Halle-Neustadt W,BVB Dortmund W,29,39
31.01. 18:00,BVB Dortmund W,Bensheim-Auerbach W,31,23
31.01. 18:00,Goppingen W,Buxtehuder SV W,32,32
31.01. 17:00,Neckarsulmer W,Thuringer W,23,33
31.01. 17:00,Oldenburg W,Halle-Neustadt W,34,29
31.01. 16:00,Blomberg-Lippe W,Zwickau W,32,28
28.01. 17:00,Zwickau W,BVB Dortmund W,29,30
24.01. 18:00,Halle-Neustadt W,Goppingen W,25,24
24.01. 17:00,Zwickau W,Metzingen W,32,32
24.01. 15:00,Buxtehuder SV W,Neckarsulmer W,27,28
21.01. 18:30,Thuringer W,Blomberg-Lippe W,23,26
21.01. 18:00,Bensheim-Auerbach W,Oldenburg W,29,41
18.01. 13:30,Goppingen W,Bensheim-Auerbach W,33,36
17.01. 17:00,Neckarsulmer W,Halle-Neustadt W,23,24
14.01. 18:30,BVB Dortmund W,Zwickau W,43,27
14.01. 18:30,Metzingen W,Blomberg-Lippe W,19,32
14.01. 18:30,Thuringer W,Buxtehuder SV W,27,23
10.01. 17:00,Bensheim-Auerbach W,Neckarsulmer W,36,32
07.01. 18:30,Buxtehuder SV W,Blomberg-Lippe W,19,35
07.01. 18:30,Metzingen W,BVB Dortmund W,32,39
07.01. 18:00,Halle-Neustadt W,Thuringer W,36,43
03.01. 18:00,BVB Dortmund W,Blomberg-Lippe W,31,26
03.01. 18:00,Halle-Neustadt W,Buxtehuder SV W,33,24
03.01. 17:00,Bensheim-Auerbach W,Thuringer W,29,31
03.01. 17:00,Zwickau W,Goppingen W,25,23
30.12. 18:30,Neckarsulmer W,Zwickau W,35,22
30.12. 18:00,Goppingen W,Metzingen W,33,28
30.12. 17:00,Blomberg-Lippe W,Halle-Neustadt W,34,23
30.12. 17:00,Buxtehuder SV W,Bensheim-Auerbach W,28,31
30.12. 17:00,Oldenburg W,BVB Dortmund W,29,34
27.12. 18:30,Metzingen W,Neckarsulmer W,30,29
27.12. 18:00,BVB Dortmund W,Goppingen W,36,28
27.12. 17:00,Bensheim-Auerbach W,Halle-Neustadt W,38,33
27.12. 17:00,Oldenburg W,Blomberg-Lippe W,30,26
27.12. 17:00,Zwickau W,Thuringer W,31,32
21.12. 13:30,Metzingen W,Oldenburg W,30,29
15.11. 17:00,Thuringer W,Metzingen W,39,34
15.11. 15:00,Buxtehuder SV W,Zwickau W,21,30
12.11. 18:30,Neckarsulmer W,BVB Dortmund W,26,38
02.11. 13:30,Oldenburg W,Neckarsulmer W,31,24
01.11. 18:30,Metzingen W,Buxtehuder SV W,36,28
01.11. 18:00,Goppingen W,Blomberg-Lippe W,23,33
30.10. 18:00,Zwickau W,Halle-Neustadt W,30,23
29.10. 18:30,BVB Dortmund W,Thuringer W,36,31
29.10. 18:30,Metzingen W,Bensheim-Auerbach W,30,37
25.10. 17:00,Halle-Neustadt W,Metzingen W,33,38
25.10. 16:00,Bensheim-Auerbach W,Zwickau W,43,38
25.10. 16:00,Neckarsulmer W,Goppingen W,29,28
25.10. 16:00,Thuringer W,Oldenburg W,34,23
22.10. 17:30,Buxtehuder SV W,BVB Dortmund W,29,34
12.10. 14:30,Oldenburg W,Buxtehuder SV W,29,23
11.10. 17:00,BVB Dortmund W,Halle-Neustadt W,41,29
11.10. 17:00,Goppingen W,Thuringer W,33,39
11.10. 15:00,Blomberg-Lippe W,Neckarsulmer W,29,20
08.10. 17:00,Blomberg-Lippe W,Bensheim-Auerbach W,35,31
08.10. 17:00,Goppingen W,Oldenburg W,34,30
05.10. 12:30,Buxtehuder SV W,Goppingen W,34,34
04.10. 16:00,Thuringer W,Neckarsulmer W,31,33
04.10. 16:00,Zwickau W,Blomberg-Lippe W,29,35
01.10. 17:00,Bensheim-Auerbach W,BVB Dortmund W,38,32
01.10. 17:00,Halle-Neustadt W,Oldenburg W,27,31
14.09. 14:30,Oldenburg W,Bensheim-Auerbach W,32,38
14.09. 14:00,Goppingen W,Halle-Neustadt W,35,29
13.09. 17:30,Metzingen W,Zwickau W,41,34
13.09. 16:00,Neckarsulmer W,Buxtehuder SV W,31,22
13.09. 15:00,Blomberg-Lippe W,Thuringer W,35,25
06.09. 17:00,Halle-Neustadt W,Neckarsulmer W,29,31
06.09. 16:00,Bensheim-Auerbach W,Goppingen W,37,34
06.09. 16:00,Buxtehuder SV W,Thuringer W,29,29
06.09. 15:00,Blomberg-Lippe W,Metzingen W,31,25
31.08. 13:00,Thuringer W,Halle-Neustadt W,32,25
30.08. 17:00,BVB Dortmund W,Metzingen W,40,25
30.08. 16:00,Oldenburg W,Zwickau W,28,23
30.08. 15:00,Blomberg-Lippe W,Buxtehuder SV W,31,26
29.08. 17:30,Neckarsulmer W,Bensheim-Auerbach W,27,33
