date,home,away,home_score,away_score
04.03. 18:30,Ludwigshafen,Dormagen,37,33
02.03. 18:30,Lubeck-Schwartau,Elbflorenz,30,31
01.03. 17:00,Bietigheim-Metterzimmern,Nordhorn-Lingen,32,26
01.03. 16:00,Grosswallstadt,Ferndorf,27,31
01.03. 16:00,Hagen,Huttenberg,37,34
01.03. 16:00,Krefeld,Oppenweiler/Backnang,36,25
28.02. 18:30,Dessauer,Ludwigshafen,27,30
28.02. 18:30,HBW Balingen-Weilstetten,Coburg 2000,39,24
28.02. 17:00,Dormagen,Essen,39,35
28.02. 17:00,Potsdam,N-Lubbecke,28,30
25.02. 19:00,Coburg 2000,Bietigheim-Metterzimmern,22,27
25.02. 19:00,Huttenberg,Grosswallstadt,34,31
25.02. 19:00,N-Lubbecke,HBW Balingen-Weilstetten,25,27
25.02. 19:00,Nordhorn-Lingen,Dessauer,34,30
25.02. 18:00,Elbflorenz,Hagen,27,24
25.02. 18:00,Essen,Krefeld,40,32
25.02. 18:00,Ferndorf,Oppenweiler/Backnang,28,23
25.02. 18:00,Lubeck-Schwartau,Potsdam,36,37
22.02. 16:00,Bietigheim-Metterzimmern,N-Lubbecke,30,31
22.02. 16:00,Dessauer,Coburg 2000,29,36
21.02. 18:30,Krefeld,Huttenberg,35,31
21.02. 18:30,Potsdam,Elbflorenz,30,34
21.02. 17:00,Dormagen,Nordhorn-Lingen,33,33
21.02. 17:00,Grosswallstadt,Ludwigshafen,32,31
20.02. 18:30,Oppenweiler/Backnang,Essen,26,29
20.02. 18:00,HBW Balingen-Weilstetten,Lubeck-Schwartau,36,25
18.02. 18:30,Ludwigshafen,Krefeld,30,27
15.02. 16:00,Nordhorn-Lingen,Hagen,21,28
14.02. 18:30,Coburg 2000,Oppenweiler/Backnang,30,22
14.02. 18:30,Lubeck-Schwartau,Bietigheim-Metterzimmern,34,37
14.02. 17:00,Elbflorenz,HBW Balingen-Weilstetten,27,28
14.02. 17:00,Huttenberg,Essen,37,34
13.02. 19:00,N-Lubbecke,Grosswallstadt,26,29
13.02. 18:30,Ferndorf,Dormagen,32,31
13.02. 18:00,Potsdam,Dessauer,33,33
09.02. 18:30,Grosswallstadt,Nordhorn-Lingen,34,36
08.02. 16:00,Bietigheim-Metterzimmern,Elbflorenz,31,27
08.02. 16:00,Dessauer,Lubeck-Schwartau,34,29
07.02. 18:30,HBW Balingen-Weilstetten,Potsdam,27,28
07.02. 17:00,Krefeld,Ferndorf,26,27
07.02. 17:00,Oppenweiler/Backnang,Huttenberg,23,31
06.02. 19:00,Hagen,Coburg 2000,26,23
06.02. 18:30,Essen,Ludwigshafen,30,29
06.02. 18:00,Dormagen,N-Lubbecke,30,34
28.12. 16:00,Krefeld,Nordhorn-Lingen,26,29
27.12. 18:30,Bietigheim-Metterzimmern,HBW Balingen-Weilstetten,32,27
27.12. 17:00,Dormagen,Lubeck-Schwartau,36,39
27.12. 17:00,Grosswallstadt,Coburg 2000,30,33
26.12. 15:00,Dessauer,Elbflorenz,34,42
26.12. 15:00,Essen,Ferndorf,34,32
26.12. 15:00,Huttenberg,Ludwigshafen,27,27
26.12. 15:00,Oppenweiler/Backnang,N-Lubbecke,32,39
26.12. 13:30,Hagen,Potsdam,28,31
23.12. 18:30,Ludwigshafen,Nordhorn-Lingen,20,26
21.12. 17:00,Potsdam,Bietigheim-Metterzimmern,28,21
21.12. 16:00,Elbflorenz,Grosswallstadt,41,32
21.12. 16:00,Ferndorf,Huttenberg,23,24
21.12. 16:00,HBW Balingen-Weilstetten,Dessauer,36,30
20.12. 18:30,Ludwigshafen,Oppenweiler/Backnang,30,24
20.12. 18:30,N-Lubbecke,Krefeld,28,28
20.12. 17:00,Coburg 2000,Dormagen,35,36
20.12. 17:00,Lubeck-Schwartau,Hagen,38,34
20.12. 17:00,Nordhorn-Lingen,Essen,36,28
14.12. 16:00,Huttenberg,Nordhorn-Lingen,25,28
14.12. 16:00,Krefeld,Coburg 2000,29,38
13.12. 18:30,Ferndorf,Ludwigshafen,30,31
13.12. 17:00,Grosswallstadt,Potsdam,37,40
13.12. 17:00,Oppenweiler/Backnang,Lubeck-Schwartau,27,35
12.12. 19:00,Hagen,HBW Balingen-Weilstetten,30,32
12.12. 18:30,Bietigheim-Metterzimmern,Dessauer,33,25
12.12. 18:00,Essen,N-Lubbecke,33,33
11.12. 18:30,Dormagen,Elbflorenz,34,34
07.12. 16:00,Coburg 2000,Essen,32,25
07.12. 16:00,Dessauer,Dormagen,41,36
06.12. 18:30,Potsdam,Ludwigshafen,32,32
06.12. 17:00,Elbflorenz,Huttenberg,36,33
06.12. 17:00,Lubeck-Schwartau,Grosswallstadt,31,31
06.12. 17:00,N-Lubbecke,Hagen,21,28
05.12. 19:00,Nordhorn-Lingen,Ferndorf,32,28
05.12. 18:30,Bietigheim-Metterzimmern,Oppenweiler/Backnang,28,27
05.12. 18:00,HBW Balingen-Weilstetten,Krefeld,25,22
30.11. 16:00,Grosswallstadt,Dessauer,29,34
30.11. 16:00,Oppenweiler/Backnang,Potsdam,34,38
29.11. 18:30,Dormagen,HBW Balingen-Weilstetten,30,29
