date,home,away,home_score,away_score
01.03. 16:00,Levanger W,Stavanger W,40,31
01.03. 15:00,Gjovik W,Storhamar 2 W,24,26
01.03. 15:00,Glassverket W,Flint Tonsberg W,24,39
01.03. 15:00,Pors Handball W,Kjelsas W,19,36
01.03. 15:00,Trondheim W,Utleira W,28,29
28.02. 17:30,Baekkelaget W,Aker W,28,23
28.02. 16:00,Asane W,Volda W,32,35
22.02. 16:00,Aker W,Pors Handball W,46,20
22.02. 15:00,Volda W,Trondheim W,44,34
21.02. 15:00,Baekkelaget W,Utleira W,28,28
19.02. 17:00,Storhamar 2 W,Levanger W,30,34
18.02. 18:00,Kjelsas W,Gjovik W,25,28
18.02. 17:00,Flint Tonsberg W,Asane W,26,31
18.02. 17:00,Stavanger W,Glassverket W,33,28
15.02. 17:00,Asane W,Stavanger W,33,32
15.02. 15:00,Gjovik W,Aker W,23,35
15.02. 15:00,Pors Handball W,Baekkelaget W,20,40
15.02. 14:00,Volda W,Utleira W,27,32
14.02. 15:00,Levanger W,Kjelsas W,35,34
14.02. 15:00,Trondheim W,Flint Tonsberg W,32,43
11.02. 17:30,Glassverket W,Storhamar 2 W,25,28
08.02. 16:00,Stavanger W,Trondheim W,30,29
08.02. 15:00,Aker W,Levanger W,33,24
08.02. 15:00,Utleira W,Pors Handball W,42,17
08.02. 14:00,Storhamar 2 W,Asane W,32,22
07.02. 15:00,Baekkelaget W,Gjovik W,35,27
07.02. 15:00,Flint Tonsberg W,Volda W,31,30
07.02. 15:00,Kjelsas W,Glassverket W,23,27
01.02. 15:00,Gjovik W,Pors Handball W,40,20
31.01. 17:00,Volda W,Stavanger W,24,23
31.01. 15:00,Glassverket W,Aker W,27,28
31.01. 15:00,Levanger W,Baekkelaget W,38,25
31.01. 14:00,Asane W,Kjelsas W,34,29
31.01. 14:00,Trondheim W,Storhamar 2 W,31,32
31.01. 13:00,Flint Tonsberg W,Utleira W,26,25
25.01. 14:00,Trondheim W,Aker W,24,31
24.01. 14:00,Volda W,Levanger W,31,32
18.01. 17:00,Baekkelaget W,Glassverket W,31,25
