date,home,away
25.03. 17:00,Halden,Drammen
27.03. 17:15,Elverum,Sandnes
28.03. 15:00,Follo,Kristiansand
28.03. 15:15,Kolstad,Drammen
28.03. 17:00,Baekkelaget,Fjellhammer
28.03. 17:00,Bergen,Arendal
03.04. 17:00,Kristiansand,Elverum
08.04. 15:30,Halden,Bergen
08.04. 16:30,Arendal,Sandefjord TIF
08.04. 16:30,Drammen,Baekkelaget
08.04. 17:00,Fjellhammer,Sandnes
08.04. 17:00,Naerbo,Follo
08.04. 18:15,Runar,Kolstad
11.04. 16:15,Baekkelaget,Arendal
11.04. 16:15,Bergen,Naerbo
11.04. 16:15,Elverum,Fjellhammer
11.04. 16:15,Follo,Drammen
11.04. 16:15,Kolstad,Halden
11.04. 16:15,Sandefjord TIF,Kristiansand
11.04. 16:15,Sandnes,Runar
