date,home,away,home_score,away_score
01.03. 18:00,Kielce W,Pietrowice Wielkie W,39,27
28.02. 18:00,Legnica W,Zory W,25,28
28.02. 16:00,Olkusz W,Sambor Tczew W,27,26
28.02. 14:00,Pogon Szczecin W,Radom W,25,30
22.02. 16:00,Pietrowice Wielkie W,SMS ZPRP Plock W,27,20
22.02. 16:00,Radom W,AZS Poznan W,44,29
21.02. 16:00,Zory W,Pogon Szczecin W,35,23
21.02. 14:00,Kielce W,Legnica W,35,30
20.02. 18:00,Sambor Tczew W,Handball Warszawa W,26,28
15.02. 16:00,AZS Poznan W,Zory W,31,32
08.02. 16:00,Kielce W,AZS Poznan W,30,31
08.02. 16:00,Radom W,Handball Warszawa W,40,25
08.02. 14:00,Pietrowice Wielkie W,Sambor Tczew W,29,27
07.02. 16:00,Zory W,Olkusz W,46,27
07.02. 14:00,Legnica W,Pogon Szczecin W,29,26
04.02. 18:00,Zory W,SMS ZPRP Plock W,43,18
24.01. 17:00,AZS Poznan W,Legnica W,40,37
24.01. 14:30,Pogon Szczecin W,Pietrowice Wielkie W,35,26
23.01. 18:00,Handball Warszawa W,Zory W,25,40
23.01. 18:00,Olkusz W,Kielce W,28,33
18.01. 14:00,Legnica W,Olkusz W,30,25
11.01. 16:00,Radom W,Sambor Tczew W,38,26
11.01. 14:00,Kielce W,Handball Warszawa W,31,22
14.12. 14:00,Legnica W,Handball Warszawa W,28,30
13.12. 16:00,Zory W,Sambor Tczew W,34,23
13.12. 14:00,Kielce W,SMS ZPRP Plock W,36,22
13.12. 14:00,Pogon Szczecin W,Olkusz W,33,31
07.12. 16:00,Pietrowice Wielkie W,Radom W,34,42
06.12. 18:00,Handball Warszawa W,Pogon Szczecin W,25,22
06.12. 16:00,Olkusz W,AZS Poznan W,31,33
06.12. 16:00,SMS ZPRP Plock W,Legnica W,22,32
06.12. 14:00,Kielce W,Sambor Tczew W,41,29
30.11. 16:00,Zory W,Radom W,27,33
29.11. 18:00Pen,AZS Poznan W,Handball Warszawa W,35,34
29.11. 18:00,Legnica W,Sambor Tczew W,34,19
29.11. 16:00,Olkusz W,Pietrowice Wielkie W,26,35
28.11. 17:00,Pogon Szczecin W,SMS ZPRP Plock W,26,22
22.11. 16:00,Olkusz W,Legnica W,29,28
15.11. 16:00,Pietrowice Wielkie W,Zory W,24,46
15.11. 16:00,Radom W,Kielce W,27,36
15.11. 14:00,Sambor Tczew W,Pogon Szczecin W,29,28
14.11. 18:00,Handball Warszawa W,Olkusz W,25,26
14.11. 18:00,SMS ZPRP Plock W,AZS Poznan W,20,30
09.11. 18:00,Kielce W,Zory W,26,19
07.11. 18:00,Handball Warszawa W,Pietrowice Wielkie W,30,21
07.11. 18:00,Olkusz W,SMS ZPRP Plock W,30,14
07.11. 16:00,Legnica W,Radom W,32,35
31.10. 19:00,AZS Poznan W,Sambor Tczew W,30,25
30.10. 17:00,Olkusz W,Radom W,30,32
26.10. 16:00,Pietrowice Wielkie W,Kielce W,32,34
25.10. 17:00,Radom W,Pogon Szczecin W,25,22
25.10. 15:00,Sambor Tczew W,Olkusz W,33,29
25.10. 15:00,Zory W,Legnica W,32,22
25.10. 13:00,SMS ZPRP Plock W,Handball Warszawa W,19,32
17.10. 18:00,AZS Poznan W,Pietrowice Wielkie W,38,30
12.10. 18:00,Handball Warszawa W,Sambor Tczew W,23,31
12.10. 14:00,Pogon Szczecin W,Zory W,23,28
11.10. 15:00,SMS ZPRP Plock W,Pietrowice Wielkie W,22,34
11.10. 13:00Pen,Legnica W,Kielce W,36,35
10.10. 18:00,AZS Poznan W,Radom W,27,31
05.10. 15:00,Zory W,AZS Poznan W,36,26
05.10. 11:00,Pietrowice Wielkie W,Legnica W,29,35
04.10. 15:00,Sambor Tczew W,SMS ZPRP Plock W,27,24
04.10. 13:00,Kielce W,Pogon Szczecin W,25,24
28.09. 17:00,Olkusz W,Zory W,24,37
28.09. 15:00,AZS Poznan W,Kielce W,36,26
28.09. 13:00,Pogon Szczecin W,Legnica W,19,23
27.09. 15:00,Sambor Tczew W,Pietrowice Wielkie W,36,24
25.09. 17:30,Handball Warszawa W,Radom W,31,36
21.09. 15:00,Zory W,Handball Warszawa W,29,19
20.09. 17:00,Legnica W,AZS Poznan W,25,32
20.09. 15:00,Pietrowice Wielkie W,Pogon Szczecin W,25,29
19.09. 17:00,Kielce W,Olkusz W,34,27
18.09. 18:00,SMS ZPRP Plock W,Radom W,18,34
14.09. 16:00,AZS Poznan W,Pogon Szczecin W,35,18
14.09. 15:00,Sambor Tczew W,Radom W,27,41
13.09. 17:00,Handball Warszawa W,Kielce W,26,30
13.09. 15:00,SMS ZPRP Plock W,Zory W,21,29
