date,home,away
06.03. 17:00FRO,Gwardia Koszalin,Slask Wroclaw
07.03. 14:00FRO,Biala Podlaska,ZPRP Kielce
07.03. 16:00FRO,Ciechanow,Szczecin
07.03. 18:00FRO,Grunwald Poznan,UW Warszawa
07.03. 18:00FRO,Legnica,Anilana Lodz
08.03. 14:00FRO,Stal Gorzow,Zamosc
08.03. 14:00FRO,Wagrowiec,Krakow
13.03. 16:00FRO,Szczecin,Stal Gorzow
13.03. 17:30FRO,Slask Wroclaw,Wagrowiec
13.03. 18:00FRO,Ciechanow,UW Warszawa
14.03. 16:00FRO,ZPRP Kielce,Grunwald Poznan
14.03. 18:00FRO,Anilana Lodz,Gwardia Koszalin
14.03. 18:00FRO,Zamosc,Legnica
15.03. 16:00FRO,Krakow,Biala Podlaska
27.03. 18:00FRO,Biala Podlaska,Wagrowiec
28.03. 14:00FRO,Gwardia Koszalin,Zamosc
28.03. 16:00FRO,Grunwald Poznan,Krakow
28.03. 16:00FRO,Stal Gorzow,UW Warszawa
28.03. 18:00FRO,Legnica,Szczecin
28.03. 19:00FRO,Slask Wroclaw,Anilana Lodz
29.03. 13:00FRO,Ciechanow,ZPRP Kielce
12.04. 16:00FRO,Krakow,Ciechanow
12.04. 16:00FRO,Slask Wroclaw,Biala Podlaska
12.04. 16:00FRO,Szczecin,Gwardia Koszalin
12.04. 16:00FRO,UW Warszawa,Legnica
12.04. 16:00FRO,Wagrowiec,Grunwald Poznan
12.04. 16:00FRO,Zamosc,Anilana Lodz
12.04. 16:00FRO,ZPRP Kielce,Stal Gorzow
19.04. 16:00FRO,Anilana Lodz,Szczecin
19.04. 16:00FRO,Ciechanow,Wagrowiec
19.04. 16:00FRO,Grunwald Poznan,Biala Podlaska
19.04. 16:00FRO,Gwardia Koszalin,UW Warszawa
19.04. 16:00FRO,Legnica,ZPRP Kielce
19.04. 16:00FRO,Stal Gorzow,Krakow
19.04. 16:00FRO,Zamosc,Slask Wroclaw
22.04. 17:30FRO,UW Warszawa,Anilana Lodz
26.04. 16:00FRO,Biala Podlaska,Ciechanow
26.04. 16:00FRO,Krakow,Legnica
26.04. 16:00FRO,Slask Wroclaw,Grunwald Poznan
26.04. 16:00FRO,Szczecin,Zamosc
26.04. 16:00FRO,Wagrowiec,Stal Gorzow
26.04. 16:00FRO,ZPRP Kielce,Gwardia Koszalin
03.05. 16:00FRO,Anilana Lodz,ZPRP Kielce
03.05. 16:00FRO,Ciechanow,Grunwald Poznan
03.05. 16:00FRO,Gwardia Koszalin,Krakow
03.05. 16:00FRO,Legnica,Wagrowiec
03.05. 16:00FRO,Stal Gorzow,Biala Podlaska
03.05. 16:00FRO,Szczecin,Slask Wroclaw
03.05. 16:00FRO,Zamosc,UW Warszawa
10.05. 16:00FRO,Biala Podlaska,Legnica
10.05. 16:00FRO,Grunwald Poznan,Stal Gorzow
10.05. 16:00FRO,Krakow,Anilana Lodz
10.05. 16:00FRO,Slask Wroclaw,Ciechanow
10.05. 16:00FRO,UW Warszawa,Szczecin
10.05. 16:00FRO,Wagrowiec,Gwardia Koszalin
10.05. 16:00FRO,ZPRP Kielce,Zamosc
