date,home,away,home_score,away_score
04.02. 20:00,Manchester City,Newcastle,3,1
03.02. 20:00,Arsenal,Chelsea,1,0
14.01. 20:00,Chelsea,Arsenal,2,3
13.01. 20:00,Newcastle,Manchester City,0,2
23.12. 20:00Pen,Arsenal,Crystal Palace,2,1
17.12. 20:15,Newcastle,Fulham,2,1
17.12. 19:30,Manchester City,Brentford,2,0
16.12. 20:00,Cardiff,Chelsea,1,3
29.10. 20:00,Newcastle,Tottenham,2,0
29.10. 19:45,Arsenal,Brighton,2,0
29.10. 19:45,Liverpool,Crystal Palace,0,3
29.10. 19:45,Swansea,Manchester City,1,3
29.10. 19:45,Wolves,Chelsea,3,4
28.10. 20:00,Wrexham,Cardiff,1,2
28.10. 19:45,Grimsby,Brentford,0,5
28.10. 19:45Pen,Wycombe,Fulham,1,2
24.09. 19:00,Port Vale,Arsenal,0,2
24.09. 18:45,Huddersfield,Manchester City,0,2
24.09. 18:45,Newcastle,Bradford City,4,1
24.09. 18:45,Tottenham,Doncaster,3,0
23.09. 19:00,Liverpool,Southampton,2,1
23.09. 18:45,Barnsley,Brighton,0,6
23.09. 18:45,Burnley,Cardiff,1,2
23.09. 18:45,Fulham,Cambridge Utd,1,0
23.09. 18:45,Lincoln,Chelsea,1,2
23.09. 18:45,Wigan,Wycombe,0,2
23.09. 18:45,Wolves,Everton,2,0
23.09. 18:45,Wrexham,Reading,2,0
17.09. 19:00,Swansea,Nottingham,3,2
16.09. 19:00Pen,Brentford,Aston Villa,2,1
16.09. 19:00Pen,Crystal Palace,Millwall,2,1
16.09. 18:45,Sheffield Wed,Grimsby,0,1
27.08. 19:00,Everton,Mansfield,2,0
27.08. 19:00Pen,Grimsby,Manchester Utd,3,2
27.08. 18:45,Fulham,Bristol City,2,0
27.08. 18:45,Oxford Utd,Brighton,0,6
26.08. 19:00Pen,Sheffield Wed,Leeds,2,1
26.08. 18:45,Accrington,Doncaster,0,2
26.08. 18:45,Barnsley,Rotherham,2,1
26.08. 18:45,Birmingham,Port Vale,0,1
26.08. 18:45,Bournemouth,Brentford,0,2
26.08. 18:45Pen,Bromley,Wycombe,1,2
26.08. 18:45,Burnley,Derby,2,1
26.08. 18:45,Burton,Lincoln,0,1
26.08. 18:45,Cardiff,Cheltenham,3,0
26.08. 18:45,Millwall,Coventry,2,1
26.08. 18:45,Norwich,Southampton,0,3
26.08. 18:45,Preston,Wrexham,2,3
26.08. 18:45,Stoke,Bradford City,0,3
26.08. 18:45Pen,Sunderland,Huddersfield,1,2
26.08. 18:45Pen,Swansea,Plymouth,2,1
26.08. 18:45,Wigan,Stockport County,1,0
26.08. 18:30,Cambridge Utd,Charlton,3,1
26.08. 18:30,Wolves,West Ham,3,2
26.08. 18:00,Reading,AFC Wimbledon,2,1
19.08. 18:45Pen,Tranmere,Burton,1,2
13.08. 19:00,Birmingham,Sheffield Utd,2,1
13.08. 18:45Pen,Barnsley,Fleetwood,3,2
13.08. 18:45Pen,Bolton,Sheffield Wed,3,4
13.08. 18:45,Cheltenham,Exeter,2,0
13.08. 18:45Pen,Huddersfield,Leicester,3,2
12.08. 19:00Pen,Bromley,Ipswich,2,1
12.08. 18:45,Accrington,Peterborough,2,1
12.08. 18:45,Blackburn,Bradford City,1,2
12.08. 18:45,Blackpool,Port Vale,0,1
12.08. 18:45,Bristol City,MK Dons,2,0
12.08. 18:45,Bristol Rovers,Cambridge Utd,0,2
12.08. 18:45,Cardiff,Swindon,2,1
12.08. 18:45,Charlton,Stevenage,3,1
12.08. 18:45,Chesterfield,Mansfield,0,2
12.08. 18:45,Coventry,Luton,1,0
12.08. 18:45Pen,Gillingham,AFC Wimbledon,1,2
12.08. 18:45,Grimsby,Shrewsbury,3,1
12.08. 18:45,Harrogate,Lincoln,1,3
12.08. 18:45,Leyton Orient,Wycombe,0,1
12.08. 18:45,Northampton,Southampton,0,1
12.08. 18:45,Oxford Utd,Colchester,1,0
12.08. 18:45,Plymouth,QPR,3,2
12.08. 18:45,Portsmouth,Reading,1,2
12.08. 18:45Pen,Salford,Rotherham,0,1
12.08. 18:45Pen,Stoke,Walsall,1,0
12.08. 18:45,Watford,Norwich,1,2
12.08. 18:45Pen,West Brom,Derby,1,2
12.08. 18:45,Wigan,Notts Co,1,0
12.08. 18:45Pen,Wrexham,Hull,4,3
12.08. 18:30,Barrow,Preston,0,1
12.08. 18:30,Middlesbrough,Doncaster,0,4
12.08. 18:30,Newport,Millwall,0,1
12.08. 18:30,Stockport County,Crewe,3,1
12.08. 18:00,Swansea,Crawley,3,1
05.08. 18:45,Accrington,Oldham,3,1
29.07. 18:30Pen,Barnet,Newport,2,3
