date,home,away,home_score,away_score
03.03. 19:45,Bromley,Oldham,0,0
03.03. 19:45,Chesterfield,Colchester,3,0
03.03. 19:45,Grimsby,Salford,3,1
03.03. 19:45,Newport,Tranmere,3,1
03.03. 19:45,Walsall,Fleetwood,0,1
28.02. 15:00,Barnet,Chesterfield,1,0
28.02. 15:00,Barrow,Gillingham,0,1
28.02. 15:00,Bromley,Accrington,2,1
28.02. 15:00,Colchester,Salford,0,1
28.02. 15:00,Crewe,Tranmere,2,1
28.02. 15:00,Fleetwood,Newport,0,0
28.02. 15:00,Notts Co,Grimsby,0,1
28.02. 15:00,Oldham,Crawley,2,0
28.02. 12:30,Cambridge Utd,MK Dons,1,1
28.02. 12:30,Shrewsbury,Walsall,1,2
28.02. 12:30,Swindon,Bristol Rovers,1,1
27.02. 19:45,Harrogate,Cheltenham,1,1
24.02. 19:45,Accrington,Barnet,0,1
24.02. 19:45,Salford,Shrewsbury,1,2
23.02. 20:00,Walsall,MK Dons,0,2
21.02. 15:00,Accrington,Shrewsbury,0,2
21.02. 15:00,Bristol Rovers,Grimsby,3,1
21.02. 15:00,Cheltenham,Salford,3,2
21.02. 15:00,Colchester,Barnet,4,1
21.02. 15:00,Crawley,Chesterfield,1,1
21.02. 15:00,Gillingham,Oldham,0,3
21.02. 15:00,Harrogate,Bromley,0,0
21.02. 15:00,Newport,Cambridge Utd,0,2
21.02. 15:00,Notts Co,Tranmere,5,0
21.02. 12:30,Fleetwood,Barrow,3,2
21.02. 12:30,Swindon,Crewe,1,2
18.02. 19:45,Grimsby,Walsall,2,2
17.02. 19:45,Barnet,Swindon,1,2
17.02. 19:45,Barrow,Harrogate,0,1
17.02. 19:45,Bromley,Cheltenham,1,1
17.02. 19:45,Cambridge Utd,Colchester,1,1
17.02. 19:45,Chesterfield,Gillingham,1,0
17.02. 19:45,Crewe,Fleetwood,0,1
17.02. 19:45,MK Dons,Crawley,0,0
17.02. 19:45,Oldham,Bristol Rovers,2,0
17.02. 19:45,Salford,Newport,1,3
17.02. 19:45,Shrewsbury,Notts Co,1,0
17.02. 19:45,Tranmere,Accrington,0,1
14.02. 15:00,Barrow,Colchester,1,0
14.02. 15:00,Bromley,Notts Co,1,1
14.02. 15:00,Cambridge Utd,Bristol Rovers,3,1
14.02. 15:00,Chesterfield,Harrogate,1,1
14.02. 15:00,Crewe,Gillingham,1,0
14.02. 15:00,MK Dons,Newport,1,0
14.02. 15:00,Oldham,Fleetwood,1,1
14.02. 15:00,Shrewsbury,Swindon,3,1
14.02. 15:00,Tranmere,Crawley,2,0
14.02. 12:30,Barnet,Cheltenham,0,0
11.02. 20:00,Swindon,Newport,2,0
11.02. 19:45,Grimsby,Accrington,1,0
10.02. 19:45,Crawley,Cambridge Utd,0,3
10.02. 19:45,Shrewsbury,Barrow,2,1
07.02. 15:01,Bristol Rovers,Chesterfield,2,3
07.02. 15:01,Cheltenham,MK Dons,2,3
07.02. 15:01,Colchester,Shrewsbury,2,0
07.02. 15:01,Fleetwood,Bromley,1,2
07.02. 15:01,Gillingham,Tranmere,2,1
07.02. 15:01,Harrogate,Cambridge Utd,2,1
07.02. 15:01,Newport,Grimsby,0,0
07.02. 15:01,Notts Co,Barrow,2,1
07.02. 15:01,Walsall,Barnet,1,3
07.02. 12:31,Crawley,Crewe,0,1
07.02. 12:31,Swindon,Oldham,3,0
05.02. 20:01,Accrington,Salford,1,0
03.02. 19:45,Barnet,Crewe,1,1
03.02. 19:45,Bristol Rovers,Walsall,2,0
03.02. 19:45,Harrogate,Swindon,0,1
03.02. 19:45,Notts Co,Gillingham,1,0
31.01. 15:00,Accrington,Cheltenham,3,1
31.01. 15:00,Chesterfield,Walsall,2,2
31.01. 15:00,Crawley,Harrogate,2,0
31.01. 15:00,Crewe,Colchester,1,0
31.01. 15:00,Fleetwood,Notts Co,1,2
31.01. 15:00,Gillingham,Bromley,1,4
31.01. 15:00,Oldham,Cambridge Utd,0,3
31.01. 15:00,Shrewsbury,Barnet,0,0
31.01. 15:00,Swindon,Barrow,3,1
31.01. 15:00,Tranmere,Salford,0,2
31.01. 12:30,Bristol Rovers,Newport,3,0
31.01. 12:30,Grimsby,MK Dons,2,2
27.01. 19:45,Barnet,Tranmere,1,0
27.01. 19:45,Bromley,Crewe,2,2
27.01. 19:45,Cambridge Utd,Shrewsbury,1,0
27.01. 19:45,Colchester,Grimsby,0,1
27.01. 19:45,Harrogate,Fleetwood,1,2
27.01. 19:45,MK Dons,Bristol Rovers,1,0
27.01. 19:45,Notts Co,Swindon,2,1
27.01. 19:45,Salford,Chesterfield,0,1
27.01. 19:45,Walsall,Crawley,0,0
27.01. 19:30,Newport,Accrington,1,4
24.01. 15:00,Barrow,Crawley,0,1
24.01. 15:00,Bromley,Swindon,2,1
24.01. 15:00,Cambridge Utd,Tranmere,4,2
24.01. 15:00,Cheltenham,Grimsby,0,2
24.01. 15:00,Colchester,Fleetwood,2,1
24.01. 15:00,Harrogate,Gillingham,0,3
24.01. 15:00,MK Dons,Shrewsbury,5,1
24.01. 15:00,Newport,Chesterfield,2,1
24.01. 15:00,Salford,Bristol Rovers,1,0
24.01. 15:00,Walsall,Accrington,0,0
24.01. 12:30,Barnet,Oldham,3,2
24.01. 12:30,Notts Co,Crewe,1,0
17.01. 15:00,Accrington,MK Dons,0,2
17.01. 15:00,Bristol Rovers,Colchester,0,1
17.01. 15:00,Crawley,Notts Co,1,2
17.01. 15:00,Crewe,Barrow,3,1
17.01. 15:00,Fleetwood,Cambridge Utd,1,2
17.01. 15:00,Gillingham,Newport,3,2
17.01. 15:00,Grimsby,Barnet,1,0
17.01. 15:00,Oldham,Cheltenham,2,1
17.01. 15:00,Shrewsbury,Harrogate,1,0
17.01. 15:00,Swindon,Salford,2,3
17.01. 12:30,Chesterfield,Bromley,0,0
17.01. 12:30,Tranmere,Walsall,1,3
10.01. 15:00,Crewe,Harrogate,1,1
10.01. 15:00,Tranmere,Bromley,0,2
04.01. 12:00,Cheltenham,Crawley,3,0
04.01. 12:00,MK Dons,Chesterfield,2,2
01.01. 15:00,Barnet,Crawley,2,1
01.01. 15:00,Barrow,Salford,1,2
01.01. 15:00,Bromley,Newport,2,1
01.01. 15:00,Cambridge Utd,Walsall,2,0
01.01. 15:00,Colchester,MK Dons,1,0
01.01. 15:00,Crewe,Cheltenham,4,1
01.01. 15:00,Fleetwood,Grimsby,0,1
01.01. 15:00,Harrogate,Tranmere,0,2
01.01. 15:00,Notts Co,Accrington,0,1
01.01. 15:00,Oldham,Chesterfield,1,1
01.01. 15:00,Shrewsbury,Bristol Rovers,0,3
01.01. 15:00,Swindon,Gillingham,2,0
29.12. 19:45,Accrington,Harrogate,1,0
29.12. 19:45,Bristol Rovers,Barnet,0,2
29.12. 19:45,Cheltenham,Swindon,0,2
29.12. 19:45,Chesterfield,Cambridge Utd,0,1
29.12. 19:45,Crawley,Bromley,1,3
29.12. 19:45,Gillingham,Colchester,1,1
29.12. 19:45,Grimsby,Shrewsbury,1,0
29.12. 19:45,MK Dons,Notts Co,1,1
29.12. 19:45,Salford,Fleetwood,0,0
29.12. 19:45,Tranmere,Barrow,1,3
29.12. 19:45,Walsall,Oldham,1,2
29.12. 19:30,Newport,Crewe,2,0
26.12. 15:00,Accrington,Barrow,2,1
26.12. 15:00,Bristol Rovers,Bromley,2,3
26.12. 15:00,Cheltenham,Shrewsbury,3,1
26.12. 15:00,Chesterfield,Notts Co,2,0
26.12. 15:00,Crawley,Colchester,1,1
26.12. 15:00,Gillingham,Cambridge Utd,1,1
26.12. 15:00,Grimsby,Oldham,0,0
26.12. 15:00,MK Dons,Swindon,1,0
26.12. 15:00,Newport,Barnet,0,0
26.12. 15:00,Salford,Harrogate,1,0
26.12. 15:00,Tranmere,Fleetwood,1,0
26.12. 15:00,Walsall,Crewe,1,0
20.12. 15:00,Barnet,Salford,1,3
20.12. 15:00,Colchester,Newport,4,1
20.12. 15:00,Fleetwood,Gillingham,2,1
20.12. 15:00,Harrogate,MK Dons,0,4
20.12. 15:00,Oldham,Tranmere,3,1
20.12. 15:00,Shrewsbury,Chesterfield,0,1
20.12. 15:00,Swindon,Crawley,1,0
20.12. 12:30,Bromley,Grimsby,2,0
20.12. 12:30,Notts Co,Walsall,0,0
19.12. 19:45,Barrow,Cheltenham,1,2
19.12. 19:45,Cambridge Utd,Accrington,2,0
19.12. 19:45,Crewe,Bristol Rovers,1,1
13.12. 15:00,Accrington,Bromley,0,1
13.12. 15:00,Cheltenham,Harrogate,1,1
13.12. 15:00,Chesterfield,Barnet,3,1
13.12. 15:00,Crawley,Oldham,2,2
13.12. 15:00,Gillingham,Barrow,2,2
13.12. 15:00,Grimsby,Notts Co,0,2
13.12. 15:00,MK Dons,Cambridge Utd,1,1
13.12. 15:00,Newport,Fleetwood,0,2
13.12. 15:00,Tranmere,Crewe,1,4
13.12. 15:00,Walsall,Shrewsbury,1,1
13.12. 12:30,Bristol Rovers,Swindon,0,3
13.12. 12:30,Salford,Colchester,4,3
10.12. 19:45,Crewe,Newport,2,2
10.12. 19:45,Oldham,Walsall,0,1
09.12. 19:45,Barnet,Bristol Rovers,4,0
09.12. 19:45,Barrow,Tranmere,0,3
09.12. 19:45,Bromley,Crawley,3,1
09.12. 19:45,Cambridge Utd,Chesterfield,1,1
09.12. 19:45,Fleetwood,Salford,1,1
09.12. 19:45,Harrogate,Accrington,0,2
09.12. 19:45,Notts Co,MK Dons,3,2
09.12. 19:45,Shrewsbury,Grimsby,1,1
09.12. 19:45,Swindon,Cheltenham,0,1
06.12. 12:30,Colchester,Gillingham,0,0
29.11. 15:00,Barnet,Harrogate,1,1
29.11. 15:00,Bristol Rovers,Notts Co,0,1
29.11. 15:00,Cambridge Utd,Crewe,2,1
29.11. 15:00,Chesterfield,Swindon,1,2
29.11. 15:00,Colchester,Cheltenham,2,0
29.11. 15:00,Newport,Barrow,2,2
29.11. 15:00,Salford,Crawley,4,3
29.11. 15:00,Shrewsbury,Gillingham,3,3
29.11. 15:00,Walsall,Bromley,3,1
29.11. 12:30,Accrington,Oldham,1,0
29.11. 12:30,MK Dons,Fleetwood,2,1
27.11. 20:00,Grimsby,Tranmere,1,2
22.11. 15:00,Barrow,Cambridge Utd,0,2
22.11. 15:00,Bromley,Salford,2,0
22.11. 15:00,Cheltenham,Bristol Rovers,1,0
22.11. 15:00,Crawley,Accrington,1,1
22.11. 15:00,Crewe,Chesterfield,3,3
22.11. 15:00,Fleetwood,Shrewsbury,3,1
22.11. 15:00,Notts Co,Colchester,1,3
22.11. 15:00,Oldham,Newport,3,0
22.11. 15:00,Swindon,Grimsby,2,2
22.11. 15:00,Tranmere,MK Dons,2,2
22.11. 12:30,Gillingham,Barnet,1,1
22.11. 12:30,Harrogate,Walsall,0,2
15.11. 17:30,Gillingham,Crawley,2,2
15.11. 15:00,Accrington,Bristol Rovers,3,1
15.11. 15:00,Bromley,Barrow,2,1
15.11. 15:00,Cambridge Utd,Barnet,0,0
15.11. 15:00,Fleetwood,Swindon,1,1
15.11. 15:00,Grimsby,Chesterfield,0,1
15.11. 15:00,MK Dons,Salford,2,0
15.11. 15:00,Notts Co,Harrogate,1,1
15.11. 15:00,Oldham,Crewe,0,0
15.11. 15:00,Shrewsbury,Newport,1,0
15.11. 15:00,Tranmere,Cheltenham,3,2
15.11. 15:00,Walsall,Colchester,0,2
10.11. 20:00,Cheltenham,Notts Co,1,2
08.11. 15:00,Barnet,MK Dons,2,2
08.11. 15:00,Barrow,Grimsby,2,2
08.11. 15:00,Bristol Rovers,Gillingham,0,1
08.11. 15:00,Chesterfield,Accrington,3,3
08.11. 15:00,Crawley,Fleetwood,2,1
08.11. 15:00,Harrogate,Oldham,0,1
08.11. 15:00,Newport,Walsall,2,4
08.11. 15:00,Salford,Cambridge Utd,0,0
08.11. 15:00,Swindon,Tranmere,2,1
08.11. 12:30,Colchester,Bromley,0,2
08.11. 12:30,Crewe,Shrewsbury,3,1
28.10. 19:45,Accrington,Tranmere,1,1
25.10. 14:00,Barrow,Barnet,2,2
25.10. 14:00,Bromley,MK Dons,2,1
25.10. 14:00,Crawley,Bristol Rovers,4,0
25.10. 14:00,Crewe,Grimsby,3,2
25.10. 14:00,Gillingham,Salford,1,2
25.10. 14:00,Harrogate,Newport,0,3
25.10. 14:00,Notts Co,Cambridge Utd,2,0
25.10. 14:00,Oldham,Shrewsbury,2,2
25.10. 14:00,Swindon,Colchester,0,0
25.10. 14:00,Tranmere,Chesterfield,1,1
25.10. 11:30,Cheltenham,Walsall,1,0
25.10. 11:30,Fleetwood,Accrington,2,1
21.10. 18:45,Swindon,Notts Co,2,2
18.10. 14:00,Accrington,Swindon,4,0
18.10. 14:00,Barnet,Notts Co,0,1
18.10. 14:00,Bristol Rovers,Tranmere,1,4
18.10. 14:00,Chesterfield,Fleetwood,1,1
18.10. 14:00,Colchester,Harrogate,3,1
18.10. 14:00,Grimsby,Gillingham,1,0
18.10. 14:00,MK Dons,Crewe,3,1
18.10. 14:00,Newport,Cheltenham,0,2
18.10. 14:00,Shrewsbury,Crawley,1,0
18.10. 14:00,Walsall,Barrow,1,2
18.10. 11:30,Cambridge Utd,Bromley,2,1
18.10. 11:30,Salford,Oldham,1,0
11.10. 16:30,Oldham,Barrow,0,0
11.10. 14:00,Accrington,Newport,0,1
11.10. 14:00,Bristol Rovers,MK Dons,0,4
11.10. 14:00,Chesterfield,Salford,2,0
11.10. 14:00,Crawley,Walsall,1,1
11.10. 14:00,Crewe,Bromley,0,1
11.10. 14:00,Fleetwood,Harrogate,3,2
11.10. 14:00,Gillingham,Cheltenham,1,1
11.10. 14:00,Grimsby,Colchester,1,2
11.10. 14:00,Shrewsbury,Cambridge Utd,2,0
11.10. 14:00,Tranmere,Barnet,0,2
06.10. 19:00,Harrogate,Crewe,1,2
04.10. 14:00,Barnet,Accrington,2,0
04.10. 14:00,Barrow,Shrewsbury,0,0
04.10. 14:00,Bromley,Tranmere,3,3
04.10. 14:00,Cambridge Utd,Crawley,3,1
04.10. 14:00,Cheltenham,Fleetwood,2,0
04.10. 14:00,Colchester,Chesterfield,6,2
04.10. 14:00,Notts Co,Oldham,3,1
04.10. 14:00,Salford,Grimsby,0,2
04.10. 14:00,Walsall,Bristol Rovers,2,1
04.10. 11:30,MK Dons,Gillingham,3,2
04.10. 11:30,Newport,Swindon,0,1
27.09. 14:00,Accrington,Walsall,1,3
27.09. 14:00,Bristol Rovers,Salford,2,1
27.09. 14:00,Chesterfield,Newport,4,1
27.09. 14:00,Crawley,Barrow,1,2
27.09. 14:00,Fleetwood,Colchester,4,2
27.09. 14:00,Gillingham,Harrogate,0,1
27.09. 14:00,Grimsby,Cheltenham,7,1
27.09. 14:00,Shrewsbury,MK Dons,1,2
27.09. 14:00,Swindon,Bromley,2,0
27.09. 14:00,Tranmere,Cambridge Utd,0,0
27.09. 11:30,Crewe,Notts Co,2,1
27.09. 11:30,Oldham,Barnet,1,1
20.09. 14:00,Barnet,Grimsby,3,0
20.09. 14:00,Barrow,Crewe,1,0
20.09. 14:00,Bromley,Chesterfield,2,2
20.09. 14:00,Cheltenham,Oldham,0,3
20.09. 14:00,Colchester,Bristol Rovers,1,1
20.09. 14:00,MK Dons,Accrington,1,2
20.09. 14:00,Newport,Gillingham,1,3
20.09. 14:00,Notts Co,Crawley,4,0
20.09. 14:00,Salford,Swindon,3,2
20.09. 14:00,Walsall,Tranmere,4,2
20.09. 11:30,Cambridge Utd,Fleetwood,2,1
20.09. 11:30,Harrogate,Shrewsbury,2,0
13.09. 14:00,Bristol Rovers,Barrow,2,1
13.09. 14:00,Chesterfield,MK Dons,1,1
13.09. 14:00,Crewe,Barnet,1,2
13.09. 14:00,Fleetwood,Walsall,1,1
13.09. 14:00,Gillingham,Notts Co,1,0
13.09. 14:00,Grimsby,Cambridge Utd,1,1
13.09. 14:00,Oldham,Bromley,1,0
13.09. 14:00,Shrewsbury,Salford,1,3
13.09. 14:00,Swindon,Harrogate,3,1
13.09. 14:00,Tranmere,Newport,1,1
13.09. 11:30,Accrington,Colchester,1,0
13.09. 11:30,Crawley,Cheltenham,2,0
06.09. 16:30,Bromley,Gillingham,2,2
06.09. 14:00,Barnet,Shrewsbury,1,3
06.09. 14:00,Barrow,Swindon,1,3
06.09. 14:00,Cambridge Utd,Oldham,0,1
06.09. 14:00,Cheltenham,Accrington,1,0
06.09. 14:00,Colchester,Crewe,1,1
06.09. 14:00,Harrogate,Crawley,0,1
06.09. 14:00,MK Dons,Grimsby,2,3
06.09. 14:00,Notts Co,Fleetwood,1,0
06.09. 14:00,Salford,Tranmere,3,1
06.09. 14:00,Walsall,Chesterfield,1,0
06.09. 11:30,Newport,Bristol Rovers,2,3
30.08. 14:00,Barnet,Colchester,1,1
30.08. 14:00,Bromley,Harrogate,2,0
30.08. 14:00,Cambridge Utd,Newport,2,0
30.08. 14:00,Chesterfield,Crawley,2,2
30.08. 14:00,Grimsby,Bristol Rovers,0,1
30.08. 14:00,MK Dons,Walsall,0,1
30.08. 14:00,Oldham,Gillingham,0,1
30.08. 14:00,Shrewsbury,Accrington,0,0
30.08. 14:00,Tranmere,Notts Co,1,2
30.08. 11:30,Barrow,Fleetwood,0,1
30.08. 11:30,Crewe,Swindon,0,3
29.08. 18:45,Salford,Cheltenham,1,1
23.08. 14:00,Accrington,Grimsby,1,1
23.08. 14:00,Bristol Rovers,Cambridge Utd,1,0
23.08. 14:00,Cheltenham,Barnet,0,1
23.08. 14:00,Colchester,Barrow,0,2
23.08. 14:00,Crawley,Tranmere,0,2
23.08. 14:00,Fleetwood,Oldham,1,1
23.08. 14:00,Gillingham,Crewe,1,0
23.08. 14:00,Harrogate,Chesterfield,1,2
23.08. 14:00,Notts Co,Bromley,2,2
23.08. 14:00,Swindon,Shrewsbury,2,1
23.08. 11:30,Newport,MK Dons,1,2
23.08. 11:30,Walsall,Salford,1,0
20.08. 18:45,Notts Co,Shrewsbury,4,1
19.08. 19:00,Walsall,Grimsby,0,1
19.08. 18:45,Bristol Rovers,Oldham,0,0
19.08. 18:45,Cheltenham,Bromley,1,2
19.08. 18:45,Colchester,Cambridge Utd,1,2
19.08. 18:45,Crawley,MK Dons,1,1
19.08. 18:45,Fleetwood,Crewe,1,4
19.08. 18:45,Gillingham,Chesterfield,4,1
19.08. 18:45,Harrogate,Barrow,1,0
19.08. 18:45,Swindon,Barnet,0,2
19.08. 18:30,Newport,Salford,0,1
16.08. 14:00,Barnet,Walsall,1,2
16.08. 14:00,Barrow,Notts Co,2,1
16.08. 14:00,Bromley,Fleetwood,2,2
16.08. 14:00,Cambridge Utd,Harrogate,1,1
16.08. 14:00,Crewe,Crawley,1,0
16.08. 14:00,Grimsby,Newport,2,1
16.08. 14:00,MK Dons,Cheltenham,5,0
16.08. 14:00,Salford,Accrington,2,1
16.08. 14:00,Shrewsbury,Colchester,0,2
16.08. 14:00,Tranmere,Gillingham,1,1
16.08. 11:30,Chesterfield,Bristol Rovers,3,1
16.08. 11:30,Oldham,Swindon,1,2
09.08. 14:00,Barrow,MK Dons,0,2
09.08. 14:00,Bromley,Barnet,2,0
09.08. 14:00,Cheltenham,Chesterfield,0,2
09.08. 14:00,Crawley,Newport,1,2
09.08. 14:00,Crewe,Accrington,2,0
09.08. 14:00,Fleetwood,Bristol Rovers,2,1
09.08. 14:00,Gillingham,Walsall,1,0
09.08. 14:00,Harrogate,Grimsby,3,3
09.08. 14:00,Oldham,Colchester,1,1
09.08. 14:00,Swindon,Cambridge Utd,3,2
09.08. 11:30,Notts Co,Salford,1,2
09.08. 11:30,Tranmere,Shrewsbury,4,0
02.08. 15:00,Newport,Notts Co,1,1
02.08. 14:00,Accrington,Gillingham,1,1
02.08. 14:00,Barnet,Fleetwood,0,2
02.08. 14:00,Bristol Rovers,Harrogate,0,1
02.08. 14:00,Cambridge Utd,Cheltenham,1,0
02.08. 14:00,Chesterfield,Barrow,1,0
02.08. 14:00,Colchester,Tranmere,1,1
02.08. 14:00,Grimsby,Crawley,3,0
02.08. 14:00,MK Dons,Oldham,0,0
02.08. 14:00,Salford,Crewe,1,3
02.08. 14:00,Shrewsbury,Bromley,0,0
02.08. 14:00,Walsall,Swindon,2,1
