date,home,away
06.03. 19:45,Cheltenham,Barrow
07.03. 12:30,Grimsby,Bromley
07.03. 12:30,Salford,Barnet
07.03. 15:00,Accrington,Cambridge Utd
07.03. 15:00,Bristol Rovers,Crewe
07.03. 15:00,Chesterfield,Shrewsbury
07.03. 15:00,Crawley,Swindon
07.03. 15:00,Gillingham,Fleetwood
07.03. 15:00,MK Dons,Harrogate
07.03. 15:00,Newport,Colchester
07.03. 15:00,Tranmere,Oldham
07.03. 15:00,Walsall,Notts Co
10.03. 19:45,Barrow,Bristol Rovers
10.03. 19:45,Fleetwood,Cheltenham
10.03. 19:45,Gillingham,MK Dons
10.03. 19:45Postp,Salford,Walsall
13.03. 19:45,Colchester,Crawley
14.03. 12:30,Harrogate,Salford
14.03. 12:30,Notts Co,Chesterfield
14.03. 15:00,Barnet,Newport
14.03. 15:00,Barrow,Accrington
14.03. 15:00,Bromley,Bristol Rovers
14.03. 15:00,Cambridge Utd,Gillingham
14.03. 15:00,Crewe,Walsall
14.03. 15:00,Fleetwood,Tranmere
14.03. 15:00,Oldham,Grimsby
14.03. 15:00,Shrewsbury,Cheltenham
14.03. 15:00,Swindon,MK Dons
17.03. 19:30,Newport,Bromley
17.03. 19:45,Accrington,Notts Co
17.03. 19:45,Bristol Rovers,Shrewsbury
17.03. 19:45,Cheltenham,Crewe
17.03. 19:45,Chesterfield,Oldham
17.03. 19:45,Crawley,Barnet
17.03. 19:45,Gillingham,Swindon
17.03. 19:45,Grimsby,Fleetwood
17.03. 19:45,Salford,Barrow
17.03. 19:45,Tranmere,Harrogate
17.03. 19:45,Walsall,Cambridge Utd
18.03. 20:00,MK Dons,Colchester
21.03. 12:30,Cambridge Utd,Salford
21.03. 12:30,MK Dons,Barnet
21.03. 15:00,Accrington,Chesterfield
21.03. 15:00,Bromley,Colchester
21.03. 15:00,Fleetwood,Crawley
21.03. 15:00,Gillingham,Bristol Rovers
21.03. 15:00,Grimsby,Barrow
21.03. 15:00,Notts Co,Cheltenham
21.03. 15:00,Oldham,Harrogate
21.03. 15:00,Shrewsbury,Crewe
21.03. 15:00,Tranmere,Swindon
21.03. 15:00,Walsall,Newport
24.03. 19:45,Cambridge Utd,Grimsby
24.03. 19:45,Oldham,Notts Co
28.03. 12:30,Harrogate,Notts Co
28.03. 15:00,Barnet,Cambridge Utd
28.03. 15:00,Barrow,Bromley
28.03. 15:00,Bristol Rovers,Accrington
28.03. 15:00,Cheltenham,Tranmere
28.03. 15:00,Chesterfield,Grimsby
28.03. 15:00,Colchester,Walsall
28.03. 15:00,Crawley,Gillingham
28.03. 15:00,Crewe,Oldham
28.03. 15:00,Newport,Shrewsbury
28.03. 15:00,Salford,MK Dons
28.03. 15:00,Swindon,Fleetwood
02.04. 19:00,Cambridge Utd,Swindon
03.04. 14:00,Accrington,Crewe
03.04. 14:00,Barnet,Bromley
03.04. 14:00,Bristol Rovers,Fleetwood
03.04. 14:00,Chesterfield,Cheltenham
03.04. 14:00,Colchester,Oldham
03.04. 14:00,Grimsby,Harrogate
03.04. 14:00,MK Dons,Barrow
03.04. 14:00,Newport,Crawley
03.04. 14:00,Salford,Notts Co
03.04. 14:00,Shrewsbury,Tranmere
03.04. 14:00,Walsall,Gillingham
06.04. 14:00,Barrow,Chesterfield
06.04. 14:00,Cheltenham,Cambridge Utd
06.04. 14:00,Crawley,Grimsby
06.04. 14:00,Crewe,Salford
06.04. 14:00,Fleetwood,Barnet
06.04. 14:00,Gillingham,Accrington
06.04. 14:00,Harrogate,Bristol Rovers
06.04. 14:00,Notts Co,Newport
06.04. 14:00,Oldham,MK Dons
06.04. 14:00,Swindon,Walsall
06.04. 14:00,Tranmere,Colchester
07.04. 19:00,Bromley,Shrewsbury
10.04. 18:45,Colchester,Swindon
11.04. 14:00,Accrington,Fleetwood
11.04. 14:00,Barnet,Barrow
11.04. 14:00,Bristol Rovers,Crawley
11.04. 14:00,Cambridge Utd,Notts Co
11.04. 14:00,Chesterfield,Tranmere
11.04. 14:00,Grimsby,Crewe
11.04. 14:00,MK Dons,Bromley
11.04. 14:00,Newport,Harrogate
11.04. 14:00,Salford,Gillingham
11.04. 14:00,Shrewsbury,Oldham
11.04. 14:00,Walsall,Cheltenham
14.04. 18:45,Barrow,Oldham
14.04. 18:45,Cheltenham,Gillingham
14.04. 18:45,Colchester,Accrington
18.04. 14:00,Barrow,Walsall
18.04. 14:00,Bromley,Cambridge Utd
18.04. 14:00,Cheltenham,Newport
18.04. 14:00,Crawley,Shrewsbury
18.04. 14:00,Crewe,MK Dons
18.04. 14:00,Fleetwood,Chesterfield
18.04. 14:00,Gillingham,Grimsby
18.04. 14:00,Harrogate,Colchester
18.04. 14:00,Notts Co,Barnet
18.04. 14:00,Oldham,Salford
18.04. 14:00,Swindon,Accrington
18.04. 14:00,Tranmere,Bristol Rovers
25.04. 14:00,Accrington,Crawley
25.04. 14:00,Barnet,Gillingham
25.04. 14:00,Bristol Rovers,Cheltenham
25.04. 14:00,Cambridge Utd,Barrow
25.04. 14:00,Chesterfield,Crewe
25.04. 14:00,Colchester,Notts Co
25.04. 14:00,Grimsby,Swindon
25.04. 14:00,MK Dons,Tranmere
25.04. 14:00,Newport,Oldham
25.04. 14:00,Salford,Bromley
25.04. 14:00,Shrewsbury,Fleetwood
25.04. 14:00,Walsall,Harrogate
02.05. 14:00,Barrow,Newport
02.05. 14:00,Bromley,Walsall
02.05. 14:00,Cheltenham,Colchester
02.05. 14:00,Crawley,Salford
02.05. 14:00,Crewe,Cambridge Utd
02.05. 14:00,Fleetwood,MK Dons
02.05. 14:00,Gillingham,Shrewsbury
02.05. 14:00,Harrogate,Barnet
02.05. 14:00,Notts Co,Bristol Rovers
02.05. 14:00,Oldham,Accrington
02.05. 14:00,Swindon,Chesterfield
02.05. 14:00,Tranmere,Grimsby
