date,home,away,home_score,away_score
04.03. 20:00,Sambenedettese,Ascoli,0,1
04.03. 19:30,Arezzo,Ternana,1,2
04.03. 19:30,Livorno,Perugia,1,2
04.03. 19:30,Pineto,Forli,3,2
04.03. 19:30,Ravenna,Pianese,0,0
04.03. 19:30,Torres,Guidonia,2,1
04.03. 17:00,Gubbio,Carpi,2,1
04.03. 17:00,Pontedera,Juventus U23,0,1
04.03. 17:00,Vis Pesaro,Bra,2,1
01.03. 16:30,Arezzo,Ravenna,1,1
01.03. 16:30,Guidonia,Gubbio,0,1
01.03. 16:30,Ternana,Campobasso,2,4
01.03. 13:30,Bra,Pianese,1,1
01.03. 13:30,Vis Pesaro,Pontedera,1,1
28.02. 19:30,Ascoli,Carpi,3,0
28.02. 19:30,Sambenedettese,Livorno,0,0
28.02. 16:30,Perugia,Pineto,0,1
28.02. 13:30,Forli,Torres,2,0
23.02. 19:30,Ternana,Forli,2,1
22.02. 16:30,Carpi,Bra,2,1
22.02. 13:30,Pontedera,Ascoli,1,3
22.02. 11:30,Campobasso,Juventus U23,2,1
21.02. 16:30,Ravenna,Sambenedettese,1,0
21.02. 13:30,Gubbio,Arezzo,0,1
21.02. 13:30,Livorno,Pineto,1,0
21.02. 13:30,Torres,Vis Pesaro,0,0
20.02. 19:30,Pianese,Guidonia,0,0
16.02. 19:30,Pineto,Ternana,0,3
16.02. 19:30,Vis Pesaro,Campobasso,1,2
15.02. 16:30,Perugia,Carpi,1,1
15.02. 16:30,Pontedera,Gubbio,1,1
15.02. 13:30,Bra,Ascoli,1,3
15.02. 13:30,Guidonia,Forli,2,2
15.02. 13:30,Livorno,Pianese,1,2
15.02. 13:30,Ravenna,Juventus U23,2,0
15.02. 13:30,Sambenedettese,Torres,1,2
12.02. 19:30,Ascoli,Torres,2,2
12.02. 19:30,Campobasso,Livorno,1,2
12.02. 19:30,Carpi,Arezzo,0,1
12.02. 19:30,Gubbio,Vis Pesaro,1,0
12.02. 19:30,Pianese,Perugia,2,1
12.02. 19:30,Ternana,Ravenna,2,0
12.02. 17:00,Forli,Pontedera,2,0
12.02. 17:00,Guidonia,Bra,1,1
12.02. 17:00,Juventus U23,Sambenedettese,4,2
08.02. 19:30,Vis Pesaro,Forli,1,1
08.02. 16:30,Arezzo,Pianese,2,0
08.02. 16:30,Livorno,Bra,2,1
08.02. 16:30,Pineto,Ascoli,1,3
08.02. 13:30,Gubbio,Campobasso,1,0
08.02. 13:30,Sambenedettese,Perugia,0,1
08.02. 11:30,Pontedera,Ternana,2,2
08.02. 11:30,Torres,Juventus U23,0,3
07.02. 16:30,Ravenna,Carpi,1,0
01.02. 13:30,Juventus U23,Pineto,1,0
01.02. 13:30,Ternana,Torres,0,2
31.01. 16:30,Bra,Gubbio,1,0
31.01. 16:30,Campobasso,Pontedera,3,2
31.01. 16:30,Carpi,Sambenedettese,0,0
31.01. 13:30,Pianese,Vis Pesaro,1,2
30.01. 19:30,Ascoli,Livorno,3,1
30.01. 19:30,Guidonia,Arezzo,0,0
30.01. 19:30,Perugia,Ravenna,1,1
25.01. 16:30,Gubbio,Forli,2,0
25.01. 16:30,Livorno,Vis Pesaro,2,1
25.01. 16:30,Pineto,Campobasso,1,0
25.01. 13:30,Ascoli,Perugia,2,1
25.01. 11:30,Arezzo,Juventus U23,1,0
24.01. 16:30,Ravenna,Guidonia,2,1
24.01. 16:30,Sambenedettese,Pianese,0,2
24.01. 13:30,Carpi,Ternana,0,1
24.01. 13:30,Torres,Bra,1,1
18.01. 16:30,Bra,Ravenna,2,1
18.01. 16:30,Pontedera,Pineto,1,1
18.01. 13:30,Perugia,Gubbio,0,1
18.01. 11:30,Forli,Sambenedettese,0,2
17.01. 16:30,Campobasso,Carpi,2,0
17.01. 16:30,Guidonia,Livorno,0,2
17.01. 13:30,Juventus U23,Ascoli,1,0
17.01. 13:30,Pianese,Torres,1,1
16.01. 19:30,Vis Pesaro,Arezzo,0,3
11.01. 19:30,Pineto,Guidonia,3,3
11.01. 16:30,Arezzo,Pontedera,1,0
11.01. 16:30,Perugia,Bra,1,1
11.01. 16:30,Sambenedettese,Gubbio,0,0
11.01. 13:30,Carpi,Pianese,1,1
11.01. 11:30,Livorno,Juventus U23,1,2
10.01. 16:30,Ravenna,Forli,0,0
10.01. 13:30,Torres,Campobasso,2,2
09.01. 19:30,Ascoli,Ternana,1,0
04.01. 19:30,Ternana,Livorno,2,1
04.01. 16:30,Bra,Sambenedettese,2,2
04.01. 16:30,Guidonia,Perugia,1,2
04.01. 13:30,Campobasso,Ravenna,2,1
03.01. 19:30,Vis Pesaro,Pineto,0,2
03.01. 16:30,Forli,Arezzo,1,2
03.01. 13:30,Juventus U23,Carpi,2,0
03.01. 13:30,Pianese,Ascoli,4,2
03.01. 13:30,Pontedera,Torres,1,3
21.12. 16:30,Perugia,Forli,4,0
21.12. 13:30,Pianese,Ternana,0,0
21.12. 11:30,Ascoli,Campobasso,0,0
21.12. 11:30,Bra,Juventus U23,1,1
20.12. 16:30,Livorno,Pontedera,2,2
20.12. 16:30,Pineto,Gubbio,1,0
20.12. 16:30,Sambenedettese,Vis Pesaro,0,2
20.12. 13:30,Carpi,Guidonia,1,1
20.12. 13:30,Torres,Arezzo,1,1
15.12. 19:30,Arezzo,Pineto,3,3
15.12. 19:30,Vis Pesaro,Ravenna,1,0
14.12. 16:30,Guidonia,Ascoli,0,0
14.12. 13:30,Pontedera,Sambenedettese,1,1
14.12. 13:30,Ternana,Bra,2,0
13.12. 16:30,Forli,Carpi,4,2
13.12. 13:30,Campobasso,Perugia,1,0
13.12. 13:30,Gubbio,Torres,0,0
12.12. 19:30,Juventus U23,Pianese,0,0
08.12. 13:30,Ascoli,Forli,3,0
08.12. 13:30,Carpi,Vis Pesaro,1,1
07.12. 16:30,Ravenna,Pontedera,2,1
07.12. 13:30,Perugia,Ternana,1,2
07.12. 13:30,Torres,Pineto,1,1
07.12. 11:30,Guidonia,Juventus U23,1,1
06.12. 16:30,Bra,Campobasso,2,0
06.12. 13:30,Livorno,Arezzo,2,1
