date,home,away,home_score,away_score
13.06. 16:30,Brann 2,Sotra,-,-
14.06. 11:00,Brattvag,Pors,-,-
14.06. 12:00,Sandviken,V. Haugesund,-,-
14.06. 13:00,Jerv,Eik-Tonsberg,-,-
14.06. 14:00,Sandnes,Flekkeroy,-,-
15.06. 12:00,Traeff,Notodden,-,-
15.06. 15:30,Lysekloster,Arendal,-,-
21.06. 12:00,V. Haugesund,Arendal,-,-
21.06. 13:00,Pors,Flekkeroy,-,-
22.06. 11:00,Notodden,Sandnes,-,-
22.06. 12:30,Jerv,Brann 2,-,-
22.06. 14:00,Eik-Tonsberg,Lysekloster,-,-
22.06. 14:00,Sandviken,Traeff,-,-
22.06. 14:00,Sotra,Brattvag,-,-
28.06. 11:00,Flekkeroy,V. Haugesund,-,-
28.06. 12:00,Sandnes,Sandviken,-,-
28.06. 13:00,Arendal,Eik-Tonsberg,-,-
29.06. 11:00,Brattvag,Notodden,-,-
29.06. 12:30,Traeff,Sotra,-,-
29.06. 14:00,Lysekloster,Jerv,-,-
01.07. 14:00,Brann 2,Pors,-,-
05.07. 13:00,Notodden,Flekkeroy,-,-
05.07. 13:00,Pors,Arendal,-,-
05.07. 13:00,V. Haugesund,Lysekloster,-,-
05.07. 14:00,Sotra,Sandnes,-,-
06.07. 11:00,Jerv,Traeff,-,-
06.07. 14:00,Eik-Tonsberg,Brattvag,-,-
07.07. 16:00,Sandviken,Brann 2,-,-
12.07. 11:00,Brattvag,V. Haugesund,-,-
12.07. 11:00,Traeff,Pors,-,-
13.07. 11:00,Sandnes,Notodden,-,-
13.07. 12:30,Flekkeroy,Sotra,-,-
13.07. 13:00,Arendal,Sandviken,-,-
13.07. 14:00,Lysekloster,Eik-Tonsberg,-,-
14.07. 14:00,Brann 2,Jerv,-,-
09.08. 13:00,Eik-Tonsberg,Arendal,-,-
09.08. 13:00,Sandviken,Sandnes,-,-
09.08. 16:00,Jerv,Flekkeroy,-,-
09.08. 17:00,V. Haugesund,Traeff,-,-
10.08. 11:00,Sotra,Brann 2,-,-
10.08. 12:00,Notodden,Lysekloster,-,-
10.08. 14:15,Pors,Brattvag,-,-
16.08. 12:00,Lysekloster,Sandviken,-,-
16.08. 13:00,Arendal,Notodden,-,-
16.08. 13:00,Flekkeroy,Pors,-,-
16.08. 14:00,Sandnes,Sotra,-,-
17.08. 11:00,Brattvag,Eik-Tonsberg,-,-
17.08. 12:00,Traeff,Jerv,-,-
18.08. 15:00,Brann 2,V. Haugesund,-,-
23.08. 11:00,Pors,Sandnes,-,-
23.08. 11:00,Sandviken,Eik-Tonsberg,-,-
24.08. 11:00,Flekkeroy,Brattvag,-,-
24.08. 11:00,V. Haugesund,Notodden,-,-
24.08. 14:00,Jerv,Lysekloster,-,-
24.08. 14:00,Sotra,Traeff,-,-
25.08. 14:00,Brann 2,Arendal,-,-
30.08. 13:00,Arendal,Pors,-,-
30.08. 13:00,Eik-Tonsberg,Sotra,-,-
30.08. 13:00,Lysekloster,V. Haugesund,-,-
31.08. 11:00,Traeff,Flekkeroy,-,-
31.08. 13:00,Notodden,Sandviken,-,-
31.08. 14:00,Sandnes,Jerv,-,-
01.09. 16:15,Brattvag,Brann 2,-,-
06.09. 12:00,Pors,Eik-Tonsberg,-,-
06.09. 12:00,V. Haugesund,Sandviken,-,-
06.09. 13:00,Brann 2,Lysekloster,-,-
06.09. 13:00,Flekkeroy,Notodden,-,-
07.09. 11:00,Jerv,Brattvag,-,-
07.09. 11:00,Traeff,Sandnes,-,-
07.09. 15:30,Sotra,Arendal,-,-
13.09. 11:00,Arendal,V. Haugesund,-,-
13.09. 11:00,Notodden,Sotra,-,-
13.09. 11:00,Sandviken,Pors,-,-
13.09. 13:00,Brattvag,Traeff,-,-
13.09. 14:00,Eik-Tonsberg,Jerv,-,-
14.09. 14:00,Lysekloster,Flekkeroy,-,-
15.09. 14:30,Sandnes,Brann 2,-,-
20.09. 11:00,Sotra,Pors,-,-
20.09. 14:00,Flekkeroy,Sandnes,-,-
20.09. 14:00,Jerv,Notodden,-,-
21.09. 11:00,Traeff,Arendal,-,-
21.09. 11:00,V. Haugesund,Eik-Tonsberg,-,-
21.09. 14:00,Brattvag,Lysekloster,-,-
22.09. 16:00,Brann 2,Sandviken,-,-
26.09. 17:30,Sandviken,Sotra,-,-
27.09. 13:00,Arendal,Flekkeroy,-,-
27.09. 13:00,Sandnes,V. Haugesund,-,-
28.09. 12:30,Notodden,Brattvag,-,-
28.09. 13:00,Pors,Jerv,-,-
28.09. 14:00,Lysekloster,Traeff,-,-
29.09. 12:30,Eik-Tonsberg,Brann 2,-,-
04.10. 11:00,V. Haugesund,Pors,-,-
04.10. 14:00,Lysekloster,Sandnes,-,-
05.10. 11:30,Brattvag,Arendal,-,-
05.10. 12:00,Traeff,Eik-Tonsberg,-,-
05.10. 14:00,Flekkeroy,Sandviken,-,-
05.10. 14:00,Jerv,Sotra,-,-
06.10. 13:30,Brann 2,Notodden,-,-
11.10. 12:00,Sotra,V. Haugesund,-,-
11.10. 13:00,Eik-Tonsberg,Flekkeroy,-,-
11.10. 14:00,Sandviken,Jerv,-,-
12.10. 11:00,Notodden,Traeff,-,-
12.10. 11:00,Sandnes,Brattvag,-,-
12.10. 12:30,Pors,Brann 2,-,-
12.10. 14:00,Arendal,Lysekloster,-,-
