date,home,away,home_score,away_score
09.06. 16:30,Hinna,Viking 2,2,1
09.06. 16:00,Sandnes Ulf 2,Brodd,2,4
08.06. 13:00,Sola,Djerv 1919,3,3
08.06. 13:00,Torvastad,Vidar,0,5
07.06. 13:00,Madla IL,Vindbjart,1,3
07.06. 12:00,Haugesund 2,Staal Jorpeland,2,3
07.06. 11:00,Vag,Stord,2,2
02.06. 17:00,Hinna,Haugesund 2,0,1
02.06. 16:00,Staal Jorpeland,Viking 2,1,4
01.06. 15:00,Sandnes Ulf 2,Sola,1,2
31.05. 14:00,Djerv 1919,Vindbjart,3,0
31.05. 13:00,Vidar,Vag,9,1
31.05. 12:00,Brodd,Madla IL,2,2
29.05. 11:00,Stord,Torvastad,2,0
26.05. 17:00,Haugesund 2,Brodd,2,1
26.05. 17:00,Torvastad,Sandnes Ulf 2,1,0
26.05. 16:00,Viking 2,Vidar,2,1
24.05. 13:00,Vag,Staal Jorpeland,3,0
24.05. 13:00,Vindbjart,Hinna,6,4
24.05. 12:00,Madla IL,Djerv 1919,3,1
24.05. 12:00,Sola,Stord,1,2
12.05. 16:00,Sandnes Ulf 2,Viking 2,0,1
12.05. 16:00,Stord,Haugesund 2,2,0
10.05. 13:00,Brodd,Vindbjart,2,1
10.05. 13:00,Hinna,Vag,2,2
10.05. 12:00,Staal Jorpeland,Madla IL,1,4
09.05. 17:00,Djerv 1919,Torvastad,0,1
08.05. 16:00,Vidar,Sola,6,0
05.05. 18:00,Haugesund 2,Sandnes Ulf 2,1,3
03.05. 13:00,Vindbjart,Staal Jorpeland,4,1
03.05. 12:00,Madla IL,Vidar,2,1
03.05. 11:30,Viking 2,Vag,3,2
02.05. 16:00,Sola,Hinna,0,2
01.05. 12:00,Djerv 1919,Stord,1,3
01.05. 12:00,Torvastad,Brodd,1,0
28.04. 16:00,Sandnes Ulf 2,Madla IL,0,5
28.04. 16:00,Viking 2,Haugesund 2,2,1
27.04. 14:00,Vidar,Vindbjart,2,0
27.04. 11:00,Hinna,Torvastad,8,0
26.04. 13:00,Vag,Sola,1,3
26.04. 12:00,Brodd,Stord,3,1
26.04. 12:00,Staal Jorpeland,Djerv 1919,1,5
22.04. 16:00,Vindbjart,Sandnes Ulf 2,1,0
21.04. 13:00,Torvastad,Viking 2,3,1
21.04. 12:00,Stord,Vidar,1,4
21.04. 11:00,Haugesund 2,Vag,4,3
17.04. 12:00,Djerv 1919,Brodd,6,1
17.04. 12:00,Madla IL,Hinna,3,2
16.04. 16:00,Sola,Staal Jorpeland,3,8
07.04. 16:30,Viking 2,Sola,7,0
07.04. 16:00,Vag,Sandnes Ulf 2,8,2
05.04. 14:00,Haugesund 2,Vindbjart,1,2
05.04. 12:00,Stord,Madla IL,1,1
05.04. 12:00,Vidar,Brodd,1,0
04.04. 17:00,Hinna,Djerv 1919,5,2
04.04. 17:00,Staal Jorpeland,Torvastad,2,2
31.03. 17:00,Sandnes Ulf 2,Hinna,5,2
31.03. 16:00,Madla IL,Viking 2,1,1
31.03. 16:00,Sola,Haugesund 2,4,1
29.03. 13:00,Brodd,Staal Jorpeland,3,2
29.03. 13:00,Djerv 1919,Vidar,1,3
29.03. 12:00,Torvastad,Vag,4,0
29.03. 12:00,Vindbjart,Stord,1,1
