date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-08-27,2025-08-27,basketball,international,male,handicap,Latvia,Turkey,home,2,0.6275,0.8824999999999998,NA,990,-1.5,FALSE,-990,gsheets
2025-08-27,2025-08-27,basketball,international,male,handicap,Montenegro,Germany,home,1.92,0.6575,0.9198999999999999,NA,1110,14.5,FALSE,-1110,gsheets
2025-08-27,2025-08-27,basketball,international,male,handicap,Serbia,Estonia,away,1.95,0.71375,1.1055625,NA,1605,-30.5,FALSE,-1605,gsheets
2025-08-27,2025-08-27,basketball,international,male,outcome,Latvia,Turkey,home,1.89,0.68,0.9652000000000002,NA,1245,NA,FALSE,-1245,gsheets
2025-08-27,2025-08-27,basketball,international,male,outcome,Montenegro,Germany,home,7.1,0.25875,1.0958749999999997,NA,540,NA,FALSE,-540,gsheets
2025-08-27,2025-08-27,basketball,international,male,totals,Czech Republic,Portugal,over,1.92,0.65875,0.9235499999999999,NA,1125,157.5,FALSE,-1125,gsheets
2025-08-27,2025-08-27,basketball,international,male,totals,Finland,Sweden,under,1.87,0.611,0.7535700000000001,NA,645,170.5,FALSE,-645,gsheets
2025-08-27,2025-08-27,basketball,international,male,totals,Montenegro,Germany,under,1.89,0.5975,0.7267750000000001,NA,570,169.5,FALSE,-570,gsheets
2025-08-27,2025-08-27,basketball,international,male,totals,Serbia,Estonia,under,1.91,0.7075,1.058825,NA,1500,169.5,TRUE,1365,gsheets
2025-08-27,2025-08-28,basketball,international,male,handicap,Belgium,France,home,1.89,0.74525,1.1537724999999999,NA,1785,18.5,FALSE,-1785,gsheets
2025-08-27,2025-08-28,basketball,international,male,handicap,Greece,Italy,away,1.87,0.84425,1.4229975,NA,2595,-6.5,FALSE,-2595,gsheets
2025-08-27,2025-08-28,basketball,international,male,handicap,Israel,Iceland,away,1.92,0.642,0.87464,NA,990,-11.5,FALSE,-990,gsheets
2025-08-27,2025-08-28,basketball,international,male,outcome,Belgium,France,home,10.5,0.227,1.6105,NA,570,NA,FALSE,-570,gsheets
2025-08-27,2025-08-28,basketball,international,male,outcome,Greece,Italy,away,3.03,0.6935,1.794805,NA,2115,NA,FALSE,-2115,gsheets
2025-08-27,2025-08-28,basketball,international,male,outcome,Israel,Iceland,away,5.3,0.30175,0.901025,NA,540,NA,FALSE,-540,gsheets
2025-08-27,2025-08-28,basketball,international,male,totals,Belgium,France,under,1.95,0.84525,1.4934874999999996,NA,2655,156.5,TRUE,2522,gsheets
2025-08-27,2025-08-28,basketball,international,male,totals,Greece,Italy,under,1.91,0.7415,1.1577650000000002,NA,1785,163.5,TRUE,1624,gsheets
2025-08-27,2025-08-28,basketball,international,male,totals,Israel,Iceland,under,1.95,0.57825,0.7058375,NA,525,166.5,TRUE,499,gsheets
2025-08-27,2025-08-28,basketball,international,male,totals,Poland,Slovenia,under,1.95,0.64875,0.9138125,NA,1095,175.5,FALSE,-1095,gsheets
2025-08-29,2025-08-29,basketball,international,male,handicap,Germany,Sweden,away,1.91,0.5995,0.7445450000000001,NA,465,-22.5,TRUE,423,gsheets
2025-08-29,2025-08-29,basketball,international,male,handicap,Portugal,Serbia,home,1.95,0.64675,0.9079125,NA,810,29.5,TRUE,770,gsheets
2025-08-29,2025-08-29,basketball,international,male,handicap,Turkey,Czech Republic,away,1.91,0.8025,1.335275,NA,1725,-21.5,TRUE,1570,gsheets
2025-08-29,2025-08-29,basketball,international,male,outcome,Turkey,Czech Republic,away,14.5,0.22825,2.537875,NA,510,NA,FALSE,-510,gsheets
2025-08-29,2025-08-29,basketball,international,male,totals,Germany,Sweden,under,1.95,0.7505,1.2139749999999998,NA,1440,171.5,FALSE,-1440,gsheets
2025-08-29,2025-08-29,basketball,international,male,totals,Latvia,Estonia,under,1.91,0.66,0.9206,NA,840,168.5,TRUE,764,gsheets
2025-08-29,2025-08-29,basketball,international,male,totals,Lithuania,Montenegro,under,1.89,0.645,0.86405,NA,720,166.5,TRUE,641,gsheets
2025-08-29,2025-08-29,basketball,international,male,totals,Portugal,Serbia,under,1.92,0.7495,1.1885400000000002,NA,1410,165.5,TRUE,1297,gsheets
2025-08-29,2025-08-29,basketball,international,male,totals,Turkey,Czech Republic,over,1.95,0.71275,1.1026125,NA,1215,159.5,TRUE,1154,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Cyprus,Greece,home,1.95,0.7625,1.249375,NA,1785,35.5,TRUE,1696,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Czech Republic,Estonia,away,1.91,0.71175,1.0711925,NA,1380,-1.5,TRUE,1256,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Finland,Montenegro,home,1.96,0.60175,0.78118,NA,645,-5.5,TRUE,619,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,France,Slovenia,away,1.89,0.7155,1.067795,NA,1380,-14.5,TRUE,1228,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Great Britain,Sweden,home,1.92,0.607,0.77244,NA,630,6.5,FALSE,-630,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Iceland,Belgium,home,1.89,0.60875,0.7592875,NA,585,3.5,FALSE,-585,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Latvia,Serbia,home,1.92,0.59625,0.7410499999999998,NA,555,12.5,TRUE,511,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Spain,Bosnia & Herzegovina,away,1.89,0.7665,1.2151849999999997,NA,1755,-9.5,FALSE,-1755,gsheets
2025-08-29,2025-08-30,basketball,international,male,handicap,Turkey,Portugal,away,1.92,0.76325,1.2286899999999998,NA,1755,-17.5,FALSE,-1755,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Czech Republic,Estonia,away,2,0.67475,1.0242499999999999,NA,1215,NA,TRUE,1215,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Finland,Montenegro,home,1.47,0.74575,0.8420025000000001,NA,720,NA,TRUE,338,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,France,Slovenia,away,7.1,0.293,1.3732999999999997,NA,615,NA,FALSE,-615,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Great Britain,Sweden,home,3.1,0.4155,0.7035499999999999,NA,480,NA,FALSE,-480,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Iceland,Belgium,home,2.45,0.50775,0.7517375000000003,NA,585,NA,FALSE,-585,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Spain,Bosnia & Herzegovina,away,4.3,0.50675,1.6857750000000002,NA,1245,NA,FALSE,-1245,gsheets
2025-08-29,2025-08-30,basketball,international,male,outcome,Turkey,Portugal,away,10.5,0.267,2.0705,NA,660,NA,FALSE,-660,gsheets
2025-08-29,2025-08-30,basketball,international,male,totals,Cyprus,Greece,under,1.89,0.72175,1.0858575,NA,1425,158.5,TRUE,1268,gsheets
2025-08-29,2025-08-30,basketball,international,male,totals,Czech Republic,Estonia,over,1.91,0.73325,1.1337574999999998,NA,1530,154.5,TRUE,1392,gsheets
