date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-02-15,2025-02-15,basketball,iceland,female,handicap,Grindavík,Aþena,away,1.87,0.605,0.13135000000000008,NA,300,-9.5,FALSE,-300,gsheets
2025-02-15,2025-02-15,basketball,iceland,female,outcome,Grindavík,Aþena,away,3.72,0.334,0.24248000000000017,NA,150,NA,FALSE,-150,gsheets
2025-02-15,2025-02-15,basketball,iceland,female,totals,Grindavík,Aþena,under,1.87,0.85925,0.6067975,NA,300,153.5,FALSE,-300,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,handicap,Keflavík,Haukar,away,1.87,0.64875,0.21316250000000017,NA,150,-4,TRUE,131,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Keflavík,Haukar,away,2.35,0.52325,0.22963750000000005,NA,150,NA,TRUE,202,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Tindastóll,Hamar/Þór,away,4,0.3205,0.28200000000000003,NA,150,NA,TRUE,450,gsheets
2025-02-15,2025-02-16,basketball,iceland,female,outcome,Valur,Njarðvík,under,1.88,0.7495,0.40906,NA,300,152.5,FALSE,-300,gsheets
NA,2025-03-04,basketball,iceland,female,handicap,Sjarnan,Hamar/Þór,away,1.87,0.5705,0.06683500000000009,NA,75,-5,TRUE,65,gsheets
NA,2025-03-04,basketball,iceland,female,handicap,Stjarnan,Hamar/Þór,away,1.87,0.5705,0.06683500000000009,NA,75,-5,TRUE,65,gsheets
NA,2025-03-04,basketball,iceland,female,outcome,Stjarnan,Hamar/Þór,away,2.8,0.43025,0.2047,NA,75,NA,TRUE,135,gsheets
2025-03-04,2025-03-04,basketball,iceland,female,totals,Stjarnan,Hamar/Þór,over,1.87,0.6795,0.27066500000000004,NA,240,161.5,FALSE,-240,gsheets
NA,2025-03-05,basketball,iceland,female,handicap,Valur,Haukar,away,1.87,0.614,0.1481800000000001,NA,165,5.5,TRUE,144,gsheets
NA,2025-03-05,basketball,iceland,female,outcome,Aþena,Tindastóll,home,2.6,0.41975,0.09135000000000015,NA,75,NA,TRUE,120,gsheets
NA,2025-03-05,basketball,iceland,female,outcome,Valur,Haukar,away,1.42,0.761,0.08061999999999997,NA,165,NA,TRUE,69,gsheets
NA,2025-03-05,basketball,iceland,female,totals,Aþena,Tindastóll,under,1.87,0.602,0.12574000000000007,NA,75,157.5,FALSE,-75,gsheets
NA,2025-03-05,basketball,iceland,female,totals,Valur,Haukar,under,1.87,0.7035,0.3155450000000001,NA,315,157.5,FALSE,-315,gsheets
NA,2025-03-06,basketball,iceland,male,handicap,Tindastóll,Keflavík,home,1.87,0.6255,0.16968499999999995,NA,135,-6,TRUE,117,gsheets
NA,2025-03-06,basketball,iceland,male,outcome,Höttur,Þór Þ.,away,1.6,0.65175,0.04280000000000011,NA,135,NA,FALSE,-135,gsheets
NA,2025-03-06,basketball,iceland,male,outcome,Tindastóll,Keflavík,home,1.4,0.7855,0.0996999999999999,NA,270,NA,TRUE,108,gsheets
NA,2025-03-06,basketball,iceland,male,totals,Haukar,Valur,under,1.88,0.57825,0.08711000000000002,NA,270,180.5,TRUE,238,gsheets
NA,2025-03-06,basketball,iceland,male,totals,Tindastóll,Keflavík,over,1.87,0.57,0.06589999999999996,NA,135,187.5,TRUE,117,gsheets
NA,2025-03-06,basketball,iceland,male,totals,ÍR,KR,over,1.87,0.61675,0.15332250000000014,NA,270,181.5,TRUE,235,gsheets
NA,2025-03-07,basketball,iceland,male,totals,Stjarnan,Álftanes,under,1.88,0.701,0.31787999999999983,NA,555,183.5,TRUE,488,gsheets
