date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,Bónusdeild kvenna efri,Grindavík kv,Valur kv,1.44,12.61,2.74,2026-03-04T13:07:29Z
2026-03-04,Bónusdeild kvenna efri,Grindavík kv,Valur kv,1.34,15.68,3.03,2026-03-04T14:59:35Z
2026-03-04,Bónusdeild kvenna efri,Grindavík kv,Valur kv,1.59,11.95,2.35,2026-03-04T17:50:44Z
2026-03-04,Bónusdeild kvenna efri,Njarðvík kv,Haukar kv,1.88,18.2,1.81,2026-03-04T13:07:29Z
2026-03-04,Bónusdeild kvenna efri,Njarðvík kv,Haukar kv,1.88,16.17,1.83,2026-03-04T17:50:44Z
2026-03-04,Bónusdeild kvenna neðri,Keflavík kv,UMF Tindastoll kv,1.16,18.27,4.43,2026-03-04T13:07:29Z
2026-03-04,Bónusdeild kvenna neðri,Keflavík kv,UMF Tindastoll kv,1.28,14.56,3.45,2026-03-04T17:50:44Z
2026-03-04,Bónusdeild kvenna neðri,Ármann kv,Stjarnan kv,2.97,12.04,1.39,2026-03-04T13:07:29Z
2026-03-04,Bónusdeild kvenna neðri,Ármann kv,Stjarnan kv,2.96,12.03,1.39,2026-03-04T14:06:10Z
2026-03-04,Bónusdeild kvenna neðri,Ármann kv,Stjarnan kv,2.96,12.09,1.39,2026-03-04T14:59:35Z
2026-03-04,Bónusdeild kvenna neðri,Ármann kv,Stjarnan kv,2.96,12.13,1.39,2026-03-04T17:50:44Z
2026-03-21,Bónusdeild kvenna neðri,Hamar/Þór kv,Keflavík,3.9,14.62,1.23,2026-03-20T14:55:45Z
2026-03-21,Bónusdeild kvenna neðri,Hamar/Þór kv,Keflavík,3.51,13.56,1.28,2026-03-20T20:46:10Z
2026-03-21,Bónusdeild kvenna neðri,Hamar/Þór kv,Keflavík,3.8,14.97,1.24,2026-03-21T08:44:36Z
2026-03-21,Bónusdeild kvenna neðri,Hamar/Þór kv,Keflavík,3.77,15.1,1.24,2026-03-21T14:41:40Z
2026-03-21,Bónusdeild kvenna neðri,Tindastóll,Ármann,1.11,16.56,5.48,2026-03-20T14:55:45Z
2026-03-21,Bónusdeild kvenna neðri,Tindastóll,Ármann,1.13,15.59,5.16,2026-03-21T14:41:40Z
2026-03-22,Bónusdeild kvenna efri,Haukar,Grindavík,1.37,12.69,3.03,2026-03-21T14:41:40Z
2026-03-22,Bónusdeild kvenna efri,KR kv,Njarðvík,2.06,12.2,1.75,2026-03-21T14:41:40Z
