date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Aston Villa,Chelsea,2.58,3.36,2.35,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,4.67,3.69,1.6,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,1.98,3.32,3.3,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,1.37,4.56,6.31,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.49,3.45,2.38,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,1.99,3.14,3.47,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,2.32,3.04,2.63,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,2.36,3.01,2.82,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,3.25,3.2,2.04,2026-03-03T21:14:25Z
2026-03-07,Championship,Hull,Millwall,2.6,3.16,2.44,2026-03-03T21:14:25Z
2026-03-07,Championship,Sheffield Utd,West Brom,1.71,3.46,4.26,2026-03-03T21:14:25Z
2026-03-07,League 1,Barnsley,Exeter,1.81,3.46,3.36,2026-03-03T21:14:25Z
2026-03-07,League 1,Blackpool,Wigan,2.15,3.09,2.85,2026-03-03T21:14:25Z
2026-03-07,League 1,Cardiff,Lincoln,2.08,3.22,2.87,2026-03-03T21:14:25Z
2026-03-07,League 1,Huddersfield,Rotherham,1.52,3.6,4.86,2026-03-03T21:14:25Z
2026-03-07,League 1,Peterborough,Port Vale,1.91,3.28,3.19,2026-03-03T21:14:25Z
2026-03-07,League 2,Accrington,Cambridge Utd,3.84,3.13,1.79,2026-03-03T21:14:25Z
2026-03-07,League 2,Bristol Rovers,Crewe,2.12,3.16,2.84,2026-03-03T21:14:25Z
2026-03-07,League 2,Chesterfield,Shrewsbury,1.75,3.25,3.85,2026-03-03T21:14:25Z
2026-03-07,League 2,Crawley,Swindon,2.8,3.32,2.08,2026-03-03T21:14:25Z
2026-03-07,League 2,Gillingham,Fleetwood,2.03,3.01,3.18,2026-03-03T21:14:25Z
2026-03-07,League 2,Grimsby,Bromley,2.07,3.14,2.95,2026-03-03T21:14:25Z
2026-03-07,League 2,MK Dons,Harrogate,1.31,4.39,6.71,2026-03-03T21:14:25Z
2026-03-07,League 2,Newport,Colchester,3.93,3.2,1.74,2026-03-03T21:14:25Z
2026-03-07,League 2,Salford,Barnet,2.24,3.11,2.69,2026-03-03T21:14:25Z
2026-03-07,League 2,Tranmere,Oldham,2.92,3.02,2.14,2026-03-03T21:14:25Z
2026-03-07,League 2,Walsall,Notts Co,2.99,2.94,2.15,2026-03-03T21:14:25Z
