date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.57,1.98,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.57,1.99,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.59,1.95,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.59,1.96,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.6,1.95,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.36,1.4,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.38,1.39,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.4,1.38,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.41,1.38,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.67,1.85,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.57,1.33,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,2.5,1.63,1.9,2026-03-04T17:50:44Z
2026-03-04,Premier League,Aston Villa,Chelsea,3.5,2.49,1.36,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,1.5,1.24,2.98,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,1.5,1.24,3,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,1.5,1.24,3.02,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,2.5,1.76,1.75,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,2.5,1.77,1.73,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,2.5,1.77,1.74,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,2.5,1.78,1.73,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,3.5,2.82,1.27,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,3.5,2.83,1.27,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,3.5,2.86,1.27,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,1.5,1.23,3.05,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,2.5,1.75,1.75,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,3.5,2.79,1.28,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,2.5,1.53,2.05,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,2.5,1.56,2.01,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,2.5,1.59,1.96,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,3.5,2.26,1.43,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,3.5,2.31,1.41,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,3.5,2.38,1.39,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,2.5,1.53,2.06,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,3.5,2.25,1.44,2026-03-04T14:59:35Z
2026-03-04,Premier League,Fulham,West Ham,2.5,1.52,2.07,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,3.5,2.24,1.44,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.49,2.12,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.49,2.14,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.51,2.1,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.52,2.07,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,3.5,2.2,1.46,2026-03-04T07:07:45Z
2026-03-04,Premier League,Manchester City,Nottingham,3.5,2.22,1.45,2026-03-03T21:14:25Z
2026-03-04,Premier League,Manchester City,Nottingham,3.5,2.24,1.44,2026-03-04T08:56:38Z
2026-03-04,Premier League,Manchester City,Nottingham,3.5,2.27,1.43,2026-03-04T13:26:24Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.52,2.08,2026-03-04T14:59:35Z
2026-03-04,Premier League,Manchester City,Nottingham,2.5,1.51,2.09,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,3.5,2.26,1.43,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.45,2.21,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.45,2.23,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.46,2.19,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.46,2.21,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3.5,2.08,1.52,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3.5,2.09,1.51,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3.5,2.11,1.5,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.45,2.22,2026-03-04T14:59:35Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2.5,1.47,2.16,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3.5,2.14,1.49,2026-03-04T17:50:44Z
2026-03-05,Premier League,Tottenham,Crystal Palace,1.5,1.22,3.13,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,2.5,1.74,1.77,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,3.5,2.71,1.3,2026-03-05T15:06:24Z
2026-03-06,Championship,Preston,Oxford Utd,1.5,1.31,2.65,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,2.5,1.99,1.57,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,1.5,1.32,2.61,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,2.5,2.01,1.55,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,1.5,1.33,2.56,2026-03-06T14:59:16Z
2026-03-06,Championship,Preston,Oxford Utd,2.5,2.04,1.54,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,1.5,1.26,2.86,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,1.5,1.27,2.86,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,2.5,1.86,1.66,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,3.5,2.99,1.24,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,3.5,3,1.24,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,1.5,1.27,2.85,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,1.5,1.28,2.8,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,2.5,1.89,1.64,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,1.5,1.37,2.43,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,2.5,2.15,1.48,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,1.5,1.38,2.42,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,1.5,1.41,2.32,2026-03-07T08:48:40Z
2026-03-07,Championship,Blackburn,Portsmouth,2.5,2.25,1.44,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,1.5,1.29,2.73,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,2.5,1.93,1.61,2026-03-03T21:14:25Z
2026-03-07,Championship,Charlton,Birmingham,1.5,1.3,2.68,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,2.5,1.96,1.59,2026-03-07T08:48:40Z
2026-03-07,Championship,Charlton,Birmingham,1.5,1.29,2.75,2026-03-07T14:46:17Z
2026-03-07,Championship,Charlton,Birmingham,2.5,1.92,1.62,2026-03-07T14:46:17Z
2026-03-07,Championship,Derby,Sheffield Wed,2.5,1.55,2.02,2026-03-07T14:46:17Z
2026-03-07,Championship,Derby,Sheffield Wed,3.5,2.35,1.4,2026-03-07T14:46:17Z
2026-03-07,Championship,Hull,Millwall,1.5,1.26,2.9,2026-03-03T21:14:25Z
2026-03-07,Championship,Hull,Millwall,1.5,1.27,2.85,2026-03-04T07:07:45Z
2026-03-07,Championship,Hull,Millwall,2.5,1.83,1.68,2026-03-03T21:14:25Z
2026-03-07,Championship,Hull,Millwall,2.5,1.86,1.66,2026-03-04T07:07:45Z
2026-03-07,Championship,Hull,Millwall,3.5,2.95,1.25,2026-03-03T21:14:25Z
2026-03-07,Championship,Hull,Millwall,3.5,3,1.24,2026-03-04T07:07:45Z
2026-03-07,Championship,Hull,Millwall,3.5,3.01,1.24,2026-03-05T20:57:36Z
2026-03-07,Championship,Hull,Millwall,1.5,1.29,2.75,2026-03-07T08:48:40Z
2026-03-07,Championship,Hull,Millwall,2.5,1.92,1.62,2026-03-07T08:48:40Z
2026-03-07,Championship,Ipswich,Leicester,1.5,1.21,3.2,2026-03-07T14:46:17Z
2026-03-07,Championship,Ipswich,Leicester,2.5,1.68,1.83,2026-03-07T14:46:17Z
2026-03-07,Championship,Ipswich,Leicester,3.5,2.64,1.31,2026-03-07T14:46:17Z
2026-03-07,Championship,Sheffield Utd,West Brom,1.5,1.23,3.05,2026-03-03T21:14:25Z
2026-03-07,Championship,Sheffield Utd,West Brom,2.5,1.76,1.75,2026-03-03T21:14:25Z
2026-03-07,Championship,Sheffield Utd,West Brom,3.5,2.79,1.28,2026-03-03T21:14:25Z
2026-03-07,Championship,Sheffield Utd,West Brom,1.5,1.25,2.96,2026-03-07T08:48:40Z
2026-03-07,Championship,Sheffield Utd,West Brom,2.5,1.79,1.72,2026-03-07T08:48:40Z
2026-03-07,Championship,Sheffield Utd,West Brom,3.5,2.87,1.26,2026-03-07T08:48:40Z
2026-03-07,Championship,Sheffield Utd,West Brom,1.5,1.25,2.97,2026-03-07T14:46:17Z
2026-03-07,Championship,Swansea,Stoke,1.5,1.29,2.73,2026-03-06T20:49:20Z
2026-03-07,Championship,Swansea,Stoke,2.5,1.93,1.61,2026-03-06T20:49:20Z
2026-03-07,Championship,Swansea,Stoke,1.5,1.29,2.72,2026-03-07T14:46:17Z
2026-03-07,League 1,Barnsley,Exeter,2.5,1.57,1.98,2026-03-03T21:14:25Z
2026-03-07,League 1,Barnsley,Exeter,2.5,1.6,1.93,2026-03-04T07:07:45Z
2026-03-07,League 1,Barnsley,Exeter,3.5,2.37,1.39,2026-03-03T21:14:25Z
2026-03-07,League 1,Barnsley,Exeter,3.5,2.44,1.37,2026-03-04T07:07:45Z
2026-03-07,League 1,Barnsley,Exeter,3.5,2.45,1.37,2026-03-07T08:48:40Z
2026-03-07,League 1,Barnsley,Exeter,2.5,1.57,1.99,2026-03-07T14:46:17Z
2026-03-07,League 1,Barnsley,Exeter,3.5,2.36,1.4,2026-03-07T14:46:17Z
2026-03-07,League 1,Blackpool,Wigan,1.5,1.27,2.82,2026-03-03T21:14:25Z
2026-03-07,League 1,Blackpool,Wigan,2.5,1.87,1.65,2026-03-03T21:14:25Z
2026-03-07,League 1,Blackpool,Wigan,1.5,1.26,2.88,2026-03-05T15:06:24Z
2026-03-07,League 1,Blackpool,Wigan,2.5,1.84,1.67,2026-03-05T15:06:24Z
2026-03-07,League 1,Blackpool,Wigan,1.5,1.28,2.79,2026-03-06T14:59:16Z
2026-03-07,League 1,Blackpool,Wigan,2.5,1.89,1.63,2026-03-06T14:59:16Z
2026-03-07,League 1,Bolton,Wycombe,1.5,1.22,3.15,2026-03-07T14:46:17Z
2026-03-07,League 1,Bolton,Wycombe,2.5,1.72,1.79,2026-03-07T14:46:17Z
2026-03-07,League 1,Bolton,Wycombe,3.5,2.69,1.3,2026-03-07T14:46:17Z
2026-03-07,League 1,Cardiff,Lincoln,1.5,1.21,3.21,2026-03-03T21:14:25Z
2026-03-07,League 1,Cardiff,Lincoln,2.5,1.69,1.82,2026-03-03T21:14:25Z
2026-03-07,League 1,Cardiff,Lincoln,3.5,2.63,1.32,2026-03-03T21:14:25Z
2026-03-07,League 1,Cardiff,Lincoln,1.5,1.21,3.22,2026-03-06T08:59:19Z
2026-03-07,League 1,Cardiff,Lincoln,3.5,2.62,1.32,2026-03-06T08:59:19Z
2026-03-07,League 1,Huddersfield,Rotherham,1.5,1.21,3.18,2026-03-03T21:14:25Z
2026-03-07,League 1,Huddersfield,Rotherham,1.5,1.22,3.11,2026-03-04T08:56:38Z
2026-03-07,League 1,Huddersfield,Rotherham,2.5,1.7,1.82,2026-03-03T21:14:25Z
2026-03-07,League 1,Huddersfield,Rotherham,2.5,1.72,1.79,2026-03-04T08:56:38Z
2026-03-07,League 1,Huddersfield,Rotherham,3.5,2.66,1.31,2026-03-03T21:14:25Z
2026-03-07,League 1,Huddersfield,Rotherham,3.5,2.72,1.29,2026-03-04T08:56:38Z
2026-03-07,League 1,Huddersfield,Rotherham,1.5,1.23,3.05,2026-03-04T14:59:35Z
2026-03-07,League 1,Huddersfield,Rotherham,2.5,1.75,1.76,2026-03-04T14:59:35Z
2026-03-07,League 1,Huddersfield,Rotherham,3.5,2.78,1.28,2026-03-04T14:59:35Z
2026-03-07,League 1,Huddersfield,Rotherham,1.5,1.24,3,2026-03-06T20:49:20Z
2026-03-07,League 1,Huddersfield,Rotherham,2.5,1.77,1.74,2026-03-06T20:49:20Z
2026-03-07,League 1,Huddersfield,Rotherham,3.5,2.84,1.27,2026-03-06T20:49:20Z
2026-03-07,League 1,Huddersfield,Rotherham,1.5,1.26,2.88,2026-03-07T08:48:40Z
2026-03-07,League 1,Huddersfield,Rotherham,2.5,1.84,1.68,2026-03-07T08:48:40Z
2026-03-07,League 1,Huddersfield,Rotherham,3.5,2.97,1.24,2026-03-07T08:48:40Z
2026-03-07,League 1,Luton,Reading,1.5,1.22,3.11,2026-03-07T14:46:17Z
2026-03-07,League 1,Luton,Reading,2.5,1.73,1.78,2026-03-07T14:46:17Z
2026-03-07,League 1,Luton,Reading,3.5,2.72,1.29,2026-03-07T14:46:17Z
2026-03-07,League 1,Peterborough,Port Vale,2.5,1.63,1.9,2026-03-04T07:07:45Z
2026-03-07,League 1,Peterborough,Port Vale,2.5,1.65,1.88,2026-03-03T21:14:25Z
2026-03-07,League 1,Peterborough,Port Vale,3.5,2.49,1.36,2026-03-04T07:07:45Z
2026-03-07,League 1,Peterborough,Port Vale,3.5,2.53,1.34,2026-03-03T21:14:25Z
2026-03-07,League 1,Plymouth,Doncaster,2.5,1.57,1.99,2026-03-04T13:26:24Z
2026-03-07,League 1,Plymouth,Doncaster,3.5,2.36,1.4,2026-03-04T13:26:24Z
2026-03-07,League 1,Plymouth,Doncaster,3.5,2.35,1.4,2026-03-05T20:57:36Z
2026-03-07,League 1,Plymouth,Doncaster,2.5,1.59,1.96,2026-03-07T08:48:40Z
2026-03-07,League 1,Plymouth,Doncaster,3.5,2.4,1.38,2026-03-07T08:48:40Z
2026-03-07,League 1,Plymouth,Doncaster,3.5,2.39,1.38,2026-03-07T14:46:17Z
2026-03-07,League 2,Accrington,Cambridge Utd,1.5,1.33,2.56,2026-03-03T21:14:25Z
2026-03-07,League 2,Accrington,Cambridge Utd,1.5,1.35,2.51,2026-03-04T08:56:38Z
2026-03-07,League 2,Accrington,Cambridge Utd,2.5,2.04,1.54,2026-03-03T21:14:25Z
2026-03-07,League 2,Accrington,Cambridge Utd,2.5,2.07,1.52,2026-03-04T08:56:38Z
2026-03-07,League 2,Accrington,Cambridge Utd,1.5,1.36,2.47,2026-03-05T15:06:24Z
2026-03-07,League 2,Accrington,Cambridge Utd,2.5,2.11,1.5,2026-03-05T15:06:24Z
2026-03-07,League 2,Accrington,Cambridge Utd,1.5,1.38,2.42,2026-03-07T08:48:40Z
2026-03-07,League 2,Accrington,Cambridge Utd,2.5,2.15,1.48,2026-03-07T08:48:40Z
2026-03-07,League 2,Accrington,Cambridge Utd,1.5,1.39,2.38,2026-03-07T14:46:17Z
2026-03-07,League 2,Accrington,Cambridge Utd,2.5,2.19,1.46,2026-03-07T14:46:17Z
2026-03-07,League 2,Bristol Rovers,Crewe,1.5,1.22,3.09,2026-03-03T21:14:25Z
2026-03-07,League 2,Bristol Rovers,Crewe,2.5,1.74,1.77,2026-03-03T21:14:25Z
2026-03-07,League 2,Bristol Rovers,Crewe,3.5,2.74,1.29,2026-03-03T21:14:25Z
2026-03-07,League 2,Bristol Rovers,Crewe,1.5,1.23,3.04,2026-03-07T14:46:17Z
