date,league,home,away,limit,o_over,o_under,scraped_at
2026-04-17,Besta Deildin,Breiðablik,ÍA,2.5,1.32,2.61,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3.5,1.8,1.71,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,4.5,2.74,1.29,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Fram,Keflavík,2.5,1.33,2.57,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Fram,Keflavík,3.5,1.83,1.69,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Fram,Keflavík,4.5,2.78,1.28,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,2.5,1.43,2.27,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,3.5,2.05,1.53,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,3.5,1.6,1.95,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,KR,Þór Ak.,4.5,2.31,1.41,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,2.5,1.36,2.47,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Stjarnan,FH,3.5,1.89,1.64,2026-04-17T16:53:39Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,2.5,1.42,2.29,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,3.5,2.05,1.53,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,2.5,1.43,2.28,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,3.5,2.04,1.54,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,ÍA,KA,2.5,1.45,2.23,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,ÍA,KA,3.5,2.09,1.51,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,2.5,1.37,2.43,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,3.5,1.93,1.61,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,2.5,1.36,2.47,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,3.5,1.9,1.63,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,3.5,1.62,1.92,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,4.5,2.36,1.4,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,4.5,2.35,1.4,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,3.5,1.6,1.94,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,4.5,2.32,1.41,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,3.5,1.51,2.1,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,4.5,2.13,1.49,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,3.5,1.53,2.06,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,4.5,2.17,1.47,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,2.5,1.44,2.23,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,3.5,2.08,1.52,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,2.5,1.37,2.44,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,3.5,1.91,1.62,2026-04-23T09:33:14Z
