date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Serie B,Bari,Empoli,0-1,5.8,4.07,1.31,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,1-0,1.48,3.69,4.29,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,0-2,12.55,6.06,1.07,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,2-0,1.13,5.39,9.25,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,3-0,1.02,7.17,16.4,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,0-1,4.36,3.8,1.46,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,1-0,1.3,4.16,5.79,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,0-2,9.27,5.48,1.12,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,2-0,1.07,6.11,12.35,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,3-0,1.01,7.32,19.44,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,0-1,2.17,3.65,2.24,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,1-0,1.12,5.53,9.17,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,0-2,3.76,4.22,1.48,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,2-0,1.02,7.16,16.39,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,3-0,1.01,7.38,21.61,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,0-1,2.18,3.37,2.35,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,1-0,1.09,5.55,12.01,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,0-2,3.97,4,1.47,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,2-0,1.01,6.99,21.13,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,0-3,7.69,5.6,1.15,2026-03-04T07:07:45Z
2026-03-04,Serie B,SS Juve Stabia,Sampdoria,0-1,4.66,3.55,1.46,2026-03-04T07:07:45Z
