date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,Serie B,Bari,Empoli,1.5,1.28,2.79,2026-03-04T13:26:24Z
2026-03-04,Serie B,Bari,Empoli,1.5,1.29,2.73,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,2.5,1.91,1.62,2026-03-04T13:26:24Z
2026-03-04,Serie B,Bari,Empoli,2.5,1.93,1.6,2026-03-04T07:07:45Z
2026-03-04,Serie B,Bari,Empoli,1.5,1.28,2.78,2026-03-04T14:59:35Z
2026-03-04,Serie B,Carrarese,Catanzaro,1.5,1.28,2.79,2026-03-04T13:26:24Z
2026-03-04,Serie B,Carrarese,Catanzaro,1.5,1.28,2.8,2026-03-04T07:07:45Z
2026-03-04,Serie B,Carrarese,Catanzaro,2.5,1.91,1.62,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,2.5,1.39,2.37,2026-03-04T13:26:24Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,2.5,1.4,2.34,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,2.5,1.42,2.31,2026-03-04T08:56:38Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,3.5,1.97,1.58,2026-03-04T13:26:24Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,3.5,2,1.56,2026-03-04T07:07:45Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,3.5,2.03,1.54,2026-03-04T08:56:38Z
2026-03-04,Serie B,Frosinone,Pescara Calcio,2.5,1.39,2.38,2026-03-04T14:59:35Z
2026-03-04,Serie B,Palermo,Mantova,2.5,1.65,1.87,2026-03-04T07:07:45Z
2026-03-04,Serie B,Palermo,Mantova,3.5,2.57,1.33,2026-03-04T07:07:45Z
2026-03-04,Serie B,SS Juve Stabia,Sampdoria,1.5,1.41,2.31,2026-03-04T13:26:24Z
2026-03-04,Serie B,SS Juve Stabia,Sampdoria,1.5,1.42,2.3,2026-03-04T07:07:45Z
2026-03-04,Serie B,SS Juve Stabia,Sampdoria,2.5,2.28,1.43,2026-03-04T07:07:45Z
2026-03-04,Serie B,SS Juve Stabia,Sampdoria,1.5,1.41,2.32,2026-03-04T17:50:44Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.27,2.82,2026-03-04T07:07:45Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.28,2.79,2026-03-04T14:00:04Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.86,1.66,2026-03-04T07:07:45Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.88,1.65,2026-03-04T14:00:04Z
2026-03-06,Serie A,Napoli,Torino,3.5,3.05,1.23,2026-03-04T07:07:45Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.28,2.77,2026-03-04T14:59:35Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.88,1.64,2026-03-04T14:59:35Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.29,2.76,2026-03-04T17:50:44Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.89,1.64,2026-03-04T17:50:44Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.29,2.75,2026-03-05T15:06:24Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.9,1.63,2026-03-05T15:06:24Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.3,2.7,2026-03-05T20:57:36Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.94,1.6,2026-03-05T20:57:36Z
2026-03-06,Serie A,Napoli,Torino,1.5,1.31,2.65,2026-03-06T14:59:16Z
2026-03-06,Serie A,Napoli,Torino,2.5,1.97,1.58,2026-03-06T14:59:16Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.22,3.1,2026-03-04T07:07:45Z
2026-03-07,Serie A,Atalanta,Udinese,2.5,1.73,1.78,2026-03-04T07:07:45Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.74,1.29,2026-03-04T07:07:45Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.73,1.29,2026-03-05T15:06:24Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.23,3.06,2026-03-05T20:57:36Z
2026-03-07,Serie A,Atalanta,Udinese,2.5,1.75,1.76,2026-03-05T20:57:36Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.77,1.28,2026-03-05T20:57:36Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.23,3.07,2026-03-06T08:59:19Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.76,1.29,2026-03-06T08:59:19Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.23,3.05,2026-03-06T14:59:16Z
2026-03-07,Serie A,Atalanta,Udinese,2.5,1.76,1.75,2026-03-06T14:59:16Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.79,1.28,2026-03-06T14:59:16Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.21,3.21,2026-03-07T08:48:40Z
2026-03-07,Serie A,Atalanta,Udinese,2.5,1.69,1.82,2026-03-07T08:48:40Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.63,1.32,2026-03-07T08:48:40Z
2026-03-07,Serie A,Atalanta,Udinese,1.5,1.21,3.16,2026-03-07T14:46:16Z
2026-03-07,Serie A,Atalanta,Udinese,2.5,1.71,1.8,2026-03-07T14:46:16Z
2026-03-07,Serie A,Atalanta,Udinese,3.5,2.67,1.31,2026-03-07T14:46:16Z
2026-03-07,Serie A,Cagliari,Como,1.5,1.26,2.87,2026-03-04T08:56:38Z
2026-03-07,Serie A,Cagliari,Como,1.5,1.27,2.86,2026-03-04T13:26:24Z
2026-03-07,Serie A,Cagliari,Como,2.5,1.83,1.68,2026-03-04T08:56:38Z
2026-03-07,Serie A,Cagliari,Como,2.5,1.84,1.67,2026-03-04T13:26:24Z
2026-03-07,Serie A,Cagliari,Como,3.5,2.97,1.24,2026-03-04T08:56:38Z
2026-03-07,Serie A,Cagliari,Como,3.5,3,1.24,2026-03-04T13:26:24Z
2026-03-07,Serie A,Cagliari,Como,1.5,1.27,2.83,2026-03-05T15:06:24Z
2026-03-07,Serie A,Cagliari,Como,2.5,1.86,1.66,2026-03-05T15:06:24Z
2026-03-07,Serie A,Cagliari,Como,3.5,3.03,1.23,2026-03-05T15:06:24Z
2026-03-07,Serie A,Juventus,Pisa,2.5,1.53,2.05,2026-03-04T07:07:45Z
2026-03-07,Serie A,Juventus,Pisa,3.5,2.32,1.41,2026-03-04T07:07:45Z
2026-03-07,Serie A,Juventus,Pisa,2.5,1.53,2.06,2026-03-05T15:06:24Z
2026-03-07,Serie A,Juventus,Pisa,3.5,2.3,1.42,2026-03-05T15:06:24Z
2026-03-07,Serie A,Juventus,Pisa,2.5,1.52,2.08,2026-03-07T08:48:40Z
2026-03-07,Serie A,Juventus,Pisa,3.5,2.28,1.43,2026-03-07T08:48:40Z
2026-03-07,Serie A,Juventus,Pisa,2.5,1.51,2.09,2026-03-07T14:46:16Z
2026-03-07,Serie A,Juventus,Pisa,3.5,2.27,1.43,2026-03-07T14:46:16Z
2026-03-07,Serie B,Avellino,Padova,1.5,1.32,2.6,2026-03-04T07:07:45Z
2026-03-07,Serie B,Avellino,Padova,2.5,2.04,1.54,2026-03-04T07:07:45Z
2026-03-07,Serie B,Avellino,Padova,1.5,1.32,2.62,2026-03-05T15:06:24Z
2026-03-07,Serie B,Avellino,Padova,1.5,1.33,2.58,2026-03-07T08:48:40Z
2026-03-07,Serie B,Avellino,Padova,2.5,2.07,1.52,2026-03-07T08:48:40Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.22,3.12,2026-03-04T13:26:24Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.23,3.06,2026-03-04T08:56:38Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.25,2.96,2026-03-04T07:07:45Z
2026-03-07,Serie B,Modena,Cesena,2.5,1.75,1.76,2026-03-04T13:26:24Z
2026-03-07,Serie B,Modena,Cesena,2.5,1.77,1.74,2026-03-04T08:56:38Z
2026-03-07,Serie B,Modena,Cesena,2.5,1.81,1.7,2026-03-04T07:07:45Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.72,1.3,2026-03-04T13:26:24Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.77,1.28,2026-03-04T08:56:38Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.88,1.26,2026-03-04T07:07:45Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.22,3.1,2026-03-04T17:50:44Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.74,1.29,2026-03-04T17:50:44Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.22,3.13,2026-03-05T15:06:24Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.7,1.3,2026-03-05T15:06:24Z
2026-03-07,Serie B,Modena,Cesena,1.5,1.24,3.02,2026-03-06T14:59:16Z
2026-03-07,Serie B,Modena,Cesena,2.5,1.8,1.71,2026-03-06T14:59:16Z
2026-03-07,Serie B,Modena,Cesena,3.5,2.82,1.27,2026-03-06T14:59:16Z
2026-03-07,Serie B,Spezia,Monza,1.5,1.33,2.58,2026-03-04T07:07:45Z
2026-03-07,Serie B,Spezia,Monza,2.5,2.03,1.54,2026-03-04T07:07:45Z
2026-03-07,Serie B,Spezia,Monza,1.5,1.33,2.57,2026-03-05T15:06:24Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1.5,1.33,2.58,2026-03-04T13:26:24Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1.5,1.34,2.56,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,2.5,2.07,1.52,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1.5,1.34,2.54,2026-03-04T14:59:35Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,2.5,2.11,1.5,2026-03-04T14:59:35Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1.5,1.33,2.57,2026-03-04T17:50:44Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1.5,1.33,2.56,2026-03-07T08:48:40Z
2026-03-07,Serie B,Venezia,Reggiana,2.5,1.6,1.95,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,3.5,2.44,1.37,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,3.5,2.45,1.37,2026-03-04T17:50:44Z
2026-03-07,Serie B,Venezia,Reggiana,3.5,2.46,1.36,2026-03-05T15:06:24Z
2026-03-07,Serie B,Venezia,Reggiana,2.5,1.54,2.04,2026-03-07T08:48:40Z
2026-03-07,Serie B,Venezia,Reggiana,3.5,2.32,1.41,2026-03-07T08:48:40Z
2026-03-07,Serie B,Venezia,Reggiana,2.5,1.5,2.11,2026-03-07T14:46:16Z
2026-03-07,Serie B,Venezia,Reggiana,3.5,2.24,1.44,2026-03-07T14:46:16Z
2026-03-08,Serie A,AC Milan,Inter,1.5,1.25,2.96,2026-03-07T19:58:05Z
2026-03-08,Serie A,AC Milan,Inter,2.5,1.83,1.69,2026-03-07T19:58:05Z
2026-03-08,Serie A,AC Milan,Inter,3.5,2.88,1.26,2026-03-07T19:58:05Z
2026-03-08,Serie A,AC Milan,Inter,1.5,1.28,2.8,2026-03-08T08:47:59Z
