date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,1.5,1.31,2.67,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,2.5,1.96,1.59,2026-03-04T07:07:45Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,1.5,1.3,2.7,2026-03-04T08:56:38Z
2026-03-04,LaLiga,Rayo Vallecano,R. Oviedo,2.5,1.94,1.6,2026-03-04T08:56:38Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,2.5,1.64,1.89,2026-03-04T07:07:45Z
2026-03-06,LaLiga,Celta Vigo,Real Madrid,3.5,2.51,1.35,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,1.5,1.31,2.65,2026-03-04T07:07:45Z
2026-03-06,LaLiga2,Cadiz CF,Zaragoza,2.5,1.99,1.57,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,2.5,1.65,1.88,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Atl. Madrid,Real Sociedad,3.5,2.55,1.34,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,1.5,1.23,3.04,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,2.5,1.77,1.74,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Levante,Girona,3.5,2.79,1.28,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,1.5,1.32,2.6,2026-03-04T07:07:45Z
2026-03-07,LaLiga,Osasuna,Mallorca,2.5,2.01,1.55,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,1.5,1.41,2.32,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Burgos CF,Mirandes,2.5,2.24,1.44,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,1.5,1.34,2.54,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Huesca,Albacete,2.5,2.09,1.51,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,1.5,1.3,2.68,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Malaga,Valladolid,2.5,1.96,1.59,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,1.5,1.21,3.19,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,2.5,1.69,1.82,2026-03-04T07:07:45Z
2026-03-07,LaLiga2,Real Sociedad B,Castellon,3.5,2.65,1.31,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,1.5,1.27,2.86,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,2.5,1.85,1.67,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Andorra,Gijon,3.5,3,1.24,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,1.5,1.33,2.59,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Dep. La Coruna,Granada CF,2.5,2.02,1.55,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Las Palmas,Ceuta,1.5,1.28,2.78,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Las Palmas,Ceuta,2.5,1.89,1.64,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Leganes,Eibar,1.5,1.41,2.32,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Leganes,Eibar,2.5,2.26,1.43,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Racing Santander,Cordoba,2.5,1.56,2,2026-03-04T07:07:45Z
2026-03-08,LaLiga2,Racing Santander,Cordoba,3.5,2.33,1.41,2026-03-04T07:07:45Z
2026-03-09,LaLiga2,Almeria,Cultural Leonesa,2.5,1.61,1.93,2026-03-04T07:07:45Z
2026-03-09,LaLiga2,Almeria,Cultural Leonesa,3.5,2.47,1.36,2026-03-04T07:07:45Z
