date,home,away,home_score,away_score
05.10. 18:20,MGA Handball W,Atzgersdorf W,20,28
04.10. 17:00,Stockerau W,Dornbirn/Schoren W,27,21
04.10. 16:00,St. Polten W,Tulln W,23,33
04.10. 14:00,roomz JAGS WV W,Fuchse W,21,17
27.09. 17:00,Korneuburg W,MGA Handball W,25,38
27.09. 17:00,Tulln W,Dornbirn/Schoren W,39,20
27.09. 16:00,Feldkirch W,Krems-Langenlois W,37,25
27.09. 16:00,roomz JAGS WV W,St. Polten W,26,18
20.09. 17:00,Fuchse W,St. Polten W,37,25
18.09. 18:00,Atzgersdorf W,Stockerau W,44,21
14.09. 16:00,Stockerau W,Korneuburg W,27,30
14.09. 16:00,Tulln W,Atzgersdorf W,28,25
14.09. 14:00,Krems-Langenlois W,Fuchse W,30,26
14.09. 14:00,MGA Handball W,Feldkirch W,33,24
13.09. 16:00,St. Polten W,Dornbirn/Schoren W,25,32
13.09. 15:00,Hypo NO W,roomz JAGS WV W,35,17
07.09. 10:00,Hypo NO W,Dornbirn/Schoren W,41,20
06.09. 18:00,roomz JAGS WV W,Krems-Langenlois W,24,22
06.09. 17:00,Atzgersdorf W,Dornbirn/Schoren W,47,22
06.09. 17:00,Feldkirch W,Stockerau W,29,27
06.09. 17:00,Fuchse W,MGA Handball W,29,29
06.09. 17:00,Korneuburg W,Tulln W,24,31
06.09. 16:00,St. Polten W,Hypo NO W,17,33
