date,home,away,home_score,away_score
11.10. 17:00,Atzgersdorf W,Krems-Langenlois W,-,-
11.10. 17:00,Korneuburg W,Hypo NO W,-,-
11.10. 17:00,Tulln W,Stockerau W,-,-
11.10. 18:00,MGA Handball W,Dornbirn/Schoren W,-,-
25.10. 14:30,St. Polten W,Stockerau W,-,-
25.10. 15:00,roomz JAGS WV W,Korneuburg W,-,-
25.10. 16:00,Hypo NO W,Atzgersdorf W,-,-
25.10. 17:00,Fuchse W,Feldkirch W,-,-
25.10. 17:00,Krems-Langenlois W,Dornbirn/Schoren W,-,-
26.10. 17:00,MGA Handball W,Tulln W,-,-
01.11. 13:15,Stockerau W,MGA Handball W,-,-
01.11. 17:00,Feldkirch W,St. Polten W,-,-
01.11. 18:00,Dornbirn/Schoren W,Hypo NO W,-,-
02.11. 11:00,Feldkirch W,Hypo NO W,-,-
02.11. 17:00,Atzgersdorf W,roomz JAGS WV W,-,-
02.11. 17:00,Tulln W,Krems-Langenlois W,-,-
02.11. 19:20,Korneuburg W,Fuchse W,-,-
08.11. 16:00,Fuchse W,Atzgersdorf W,-,-
08.11. 16:00,Krems-Langenlois W,Stockerau W,-,-
08.11. 17:00,Hypo NO W,Tulln W,-,-
08.11. 17:00,roomz JAGS WV W,Dornbirn/Schoren W,-,-
08.11. 18:00,Feldkirch W,Korneuburg W,-,-
08.11. 18:00,MGA Handball W,St. Polten W,-,-
22.11. 18:00,Feldkirch W,roomz JAGS WV W,-,-
30.11. 16:00,Krems-Langenlois W,Korneuburg W,-,-
13.12. 17:00,St. Polten W,Korneuburg W,-,-
13.12. 18:00,Atzgersdorf W,Feldkirch W,-,-
13.12. 18:00,Dornbirn/Schoren W,Fuchse W,-,-
13.12. 18:00,Stockerau W,Hypo NO W,-,-
13.12. 18:00,Tulln W,roomz JAGS WV W,-,-
14.12. 17:00,MGA Handball W,Krems-Langenlois W,-,-
20.12. 17:00,Hypo NO W,MGA Handball W,-,-
20.12. 17:00,roomz JAGS WV W,Stockerau W,-,-
20.12. 17:00,St. Polten W,Krems-Langenlois W,-,-
20.12. 18:00,Feldkirch W,Dornbirn/Schoren W,-,-
20.12. 18:00,Fuchse W,Tulln W,-,-
20.12. 18:00,Korneuburg W,Atzgersdorf W,-,-
13.01. 18:30,Fuchse W,Hypo NO W,-,-
17.01. 18:00,Atzgersdorf W,St. Polten W,-,-
