date,home,away,home_score,away_score
08.03. 17:00,Voslauer,Fuchse,30,26
07.03. 18:00,Aon Fivers,Barnbach/K.,36,28
07.03. 18:00,HSG Graz,Ferlach,32,29
07.03. 18:00,Linz,Hollabrunn,33,26
07.03. 17:00,Handball Tirol,Krems,37,35
07.03. 14:20,Bregenz,Alpla Hard,30,35
04.03. 18:30,Hollabrunn,Krems,30,29
04.03. 18:00,Barnbach/K.,Voslauer,28,30
04.03. 18:00,Ferlach,Handball Tirol,29,31
04.03. 18:00,Fuchse,Bregenz,32,28
04.03. 18:00,Linz,Aon Fivers,32,33
03.03. 18:00,Alpla Hard,HSG Graz,26,26
28.02. 18:00,Aon Fivers,Hollabrunn,37,34
28.02. 18:00,Bregenz,Barnbach/K.,28,25
28.02. 18:00,HSG Graz,Fuchse,30,36
28.02. 17:30,Krems,Ferlach,33,23
28.02. 17:30,Voslauer,Linz,34,30
28.02. 17:00,Handball Tirol,Alpla Hard,28,33
21.02. 18:00,Aon Fivers,Voslauer,28,26
21.02. 18:00,Barnbach/K.,HSG Graz,30,29
21.02. 18:00,Fuchse,Handball Tirol,34,30
21.02. 17:30,Hollabrunn,Ferlach,30,24
21.02. 17:30,Linz,Bregenz,35,33
20.02. 18:00,Alpla Hard,Krems,35,32
14.02. 18:00,Ferlach,Alpla Hard,33,28
14.02. 18:00,Krems,Fuchse,32,28
14.02. 17:30,Hollabrunn,Voslauer,33,33
14.02. 17:00,Handball Tirol,Barnbach/K.,28,26
13.02. 18:30,HSG Graz,Linz,32,32
13.02. 18:00,Bregenz,Aon Fivers,29,27
07.02. 18:30,Aon Fivers,HSG Graz,29,33
07.02. 18:00,Barnbach/K.,Krems,25,25
07.02. 18:00,Fuchse,Ferlach,31,33
07.02. 18:00,Linz,Handball Tirol,37,31
07.02. 17:30,Voslauer,Bregenz,31,31
06.02. 18:00,Alpla Hard,Hollabrunn,33,29
29.11. 19:20,Barnbach/K.,Ferlach,29,25
29.11. 18:00,Aon Fivers,Handball Tirol,36,39
29.11. 18:00,Bregenz,Hollabrunn,36,34
29.11. 18:00,Fuchse,Alpla Hard,30,29
29.11. 18:00,Linz,Krems,31,23
29.11. 17:00,Voslauer,HSG Graz,26,23
26.11. 18:00,Krems,Aon Fivers,35,33
26.11. 17:30,Handball Tirol,Voslauer,33,28
22.11. 18:30,Hollabrunn,Fuchse,32,30
22.11. 18:00,Ferlach,Linz,29,28
22.11. 18:00,HSG Graz,Bregenz,33,29
21.11. 18:00,Alpla Hard,Barnbach/K.,31,31
15.11. 19:20,Linz,Alpla Hard,33,37
15.11. 18:00,Barnbach/K.,Fuchse,27,24
15.11. 17:30,Hollabrunn,HSG Graz,37,28
14.11. 18:30,Voslauer,Krems,31,23
12.11. 18:00,Bregenz,Handball Tirol,35,35
11.11. 17:00,Aon Fivers,Ferlach,24,29
08.11. 18:00,Ferlach,Voslauer,28,27
08.11. 18:00,Fuchse,Linz,24,27
08.11. 18:00,Krems,Bregenz,26,26
07.11. 18:30,Alpla Hard,Aon Fivers,38,29
07.11. 18:00,Barnbach/K.,Hollabrunn,31,28
07.11. 17:30,Handball Tirol,HSG Graz,34,33
25.10. 17:00,Bregenz,Ferlach,29,27
25.10. 17:00,HSG Graz,Krems,30,30
25.10. 17:00,Linz,Barnbach/K.,23,17
25.10. 17:00,Voslauer,Alpla Hard,35,24
25.10. 16:30,Aon Fivers,Fuchse,29,29
25.10. 16:00,Handball Tirol,Hollabrunn,38,35
22.10. 16:20,Krems,Handball Tirol,28,25
21.10. 17:30,Barnbach/K.,Aon Fivers,31,30
21.10. 16:00,Fuchse,Voslauer,35,29
18.10. 17:30,Ferlach,HSG Graz,27,27
18.10. 16:30,Hollabrunn,Linz,29,29
18.10. 16:00,Alpla Hard,Bregenz,33,29
04.10. 18:20,Bregenz,Fuchse,35,32
04.10. 17:00,Aon Fivers,Linz,27,25
04.10. 17:00,Krems,Hollabrunn,32,28
04.10. 16:30,Handball Tirol,Ferlach,33,34
04.10. 16:00,Voslauer,Barnbach/K.,21,21
03.10. 17:00,HSG Graz,Alpla Hard,30,38
27.09. 17:00,Ferlach,Krems,28,26
27.09. 17:00,Fuchse,HSG Graz,21,37
27.09. 16:30,Hollabrunn,Aon Fivers,30,31
27.09. 16:30,Linz,Voslauer,25,27
26.09. 17:00,Alpla Hard,Handball Tirol,34,27
26.09. 17:00,Barnbach/K.,Bregenz,29,27
21.09. 16:00,Voslauer,Aon Fivers,31,36
20.09. 18:30,Bregenz,Linz,29,41
20.09. 17:00,Ferlach,Hollabrunn,45,36
20.09. 17:00,Krems,Alpla Hard,32,31
20.09. 16:00,Handball Tirol,Fuchse,37,36
19.09. 17:00,HSG Graz,Barnbach/K.,27,28
14.09. 16:00,Linz,HSG Graz,38,35
13.09. 18:20,Aon Fivers,Bregenz,40,35
13.09. 17:00,Fuchse,Krems,29,28
13.09. 16:30,Barnbach/K.,Handball Tirol,24,25
12.09. 17:00,Alpla Hard,Ferlach,27,32
10.09. 17:30,Voslauer,Hollabrunn,35,18
06.09. 17:00,Ferlach,Fuchse,28,29
06.09. 17:00,Krems,Barnbach/K.,27,26
06.09. 16:30,HSG Graz,Aon Fivers,32,31
05.09. 17:20,Handball Tirol,Linz,28,29
05.09. 17:00,Hollabrunn,Alpla Hard,29,29
03.09. 17:30,Bregenz,Voslauer,35,34
