date,home,away
08.03. 17:00,Voslauer,Fuchse
13.03. 18:30,Alpla Hard,Voslauer
14.03. 17:30,Hollabrunn,Handball Tirol
14.03. 18:00,Barnbach/K.,Linz
14.03. 18:00,Ferlach,Bregenz
14.03. 18:00,Fuchse,Aon Fivers
14.03. 18:00,Krems,HSG Graz
27.03. 18:00,Bregenz,Krems
27.03. 18:00,HSG Graz,Handball Tirol
27.03. 18:30,Aon Fivers,Alpla Hard
28.03. 17:25,Voslauer,Ferlach
28.03. 17:30,Hollabrunn,Barnbach/K.
28.03. 18:00,Linz,Fuchse
10.04. 17:00,Alpla Hard,Linz
11.04. 16:00,Handball Tirol,Bregenz
11.04. 17:00,Ferlach,Aon Fivers
11.04. 17:00,Fuchse,Barnbach/K.
11.04. 17:00,HSG Graz,Hollabrunn
11.04. 17:00,Krems,Voslauer
15.04. 17:30,Aon Fivers,Krems
15.04. 17:30,Barnbach/K.,Alpla Hard
15.04. 17:30,Bregenz,HSG Graz
15.04. 17:30,Fuchse,Hollabrunn
15.04. 17:30,Linz,Ferlach
15.04. 17:30,Voslauer,Handball Tirol
18.04. 16:30,Alpla Hard,Fuchse
18.04. 16:30,Ferlach,Barnbach/K.
18.04. 16:30,Handball Tirol,Aon Fivers
18.04. 16:30,Hollabrunn,Bregenz
18.04. 16:30,HSG Graz,Voslauer
18.04. 16:30,Krems,Linz
