date,home,away,home_score,away_score
11.03. 19:00,Esbjerg W,Ikast Handbold W,41,34
11.03. 18:00,Bjerringbro W,Copenhagen W,30,42
11.03. 18:00,Horsens W,EH Aalborg W,27,31
11.03. 18:00,NFH W,HOJ W,33,22
11.03. 18:00,Sonderjyske W,Ringkobing W,29,29
11.03. 17:30,Odense W,Skanderborg W,38,25
11.03. 17:30,Silkeborg-Voel W,Viborg W,27,32
01.03. 15:00,Ringkobing W,Esbjerg W,31,37
01.03. 13:00,Skanderborg W,Bjerringbro W,29,35
28.02. 15:00,Viborg W,NFH W,25,21
28.02. 14:00,HOJ W,Horsens W,29,31
28.02. 13:00,Copenhagen W,Sonderjyske W,33,34
28.02. 13:00,Ikast Handbold W,Silkeborg-Voel W,39,33
28.02. 12:30,EH Aalborg W,Odense W,30,42
25.02. 18:00,Bjerringbro W,EH Aalborg W,27,36
25.02. 18:00,Horsens W,Viborg W,29,27
25.02. 18:00,NFH W,Silkeborg-Voel W,35,23
25.02. 18:00,Ringkobing W,Ikast Handbold W,29,43
25.02. 18:00,Sonderjyske W,Skanderborg W,27,28
25.02. 17:30,Esbjerg W,Copenhagen W,39,28
25.02. 17:30,Odense W,HOJ W,37,26
21.02. 14:00,HOJ W,Bjerringbro W,33,29
20.02. 17:30,Silkeborg-Voel W,Horsens W,25,29
19.02. 18:00,EH Aalborg W,Sonderjyske W,28,31
18.02. 19:00,Ikast Handbold W,NFH W,30,27
18.02. 18:00,Copenhagen W,Ringkobing W,32,30
18.02. 18:00,Viborg W,Odense W,28,36
18.02. 17:30,Skanderborg W,Esbjerg W,20,39
15.02. 14:00,Ringkobing W,Skanderborg W,28,30
14.02. 13:00,Sonderjyske W,HOJ W,30,26
11.02. 18:00,Bjerringbro W,Viborg W,29,38
11.02. 18:00,Horsens W,NFH W,34,35
11.02. 17:30,Esbjerg W,EH Aalborg W,38,26
11.02. 17:30,Odense W,Silkeborg-Voel W,42,24
10.02. 19:00,Copenhagen W,Ikast Handbold W,29,32
08.02. 12:30,EH Aalborg W,Ringkobing W,32,34
07.02. 13:00,Silkeborg-Voel W,Bjerringbro W,32,24
06.02. 17:30,Skanderborg W,Copenhagen W,28,32
05.02. 19:00,NFH W,Odense W,21,29
04.02. 18:00,Viborg W,Sonderjyske W,34,29
04.02. 17:30,HOJ W,Esbjerg W,18,36
04.02. 17:30,Ikast Handbold W,Horsens W,29,27
01.02. 14:30,Sonderjyske W,Silkeborg-Voel W,34,30
31.01. 16:00,Copenhagen W,EH Aalborg W,34,37
31.01. 15:00,Esbjerg W,Viborg W,28,25
31.01. 15:00,Odense W,Horsens W,31,25
31.01. 14:15,Bjerringbro W,NFH W,28,41
31.01. 14:00,Ringkobing W,HOJ W,32,33
31.01. 13:00,Skanderborg W,Ikast Handbold W,24,32
28.01. 18:30,HOJ W,Copenhagen W,32,38
28.01. 18:00,Horsens W,Bjerringbro W,34,28
28.01. 18:00,NFH W,Sonderjyske W,35,27
28.01. 18:00,Viborg W,Ringkobing W,30,29
28.01. 17:30,Ikast Handbold W,Odense W,36,37
28.01. 17:30,Silkeborg-Voel W,Esbjerg W,24,38
27.01. 18:00,EH Aalborg W,Skanderborg W,28,31
24.01. 14:00,HOJ W,Skanderborg W,27,26
22.01. 18:00,Horsens W,Sonderjyske W,26,27
22.01. 17:30,Silkeborg-Voel W,Ringkobing W,29,28
21.01. 18:00,NFH W,Esbjerg W,22,35
21.01. 18:00,Viborg W,Copenhagen W,31,37
21.01. 17:30,Ikast Handbold W,EH Aalborg W,30,29
21.01. 17:30,Odense W,Bjerringbro W,37,19
17.01. 12:30,EH Aalborg W,HOJ W,33,30
16.01. 17:30,Copenhagen W,Silkeborg-Voel W,35,32
14.01. 19:00,Sonderjyske W,Odense W,24,33
14.01. 18:00,Bjerringbro W,Ikast Handbold W,24,27
14.01. 18:00,Ringkobing W,NFH W,24,41
14.01. 17:30,Esbjerg W,Horsens W,30,28
14.01. 17:30,Skanderborg W,Viborg W,25,33
10.01. 13:00,Silkeborg-Voel W,Skanderborg W,26,25
08.01. 18:00,Horsens W,Ringkobing W,29,23
07.01. 19:00,NFH W,Copenhagen W,32,26
07.01. 18:30,HOJ W,Ikast Handbold W,29,38
07.01. 18:00,Bjerringbro W,Sonderjyske W,26,28
06.01. 19:00,Odense W,Esbjerg W,29,30
06.01. 18:00,Viborg W,EH Aalborg W,35,29
03.01. 15:00,Copenhagen W,Horsens W,31,29
03.01. 14:00,HOJ W,Viborg W,22,36
03.01. 13:00,Esbjerg W,Bjerringbro W,42,22
03.01. 13:00,Ikast Handbold W,Sonderjyske W,37,27
03.01. 13:00,Skanderborg W,NFH W,24,35
02.01. 18:00,EH Aalborg W,Silkeborg-Voel W,22,34
02.01. 18:00,Ringkobing W,Odense W,27,37
15.11. 14:00,Bjerringbro W,Ringkobing W,34,27
15.11. 13:00,Silkeborg-Voel W,HOJ W,28,32
14.11. 17:30,NFH W,EH Aalborg W,35,25
12.11. 19:00,Viborg W,Ikast Handbold W,28,27
12.11. 18:00,Horsens W,Skanderborg W,26,23
12.11. 18:00,Sonderjyske W,Esbjerg W,24,35
12.11. 17:30,Odense W,Copenhagen W,37,33
07.11. 18:30,HOJ W,NFH W,24,30
07.11. 17:30,Copenhagen W,Bjerringbro W,30,22
06.11. 19:00,Ikast Handbold W,Esbjerg W,23,36
