date,home,away
20.03. 17:30,Silkeborg-Voel W,EH Aalborg W
25.03. 17:30,Esbjerg W,NFH W
25.03. 18:00,Bjerringbro W,Odense W
25.03. 18:00,Copenhagen W,Viborg W
25.03. 18:00,EH Aalborg W,Ikast Handbold W
25.03. 18:00,Ringkobing W,Silkeborg-Voel W
27.03. 18:00,Sonderjyske W,Horsens W
28.03. 13:00,Skanderborg W,HOJ W
01.04. 16:30,Odense W,Sonderjyske W
01.04. 16:30,Silkeborg-Voel W,Copenhagen W
01.04. 17:00,Ikast Handbold W,Bjerringbro W
01.04. 17:00,NFH W,Ringkobing W
01.04. 17:00,Viborg W,Skanderborg W
01.04. 17:30,HOJ W,EH Aalborg W
01.04. 18:30,Horsens W,Esbjerg W
04.04. 14:00,Copenhagen W,NFH W
04.04. 14:00,EH Aalborg W,Viborg W
04.04. 14:00,Esbjerg W,Odense W
04.04. 14:00,Ikast Handbold W,HOJ W
04.04. 14:00,Ringkobing W,Horsens W
04.04. 14:00,Skanderborg W,Silkeborg-Voel W
04.04. 14:00,Sonderjyske W,Bjerringbro W
