date,home,away,home_score,away_score
05.03. 19:00,Bjerringbro/Silkeborg,Skjern,30,28
01.03. 18:00,Aalborg,HOJ,34,24
28.02. 19:00,GOG,Bjerringbro/Silkeborg,36,32
28.02. 13:30,Grindsted,Fredericia,38,40
27.02. 18:00,Sonderjyske,Skanderborg AGF,25,31
26.02. 19:00,Nordsjaelland,Ringsted,27,33
26.02. 18:00,Holstebro,Ribe-Esbjerg,31,39
25.02. 19:00,Skjern,Mors,28,30
22.02. 19:00,Mors,GOG,34,40
21.02. 15:00,Fredericia,Aalborg,27,34
21.02. 14:00,Ringsted,Skanderborg AGF,30,35
21.02. 13:30,Grindsted,Sonderjyske,30,30
20.02. 19:00,HOJ,Holstebro,28,28
19.02. 18:30,Ribe-Esbjerg,Skjern,28,32
19.02. 17:30,Bjerringbro/Silkeborg,Nordsjaelland,32,30
12.02. 19:00,Holstebro,Fredericia,29,29
11.02. 19:00,Skanderborg AGF,Bjerringbro/Silkeborg,25,26
11.02. 18:00,Aalborg,Grindsted,38,24
11.02. 18:00,GOG,Ribe-Esbjerg,30,30
11.02. 18:00,Nordsjaelland,Mors,31,36
11.02. 17:30,Skjern,HOJ,27,23
10.02. 18:00,Sonderjyske,Ringsted,25,30
07.02. 19:00,Fredericia,Skjern,27,32
07.02. 13:30,Grindsted,Holstebro,28,33
07.02. 13:00,Aalborg,Sonderjyske,35,25
06.02. 19:00,Mors,Skanderborg AGF,27,33
06.02. 18:00,Bjerringbro/Silkeborg,Ringsted,27,27
05.02. 17:30,Ribe-Esbjerg,Nordsjaelland,31,41
04.02. 19:30,HOJ,GOG,22,37
20.12. 17:00,Sonderjyske,Bjerringbro/Silkeborg,37,37
20.12. 15:00,GOG,Fredericia,27,33
20.12. 15:00,Nordsjaelland,HOJ,35,30
20.12. 15:00,Skanderborg AGF,Ribe-Esbjerg,34,27
20.12. 14:00,Ringsted,Mors,25,23
20.12. 14:00,Skjern,Grindsted,33,25
19.12. 19:00,Holstebro,Aalborg,31,35
14.12. 18:00,Fredericia,Nordsjaelland,33,26
14.12. 17:00,Ribe-Esbjerg,Ringsted,27,31
14.12. 15:00,Grindsted,GOG,29,35
14.12. 14:00,HOJ,Skanderborg AGF,34,35
13.12. 15:00,Aalborg,Skjern,31,29
13.12. 14:30,Mors,Bjerringbro/Silkeborg,29,28
13.12. 14:00,Holstebro,Sonderjyske,32,32
11.12. 19:00,Skanderborg AGF,Fredericia,37,30
10.12. 18:00,GOG,Aalborg,26,33
10.12. 18:00,Nordsjaelland,Grindsted,34,27
10.12. 18:00,Ringsted,HOJ,32,32
10.12. 18:00,Sonderjyske,Mors,30,30
10.12. 17:30,Skjern,Holstebro,27,25
09.12. 17:30,Bjerringbro/Silkeborg,Ribe-Esbjerg,36,27
07.12. 17:00,Holstebro,GOG,29,35
06.12. 14:00,Fredericia,Ringsted,37,33
06.12. 13:30,Grindsted,Skanderborg AGF,30,32
06.12. 13:00,Aalborg,Nordsjaelland,39,30
05.12. 18:30,HOJ,Bjerringbro/Silkeborg,23,32
04.12. 17:30,Ribe-Esbjerg,Mors,32,31
03.12. 17:30,Skjern,Sonderjyske,28,26
30.11. 15:00,Nordsjaelland,Holstebro,23,30
30.11. 14:00,Bjerringbro/Silkeborg,Fredericia,30,29
30.11. 14:00,GOG,Skjern,26,29
29.11. 15:00,Ringsted,Grindsted,35,31
29.11. 15:00,Skanderborg AGF,Aalborg,26,27
29.11. 14:00,Sonderjyske,Ribe-Esbjerg,38,37
25.11. 19:00,Mors,HOJ,35,31
24.11. 19:00,Nordsjaelland,Skjern,29,28
23.11. 19:00,Sonderjyske,GOG,39,39
22.11. 17:00,Mors,Fredericia,33,32
22.11. 15:00,Bjerringbro/Silkeborg,Grindsted,24,24
22.11. 15:00,Ringsted,Aalborg,22,35
21.11. 19:00,Skanderborg AGF,Holstebro,32,32
20.11. 17:30,Ribe-Esbjerg,HOJ,27,31
17.11. 18:00,Holstebro,Ringsted,33,26
16.11. 18:00,Aalborg,Bjerringbro/Silkeborg,35,29
16.11. 17:00,Skjern,Skanderborg AGF,34,28
