date,home,away
13.03. 17:30,Skjern,Ringsted
14.03. 13:00,Aalborg,Mors
14.03. 13:30,Grindsted,Ribe-Esbjerg
14.03. 15:00,GOG,Skanderborg AGF
14.03. 15:00,Sonderjyske,Nordsjaelland
14.03. 17:00,Fredericia,HOJ
24.03. 19:00,Nordsjaelland,GOG
24.03. 19:00,Ribe-Esbjerg,Fredericia
25.03. 17:30,Skanderborg AGF,Skjern
25.03. 17:30,Sonderjyske,HOJ
25.03. 18:00,Ringsted,Holstebro
25.03. 18:30,Mors,Grindsted
25.03. 19:30,Bjerringbro/Silkeborg,Aalborg
28.03. 15:00,Aalborg,Ringsted
28.03. 15:00,Fredericia,Mors
28.03. 15:00,GOG,Sonderjyske
28.03. 15:00,Grindsted,Bjerringbro/Silkeborg
28.03. 15:00,HOJ,Ribe-Esbjerg
28.03. 15:00,Holstebro,Skanderborg AGF
28.03. 15:00,Skjern,Nordsjaelland
