date,home,away,home_score,away_score
05.03. 18:00,Midtjylland,Lemvig,-,-
07.03. 13:00,Skive,Sydhavsoerne,-,-
07.03. 14:00,Give,Vendsyssel,-,-
07.03. 14:00,Tik Taastrup,Odder,-,-
07.03. 16:30,Norddjurs,Raekker Molle,-,-
08.03. 14:00,Kolding,HC Kobenhavn,-,-
08.03. 16:00,Aarhus Handbold,Tonder,-,-
11.03. 18:30,Lemvig,HC Kobenhavn,-,-
11.03. 19:00,Raekker Molle,Vendsyssel,-,-
13.03. 18:30,Tonder,Norddjurs,-,-
13.03. 19:00,Sydhavsoerne,Aarhus Handbold,-,-
14.03. 12:00,HC Kobenhavn,Give,-,-
14.03. 14:00,Odder,Kolding,-,-
14.03. 14:00,Tik Taastrup,Lemvig,-,-
14.03. 15:00,Raekker Molle,Midtjylland,-,-
15.03. 14:00,Vendsyssel,Skive,-,-
29.03. 14:00,Aarhus Handbold,Vendsyssel,-,-
29.03. 14:00,Give,Odder,-,-
29.03. 14:00,Kolding,Tik Taastrup,-,-
29.03. 14:00,Lemvig,Raekker Molle,-,-
29.03. 14:00,Midtjylland,Tonder,-,-
29.03. 14:00,Norddjurs,Sydhavsoerne,-,-
29.03. 14:00,Skive,HC Kobenhavn,-,-
