date,home,away,home_score,away_score
14.03. 19:00,Toulon W,Brest Bretagne W,30,35
14.03. 18:30,Dijon W,Achenheim Truchtersheim W,26,27
14.03. 18:30,Saint Amand W,Stella St. Maur W,20,19
13.03. 19:00,Plan de Cuques W,Havre W,35,22
13.03. 19:00,Sambre Avesnois W,Nice W,22,23
12.03. 19:00,Paris 92 W,Besancon W,29,25
25.02. 19:00,Achenheim Truchtersheim W,Brest Bretagne W,28,37
25.02. 19:00,Chambray Touraine W,Sambre Avesnois W,34,22
25.02. 19:00,Toulon W,Dijon W,31,30
25.02. 18:30,Havre W,Metz W,14,39
22.02. 14:00,Paris 92 W,Saint Amand W,28,27
21.02. 19:30,Stella St. Maur W,Nice W,32,28
21.02. 18:00,Besancon W,Plan de Cuques W,35,32
13.02. 19:00,Nice W,Paris 92 W,25,25
13.02. 19:00,Sambre Avesnois W,Achenheim Truchtersheim W,24,24
11.02. 19:00,Brest Bretagne W,Dijon W,31,25
11.02. 19:00,Metz W,Toulon W,34,26
11.02. 19:00,Plan de Cuques W,Chambray Touraine W,26,28
11.02. 18:30,Havre W,Stella St. Maur W,22,28
11.02. 18:30,Saint Amand W,Besancon W,25,23
06.02. 19:00,Toulon W,Sambre Avesnois W,22,25
04.02. 19:00,Besancon W,Stella St. Maur W,32,28
04.02. 19:00,Brest Bretagne W,Havre W,40,23
04.02. 19:00,Chambray Touraine W,Achenheim Truchtersheim W,25,18
04.02. 19:00,Paris 92 W,Metz W,24,36
04.02. 18:30,Saint Amand W,Plan de Cuques W,27,25
03.02. 18:30,Dijon W,Nice W,36,31
28.01. 19:30,Stella St. Maur W,Chambray Touraine W,17,26
28.01. 19:00,Achenheim Truchtersheim W,Paris 92 W,22,24
28.01. 19:00,Metz W,Besancon W,38,27
28.01. 19:00,Nice W,Saint Amand W,23,32
28.01. 19:00,Plan de Cuques W,Dijon W,27,30
28.01. 18:30,Havre W,Toulon W,33,39
28.01. 18:00,Sambre Avesnois W,Brest Bretagne W,19,38
14.01. 19:00,Achenheim Truchtersheim W,Stella St. Maur W,26,22
14.01. 19:00,Besancon W,Nice W,28,24
14.01. 19:00,Brest Bretagne W,Metz W,27,23
14.01. 19:00,Chambray Touraine W,Saint Amand W,27,26
14.01. 19:00,Paris 92 W,Sambre Avesnois W,29,24
14.01. 19:00,Toulon W,Plan de Cuques W,30,28
14.01. 18:30,Dijon W,Havre W,27,23
07.01. 19:30,Stella St. Maur W,Toulon W,33,26
07.01. 19:00,Chambray Touraine W,Besancon W,29,26
07.01. 19:00,Metz W,Dijon W,43,30
07.01. 19:00,Nice W,Sambre Avesnois W,33,28
07.01. 19:00,Plan de Cuques W,Brest Bretagne W,22,39
07.01. 18:30,Havre W,Achenheim Truchtersheim W,26,23
07.01. 18:30,Saint Amand W,Paris 92 W,25,25
04.01. 15:00,Toulon W,Nice W,26,30
04.01. 14:00,Achenheim Truchtersheim W,Metz W,23,37
03.01. 19:00,Brest Bretagne W,Chambray Touraine W,38,27
03.01. 19:00,Plan de Cuques W,Stella St. Maur W,36,22
03.01. 18:00,Besancon W,Dijon W,24,26
03.01. 18:00,Paris 92 W,Havre W,29,28
03.01. 17:00,Sambre Avesnois W,Saint Amand W,22,27
12.11. 19:00,Besancon W,Sambre Avesnois W,36,30
12.11. 19:00,Chambray Touraine W,Toulon W,35,28
12.11. 19:00,Dijon W,Paris 92 W,29,23
12.11. 19:00,Metz W,Plan de Cuques W,44,23
12.11. 19:00,Nice W,Achenheim Truchtersheim W,27,29
12.11. 19:00,Stella St. Maur W,Havre W,26,28
12.11. 18:30,Saint Amand W,Brest Bretagne W,18,31
05.11. 19:00,Achenheim Truchtersheim W,Chambray Touraine W,22,29
05.11. 19:00,Plan de Cuques W,Saint Amand W,26,28
05.11. 19:00,Toulon W,Metz W,24,36
05.11. 18:30,Sambre Avesnois W,Dijon W,24,34
05.11. 18:00,Havre W,Besancon W,33,38
05.11. 13:30,Paris 92 W,Nice W,32,33
04.11. 19:00,Brest Bretagne W,Stella St. Maur W,29,20
29.10. 19:00,Dijon W,Brest Bretagne W,26,30
28.10. 19:00,Metz W,Sambre Avesnois W,39,13
26.10. 15:00,Saint Amand W,Havre W,33,26
25.10. 18:45,Toulon W,Achenheim Truchtersheim W,33,30
25.10. 17:00,Besancon W,Paris 92 W,23,25
24.10. 18:00,Chambray Touraine W,Plan de Cuques W,19,27
24.10. 18:00,Nice W,Stella St. Maur W,29,25
11.10. 18:30,Stella St. Maur W,Saint Amand W,29,30
11.10. 18:00,Havre W,Plan de Cuques W,33,35
11.10. 18:00,Nice W,Metz W,22,35
11.10. 17:00,Achenheim Truchtersheim W,Dijon W,22,26
11.10. 17:00,Paris 92 W,Chambray Touraine W,26,26
11.10. 17:00,Sambre Avesnois W,Toulon W,24,32
11.10. 16:00,Besancon W,Brest Bretagne W,30,36
08.10. 18:00,Brest Bretagne W,Nice W,39,23
08.10. 18:00,Chambray Touraine W,Havre W,41,33
08.10. 18:00,Dijon W,Stella St. Maur W,27,26
08.10. 18:00,Metz W,Paris 92 W,35,22
08.10. 18:00,Plan de Cuques W,Sambre Avesnois W,46,23
08.10. 18:00,Toulon W,Besancon W,34,32
08.10. 17:30,Saint Amand W,Achenheim Truchtersheim W,26,23
01.10. 18:30,Stella St. Maur W,Metz W,20,40
01.10. 18:00,Besancon W,Saint Amand W,25,24
01.10. 18:00,Havre W,Brest Bretagne W,28,54
28.09. 15:00,Paris 92 W,Toulon W,18,27
28.09. 14:00,Nice W,Dijon W,27,21
27.09. 18:30,Achenheim Truchtersheim W,Plan de Cuques W,24,25
27.09. 17:00,Sambre Avesnois W,Chambray Touraine W,26,29
24.09. 18:30,Stella St. Maur W,Besancon W,28,31
