date,home,away,home_score,away_score
06.03. 19:30,Massy Essonne,Angers,-,-
06.03. 19:30,Valence,Cherbourg,-,-
07.03. 18:00,Pau Billere,Cournon d'Auvergne,-,-
07.03. 19:30,Caen,Saintes,-,-
07.03. 19:30,Sarrebourg,Frontignan,-,-
08.03. 14:00,Saran,Ivry,-,-
08.03. 15:00,Creteil,Besancon,-,-
13.03. 19:30,Angers,Besancon,-,-
13.03. 19:30,Caen,Massy Essonne,-,-
13.03. 19:30,Cournon d'Auvergne,Valence,-,-
13.03. 19:30,Frontignan,Pau Billere,-,-
13.03. 19:30,Pontault,Creteil,-,-
13.03. 19:30,Saintes,Sarrebourg,-,-
27.03. 19:30,Angers,Frontignan,-,-
27.03. 19:30,Besancon,Saintes,-,-
27.03. 19:30,Massy Essonne,Ivry,-,-
27.03. 19:30,Pau Billere,Saran,-,-
27.03. 19:30,Valence,Pontault,-,-
28.03. 19:30,Sarrebourg,Cournon d'Auvergne,-,-
29.03. 14:00,Creteil,Cherbourg,-,-
31.03. 18:30,Saintes,Cournon d'Auvergne,-,-
03.04. 18:00,Saran,Valence,-,-
03.04. 18:30,Caen,Angers,-,-
03.04. 18:30,Cherbourg,Sarrebourg,-,-
03.04. 18:30,Frontignan,Massy Essonne,-,-
03.04. 18:30,Ivry,Creteil,-,-
03.04. 18:30,Pontault,Besancon,-,-
03.04. 18:30,Saintes,Pau Billere,-,-
07.04. 18:00,Cherbourg,Saran,-,-
09.04. 18:00,Angers,Cournon d'Auvergne,-,-
10.04. 18:30,Besancon,Valence,-,-
10.04. 18:30,Caen,Ivry,-,-
10.04. 18:30,Creteil,Frontignan,-,-
10.04. 18:30,Massy Essonne,Cherbourg,-,-
10.04. 18:30,Saintes,Saran,-,-
10.04. 18:30,Sarrebourg,Pontault,-,-
14.04. 18:00,Cherbourg,Pau Billere,-,-
14.04. 18:30,Angers,Sarrebourg,-,-
14.04. 18:30,Cournon d'Auvergne,Frontignan,-,-
14.04. 18:30,Ivry,Besancon,-,-
14.04. 18:30,Pontault,Saintes,-,-
14.04. 18:30,Valence,Creteil,-,-
15.04. 18:00,Saran,Caen,-,-
17.04. 18:30,Besancon,Cherbourg,-,-
17.04. 18:30,Ivry,Cournon d'Auvergne,-,-
17.04. 18:30,Massy Essonne,Saintes,-,-
17.04. 18:30,Sarrebourg,Creteil,-,-
17.04. 18:30,Valence,Angers,-,-
18.04. 18:00,Frontignan,Pontault,-,-
18.04. 18:30,Caen,Pau Billere,-,-
24.04. 18:00,Saran,Sarrebourg,-,-
24.04. 18:30,Cherbourg,Ivry,-,-
24.04. 18:30,Cournon d'Auvergne,Besancon,-,-
24.04. 18:30,Frontignan,Caen,-,-
24.04. 18:30,Pau Billere,Massy Essonne,-,-
24.04. 18:30,Pontault,Angers,-,-
24.04. 18:30,Saintes,Valence,-,-
30.04. 18:30,Angers,Creteil,-,-
01.05. 18:30,Besancon,Frontignan,-,-
01.05. 18:30,Cherbourg,Cournon d'Auvergne,-,-
01.05. 18:30,Ivry,Saintes,-,-
01.05. 18:30,Pau Billere,Pontault,-,-
01.05. 18:30,Valence,Caen,-,-
03.05. 14:00,Massy Essonne,Saran,-,-
07.05. 18:30,Caen,Cournon d'Auvergne,-,-
07.05. 18:30,Creteil,Massy Essonne,-,-
07.05. 18:30,Frontignan,Valence,-,-
07.05. 18:30,Ivry,Pau Billere,-,-
07.05. 18:30,Pontault,Cherbourg,-,-
07.05. 18:30,Saran,Angers,-,-
07.05. 18:30,Sarrebourg,Besancon,-,-
