date,home,away,home_score,away_score
28.02. 19:00,Leverkusen W,Rodertal W,25,35
28.02. 18:30,Mainz W,TuS Lintfort W,37,25
28.02. 18:00,HSG Freiburg W,Bergischer W,21,20
28.02. 17:30,Regensburg W,Kirchhof W,31,23
28.02. 17:30,Rostocker W,Fuchse Berlin W,20,35
28.02. 17:30,Solingen W,Leipzig W,27,27
28.02. 17:30,Werder Bremen W,Rosengarten-Buchholz W,22,22
27.02. 19:00,Waiblingen W,Nurtingen W,29,30
22.02. 16:00,Kirchhof W,TuS Lintfort W,35,24
22.02. 15:00,Leipzig W,Waiblingen W,38,25
21.02. 18:30,Fuchse Berlin W,HSG Freiburg W,28,23
21.02. 18:30,Nurtingen W,Werder Bremen W,35,29
21.02. 18:00,Rosengarten-Buchholz W,Rostocker W,32,28
21.02. 17:30,Bergischer W,Mainz W,25,23
21.02. 17:30,Regensburg W,Leverkusen W,36,33
21.02. 17:30,Rodertal W,Solingen W,27,26
15.02. 15:00,Leverkusen W,Kirchhof W,42,26
15.02. 15:00,TuS Lintfort W,Bergischer W,24,24
14.02. 18:30,Mainz W,Fuchse Berlin W,23,27
14.02. 18:00,HSG Freiburg W,Rosengarten-Buchholz W,25,22
14.02. 17:30,Rodertal W,Waiblingen W,36,23
14.02. 17:30,Rostocker W,Nurtingen W,26,29
14.02. 17:30,Solingen W,Regensburg W,31,25
14.02. 17:30,Werder Bremen W,Leipzig W,29,24
08.02. 15:00,Leipzig W,Rostocker W,33,18
08.02. 15:00,Leverkusen W,Solingen W,25,32
07.02. 18:30,Fuchse Berlin W,TuS Lintfort W,37,27
07.02. 18:30,Nurtingen W,HSG Freiburg W,37,25
07.02. 18:00,Rosengarten-Buchholz W,Mainz W,29,33
07.02. 17:30,Regensburg W,Waiblingen W,29,27
07.02. 17:30,Rodertal W,Werder Bremen W,31,26
07.02. 17:00,Kirchhof W,Bergischer W,28,27
04.02. 18:30,Rostocker W,Solingen W,26,28
01.02. 15:00,TuS Lintfort W,Rosengarten-Buchholz W,26,28
31.01. 18:30,Mainz W,Nurtingen W,24,36
31.01. 18:00,HSG Freiburg W,Leipzig W,20,29
31.01. 17:30,Bergischer W,Fuchse Berlin W,27,23
31.01. 17:30,Rostocker W,Rodertal W,25,35
31.01. 17:30,Werder Bremen W,Regensburg W,35,26
31.01. 17:00,Waiblingen W,Leverkusen W,30,30
30.01. 18:30,Solingen W,Kirchhof W,25,18
24.01. 18:30,Fuchse Berlin W,Kirchhof W,28,22
24.01. 18:30,Mainz W,Leipzig W,22,29
24.01. 18:00,HSG Freiburg W,Rodertal W,21,40
24.01. 17:30,Bergischer W,Rosengarten-Buchholz W,23,22
24.01. 17:30,Rostocker W,Regensburg W,31,34
24.01. 17:30,Werder Bremen W,Leverkusen W,32,25
24.01. 17:00,Waiblingen W,Solingen W,28,24
24.01. 16:30,TuS Lintfort W,Nurtingen W,19,34
18.01. 15:00,Leipzig W,TuS Lintfort W,40,14
18.01. 13:00,Leverkusen W,Rostocker W,29,30
17.01. 18:30,Kirchhof W,Waiblingen W,23,31
17.01. 18:30,Nurtingen W,Bergischer W,33,25
17.01. 17:30,Regensburg W,HSG Freiburg W,27,28
17.01. 17:30,Rodertal W,Mainz W,26,29
17.01. 17:30,Solingen W,Werder Bremen W,33,30
11.01. 15:30,HSG Freiburg W,Leverkusen W,31,30
10.01. 18:30,Fuchse Berlin W,Nurtingen W,27,26
10.01. 18:30,Mainz W,Regensburg W,27,29
10.01. 16:30,TuS Lintfort W,Rodertal W,25,36
04.01. 15:00,Leipzig W,Fuchse Berlin W,33,24
03.01. 17:30,Regensburg W,TuS Lintfort W,44,27
03.01. 17:30,Rodertal W,Bergischer W,27,20
03.01. 17:30,Solingen W,HSG Freiburg W,27,22
03.01. 17:30,Werder Bremen W,Kirchhof W,36,25
03.01. 17:00,Leverkusen W,Mainz W,25,32
03.01. 17:00,Nurtingen W,Rosengarten-Buchholz W,43,26
03.01. 17:00,Waiblingen W,Rostocker W,28,20
28.12. 15:00,Kirchhof W,Nurtingen W,28,37
28.12. 15:00,Rosengarten-Buchholz W,Leipzig W,18,23
28.12. 15:00,TuS Lintfort W,Leverkusen W,22,33
27.12. 18:30,Mainz W,Solingen W,27,28
27.12. 17:30,Bergischer W,Regensburg W,22,27
27.12. 17:30,Rostocker W,Werder Bremen W,25,28
27.12. 15:00,Fuchse Berlin W,Rodertal W,24,25
21.12. 15:00,Leverkusen W,Bergischer W,25,26
20.12. 17:30,Regensburg W,Fuchse Berlin W,26,29
20.12. 17:30,Rodertal W,Rosengarten-Buchholz W,34,24
20.12. 17:30,Rostocker W,Kirchhof W,30,28
20.12. 17:30,Solingen W,TuS Lintfort W,32,24
20.12. 17:30,Werder Bremen W,HSG Freiburg W,23,23
20.12. 17:00,Leipzig W,Nurtingen W,30,29
20.12. 17:00,Waiblingen W,Mainz W,25,21
14.12. 15:00,Waiblingen W,Bergischer W,25,26
22.11. 18:00,HSG Freiburg W,Waiblingen W,29,27
15.11. 18:30,Fuchse Berlin W,Leverkusen W,36,20
15.11. 18:30,Mainz W,Werder Bremen W,32,30
15.11. 18:30,Nurtingen W,Rodertal W,29,26
15.11. 18:00,HSG Freiburg W,Rostocker W,21,23
15.11. 18:00,Rosengarten-Buchholz W,Regensburg W,27,31
15.11. 17:30,Bergischer W,Solingen W,21,26
15.11. 17:00,Kirchhof W,Leipzig W,17,28
15.11. 16:30,TuS Lintfort W,Waiblingen W,24,21
09.11. 15:00,Leverkusen W,Rosengarten-Buchholz W,32,29
08.11. 18:00,HSG Freiburg W,Kirchhof W,23,26
08.11. 17:30,Regensburg W,Nurtingen W,32,30
08.11. 17:30,Rodertal W,Leipzig W,22,25
08.11. 17:30,Rostocker W,Mainz W,28,37
08.11. 17:30,Solingen W,Fuchse Berlin W,27,27
08.11. 17:30,Werder Bremen W,TuS Lintfort W,34,26
02.11. 16:00,Kirchhof W,Rodertal W,19,36
02.11. 15:00,Leipzig W,Regensburg W,32,22
02.11. 15:00,Rosengarten-Buchholz W,Solingen W,32,31
01.11. 18:30,Fuchse Berlin W,Waiblingen W,26,22
01.11. 18:30,Mainz W,HSG Freiburg W,28,25
01.11. 18:30,Nurtingen W,Leverkusen W,36,30
01.11. 17:30,Bergischer W,Werder Bremen W,26,25
01.11. 17:00,TuS Lintfort W,Rostocker W,23,25
