date,home,away
07.03. 17:00,Kirchhof W,Rosengarten-Buchholz W
13.03. 17:00,Bergischer W,Leipzig W
13.03. 18:30,Rosengarten-Buchholz W,Fuchse Berlin W
21.03. 16:30,TuS Lintfort W,HSG Freiburg W
21.03. 17:00,Kirchhof W,Mainz W
21.03. 17:30,Bergischer W,Rostocker W
21.03. 17:30,Rodertal W,Regensburg W
21.03. 18:00,Rosengarten-Buchholz W,Waiblingen W
21.03. 18:30,Fuchse Berlin W,Werder Bremen W
21.03. 18:30,Nurtingen W,Solingen W
22.03. 15:00,Leipzig W,Leverkusen W
28.03. 17:00,Waiblingen W,Fuchse Berlin W
28.03. 17:30,Regensburg W,Leipzig W
28.03. 17:30,Rodertal W,Kirchhof W
28.03. 17:30,Rostocker W,TuS Lintfort W
28.03. 17:30,Solingen W,Rosengarten-Buchholz W
28.03. 17:30,Werder Bremen W,Bergischer W
28.03. 18:00,HSG Freiburg W,Mainz W
29.03. 14:00,Leverkusen W,Nurtingen W
04.04. 16:00,Kirchhof W,HSG Freiburg W
04.04. 16:00,Nurtingen W,Regensburg W
04.04. 16:30,Bergischer W,Waiblingen W
04.04. 17:00,Rosengarten-Buchholz W,Leverkusen W
04.04. 17:30,Fuchse Berlin W,Solingen W
04.04. 17:30,Mainz W,Rostocker W
05.04. 14:00,Leipzig W,Rodertal W
05.04. 14:00,TuS Lintfort W,Werder Bremen W
17.04. 17:30,Solingen W,Bergischer W
18.04. 16:00,Leverkusen W,Fuchse Berlin W
18.04. 16:00,Waiblingen W,TuS Lintfort W
18.04. 16:30,Regensburg W,Rosengarten-Buchholz W
18.04. 16:30,Rodertal W,Nurtingen W
18.04. 16:30,Rostocker W,HSG Freiburg W
18.04. 16:30,Werder Bremen W,Mainz W
19.04. 14:00,Leipzig W,Kirchhof W
25.04. 16:00,Kirchhof W,Rostocker W
25.04. 16:30,Bergischer W,Leverkusen W
25.04. 17:00,HSG Freiburg W,Werder Bremen W
25.04. 17:00,Rosengarten-Buchholz W,Rodertal W
25.04. 17:30,Fuchse Berlin W,Regensburg W
25.04. 17:30,Mainz W,Waiblingen W
25.04. 17:30,Nurtingen W,Leipzig W
26.04. 14:00,TuS Lintfort W,Solingen W
02.05. 16:00,Waiblingen W,HSG Freiburg W
02.05. 16:30,Regensburg W,Bergischer W
02.05. 16:30,Rodertal W,Fuchse Berlin W
02.05. 16:30,Solingen W,Mainz W
02.05. 16:30,Werder Bremen W,Rostocker W
02.05. 17:30,Nurtingen W,Kirchhof W
03.05. 14:00,Leipzig W,Rosengarten-Buchholz W
03.05. 14:00,Leverkusen W,TuS Lintfort W
09.05. 15:30,TuS Lintfort W,Regensburg W
09.05. 16:00,Kirchhof W,Werder Bremen W
09.05. 16:30,Bergischer W,Rodertal W
09.05. 16:30,Rostocker W,Waiblingen W
09.05. 17:00,HSG Freiburg W,Solingen W
09.05. 17:00,Rosengarten-Buchholz W,Nurtingen W
09.05. 17:30,Fuchse Berlin W,Leipzig W
09.05. 17:30,Mainz W,Leverkusen W
14.05. 14:00,Werder Bremen W,Waiblingen W
16.05. 16:00,Waiblingen W,Werder Bremen W
16.05. 16:30,Regensburg W,Mainz W
16.05. 16:30,Rodertal W,TuS Lintfort W
16.05. 16:30,Solingen W,Rostocker W
16.05. 17:30,Nurtingen W,Fuchse Berlin W
17.05. 14:00,Leipzig W,Bergischer W
17.05. 14:00,Leverkusen W,HSG Freiburg W
17.05. 14:00,Rosengarten-Buchholz W,Kirchhof W
23.05. 16:00,Waiblingen W,Kirchhof W
23.05. 16:30,Bergischer W,Nurtingen W
23.05. 16:30,Rostocker W,Leverkusen W
23.05. 16:30,Werder Bremen W,Solingen W
23.05. 17:00,HSG Freiburg W,Regensburg W
23.05. 17:30,Fuchse Berlin W,Rosengarten-Buchholz W
23.05. 17:30,Mainz W,Rodertal W
24.05. 14:00,TuS Lintfort W,Leipzig W
30.05. 16:00,Kirchhof W,Fuchse Berlin W
30.05. 16:00,Leipzig W,Mainz W
30.05. 16:00,Leverkusen W,Werder Bremen W
30.05. 16:00,Nurtingen W,TuS Lintfort W
30.05. 16:00,Regensburg W,Rostocker W
30.05. 16:00,Rodertal W,HSG Freiburg W
30.05. 16:00,Rosengarten-Buchholz W,Bergischer W
30.05. 16:00,Solingen W,Waiblingen W
