date,home,away
15.03. 14:00,Lemgo,Goppingen
15.03. 15:30,Bergischer,SC Magdeburg
15.03. 15:30,Leipzig,Stuttgart
15.03. 17:00,Fuchse Berlin,Erlangen
26.03. 18:00,Hamburg,Bergischer
27.03. 18:00,MT Melsungen,Kiel
27.03. 19:00,Flensburg-H.,Minden
28.03. 15:05,SC Magdeburg,Fuchse Berlin
28.03. 17:00,Rhein-Neckar,HSG Wetzlar
28.03. 19:00,Gummersbach,Hannover-Burgdorf
29.03. 13:00,Leipzig,Eisenach
29.03. 14:30,Goppingen,Erlangen
29.03. 14:30,Stuttgart,Lemgo
02.04. 17:00,Bergischer,Gummersbach
02.04. 17:00,HSG Wetzlar,Stuttgart
04.04. 14:00,Kiel,Eisenach
04.04. 17:00,Lemgo,MT Melsungen
04.04. 18:00,Hannover-Burgdorf,Flensburg-H.
05.04. 13:00,Fuchse Berlin,Leipzig
05.04. 14:30,Erlangen,Rhein-Neckar
05.04. 14:30,Minden,Hamburg
05.04. 16:00,Goppingen,SC Magdeburg
09.04. 17:00,Leipzig,Goppingen
10.04. 17:00,Eisenach,Hannover-Burgdorf
10.04. 18:00,MT Melsungen,Minden
11.04. 17:00,Rhein-Neckar,Flensburg-H.
11.04. 18:00,Gummersbach,HSG Wetzlar
12.04. 13:00,Hamburg,Kiel
12.04. 14:30,Bergischer,Stuttgart
12.04. 14:30,SC Magdeburg,Erlangen
12.04. 16:00,Lemgo,Fuchse Berlin
16.04. 17:00,Leipzig,Gummersbach
23.04. 17:00,Fuchse Berlin,Gummersbach
23.04. 17:00,Goppingen,Rhein-Neckar
24.04. 17:00,Minden,Eisenach
24.04. 18:00,Flensburg-H.,MT Melsungen
25.04. 17:00,Kiel,Leipzig
25.04. 18:00,Erlangen,Hamburg
26.04. 13:00,HSG Wetzlar,Bergischer
26.04. 14:30,Hannover-Burgdorf,Lemgo
26.04. 14:30,Stuttgart,SC Magdeburg
30.04. 17:00,Gummersbach,Goppingen
30.04. 17:00,Leipzig,Erlangen
01.05. 17:00,Rhein-Neckar,MT Melsungen
01.05. 18:00,Lemgo,Minden
02.05. 17:00,Bergischer,Hannover-Burgdorf
02.05. 18:00,HSG Wetzlar,Kiel
03.05. 13:00,Hamburg,Stuttgart
03.05. 14:30,SC Magdeburg,Flensburg-H.
07.05. 17:00,Goppingen,HSG Wetzlar
07.05. 17:00,Stuttgart,Rhein-Neckar
08.05. 17:00,Minden,Bergischer
08.05. 18:00,Hannover-Burgdorf,Leipzig
09.05. 17:00,Flensburg-H.,Lemgo
09.05. 18:00,MT Melsungen,Eisenach
10.05. 13:00,Kiel,Fuchse Berlin
10.05. 14:30,Erlangen,Gummersbach
10.05. 14:30,SC Magdeburg,Hamburg
21.05. 17:00,Fuchse Berlin,Hannover-Burgdorf
21.05. 17:00,Leipzig,MT Melsungen
22.05. 17:00,Eisenach,Lemgo
23.05. 17:00,HSG Wetzlar,Erlangen
23.05. 18:00,Gummersbach,Minden
24.05. 13:00,Rhein-Neckar,SC Magdeburg
24.05. 14:30,Bergischer,Kiel
24.05. 14:30,Stuttgart,Flensburg-H.
25.05. 18:00,Hamburg,Goppingen
29.05. 17:00,Erlangen,Bergischer
29.05. 18:00,Eisenach,Fuchse Berlin
03.06. 17:00,Goppingen,Stuttgart
03.06. 17:00,Minden,Kiel
03.06. 17:00,Rhein-Neckar,Hannover-Burgdorf
03.06. 18:00,Lemgo,Leipzig
03.06. 18:00,SC Magdeburg,Gummersbach
04.06. 17:00,Flensburg-H.,Eisenach
04.06. 17:00,Hamburg,HSG Wetzlar
04.06. 18:00,MT Melsungen,Fuchse Berlin
07.06. 13:00,Bergischer,Goppingen
07.06. 13:00,Eisenach,Hamburg
07.06. 13:00,Fuchse Berlin,Flensburg-H.
07.06. 13:00,Gummersbach,Rhein-Neckar
07.06. 13:00,Hannover-Burgdorf,MT Melsungen
07.06. 13:00,HSG Wetzlar,SC Magdeburg
07.06. 13:00,Kiel,Lemgo
07.06. 13:00,Leipzig,Minden
07.06. 13:00,Stuttgart,Erlangen
