date,home,away,home_score,away_score
06.03. 18:00,Huttenberg,Lubeck-Schwartau,-,-
06.03. 18:30,Essen,Hagen,-,-
07.03. 17:00,Ferndorf,Dessauer,-,-
07.03. 17:00,Krefeld,Grosswallstadt,-,-
07.03. 18:30,Coburg 2000,Potsdam,-,-
08.03. 16:00,Ludwigshafen,Bietigheim-Metterzimmern,-,-
08.03. 16:00,Nordhorn-Lingen,HBW Balingen-Weilstetten,-,-
08.03. 16:00,Oppenweiler/Backnang,Dormagen,-,-
09.03. 18:30,N-Lubbecke,Elbflorenz,-,-
13.03. 18:00,Potsdam,Nordhorn-Lingen,-,-
13.03. 18:30,Dormagen,Huttenberg,-,-
13.03. 19:00,Hagen,Oppenweiler/Backnang,-,-
14.03. 17:00,Bietigheim-Metterzimmern,Ferndorf,-,-
14.03. 17:00,Lubeck-Schwartau,N-Lubbecke,-,-
14.03. 18:30,Grosswallstadt,Essen,-,-
15.03. 16:00,Dessauer,Krefeld,-,-
15.03. 16:00,Elbflorenz,Coburg 2000,-,-
15.03. 16:00,HBW Balingen-Weilstetten,Ludwigshafen,-,-
27.03. 18:00,Ludwigshafen,Hagen,-,-
27.03. 18:30,N-Lubbecke,Dessauer,-,-
27.03. 19:00,Nordhorn-Lingen,Elbflorenz,-,-
28.03. 17:00,Ferndorf,HBW Balingen-Weilstetten,-,-
28.03. 17:00,Huttenberg,Potsdam,-,-
28.03. 18:30,Krefeld,Dormagen,-,-
29.03. 15:00,Coburg 2000,Lubeck-Schwartau,-,-
29.03. 15:00,Essen,Bietigheim-Metterzimmern,-,-
29.03. 15:00,Oppenweiler/Backnang,Grosswallstadt,-,-
02.04. 17:00,Elbflorenz,Ludwigshafen,-,-
02.04. 17:00,Lubeck-Schwartau,Nordhorn-Lingen,-,-
02.04. 17:30,Dessauer,Essen,-,-
02.04. 17:30,Hagen,Krefeld,-,-
02.04. 18:00,N-Lubbecke,Coburg 2000,-,-
04.04. 16:00,Potsdam,Ferndorf,-,-
04.04. 17:30,Grosswallstadt,Dormagen,-,-
05.04. 15:00,HBW Balingen-Weilstetten,Oppenweiler/Backnang,-,-
05.04. 16:00,Bietigheim-Metterzimmern,Huttenberg,-,-
10.04. 17:00,Essen,HBW Balingen-Weilstetten,-,-
10.04. 17:30,Ferndorf,Elbflorenz,-,-
10.04. 18:00,Ludwigshafen,Lubeck-Schwartau,-,-
11.04. 16:00,Dormagen,Bietigheim-Metterzimmern,-,-
11.04. 16:00,Oppenweiler/Backnang,Dessauer,-,-
11.04. 17:30,Nordhorn-Lingen,N-Lubbecke,-,-
12.04. 15:00,Grosswallstadt,Hagen,-,-
12.04. 15:00,Huttenberg,Coburg 2000,-,-
12.04. 15:00,Krefeld,Potsdam,-,-
17.04. 17:00,Dessauer,Huttenberg,-,-
17.04. 17:00,Elbflorenz,Oppenweiler/Backnang,-,-
17.04. 17:00,Lubeck-Schwartau,Ferndorf,-,-
17.04. 17:30,Coburg 2000,Nordhorn-Lingen,-,-
17.04. 17:30,Hagen,Dormagen,-,-
17.04. 17:30,Potsdam,Essen,-,-
17.04. 18:00,Bietigheim-Metterzimmern,Krefeld,-,-
17.04. 18:00,HBW Balingen-Weilstetten,Grosswallstadt,-,-
17.04. 18:00,N-Lubbecke,Ludwigshafen,-,-
21.04. 17:30,Hagen,Ferndorf,-,-
24.04. 17:00,Ludwigshafen,Coburg 2000,-,-
24.04. 17:30,Hagen,Dessauer,-,-
24.04. 18:00,Ferndorf,N-Lubbecke,-,-
25.04. 16:00,Krefeld,Lubeck-Schwartau,-,-
25.04. 16:00,Oppenweiler/Backnang,Nordhorn-Lingen,-,-
25.04. 17:30,Huttenberg,HBW Balingen-Weilstetten,-,-
26.04. 15:00,Essen,Elbflorenz,-,-
26.04. 15:00,Grosswallstadt,Bietigheim-Metterzimmern,-,-
27.04. 17:30,Dormagen,Potsdam,-,-
01.05. 17:00,Lubeck-Schwartau,Essen,-,-
