date,home,away,home_score,away_score
14.03. 17:00,Kozarmisleny W,Kisvardai KC W,21,35
14.03. 17:00,Vaci W,Gyor W,29,43
14.03. 17:00,Vasas W,Szombathelyi W,36,33
14.03. 16:00,Budaors W,Ferencvaros W,30,38
14.03. 16:00,Dunaujvarosi W,DVSC Schaeffler W,17,40
14.03. 15:30,Alba Fehervar W,Mosonmagyarovar W,27,19
14.03. 15:00,Esztergomi W,NEKA W,35,24
28.02. 17:00,Kisvardai KC W,Gyor W,23,37
28.02. 17:00,Szombathelyi W,Alba Fehervar W,31,29
28.02. 17:00,Vaci W,Ferencvaros W,28,32
28.02. 16:00,Dunaujvarosi W,Budaors W,23,42
28.02. 15:00,NEKA W,Vasas W,28,31
28.02. 14:00,DVSC Schaeffler W,Esztergomi W,36,25
27.02. 17:00,Mosonmagyarovar W,Kozarmisleny W,36,31
25.02. 17:00,Gyor W,Vasas W,34,24
21.02. 17:00,Kozarmisleny W,Szombathelyi W,23,28
21.02. 17:00,Vaci W,Budaors W,29,25
21.02. 15:30,Alba Fehervar W,NEKA W,28,29
18.02. 17:00,Esztergomi W,Dunaujvarosi W,53,15
18.02. 17:00,Ferencvaros W,Kisvardai KC W,37,20
18.02. 17:00,Gyor W,Mosonmagyarovar W,41,20
18.02. 17:00,Vasas W,DVSC Schaeffler W,22,33
07.02. 17:00,Kisvardai KC W,Vaci W,23,26
07.02. 15:00,NEKA W,Kozarmisleny W,27,23
06.02. 17:00,Dunaujvarosi W,Vasas W,18,37
04.02. 17:00,DVSC Schaeffler W,Alba Fehervar W,33,22
04.02. 17:00,Esztergomi W,Budaors W,32,19
04.02. 17:00,Mosonmagyarovar W,Ferencvaros W,24,35
04.02. 17:00,Szombathelyi W,Gyor W,14,39
01.02. 14:00,Szombathelyi W,Ferencvaros W,22,39
31.01. 17:00,DVSC Schaeffler W,Kozarmisleny W,33,15
31.01. 16:00,Budaors W,Kisvardai KC W,26,20
31.01. 15:00,Esztergomi W,Vasas W,26,24
30.01. 17:00,Dunaujvarosi W,Alba Fehervar W,23,39
30.01. 17:00,Mosonmagyarovar W,Vaci W,20,25
30.01. 16:00,NEKA W,Gyor W,27,44
24.01. 17:00,Kozarmisleny W,Dunaujvarosi W,31,19
24.01. 17:00,Vaci W,Szombathelyi W,35,29
24.01. 17:00,Vasas W,Budaors W,28,28
21.01. 17:00,Alba Fehervar W,Esztergomi W,25,25
21.01. 17:00,Ferencvaros W,NEKA W,34,26
21.01. 17:00,Kisvardai KC W,Mosonmagyarovar W,30,24
20.01. 17:00,Gyor W,DVSC Schaeffler W,39,22
17.01. 17:00,Szombathelyi W,Kisvardai KC W,34,28
17.01. 17:00,Vasas W,Alba Fehervar W,22,23
17.01. 16:00,NEKA W,Vaci W,18,32
14.01. 17:00,Budaors W,Mosonmagyarovar W,23,30
14.01. 17:00,DVSC Schaeffler W,Ferencvaros W,29,35
14.01. 16:00,Dunaujvarosi W,Gyor W,22,51
13.01. 17:00,Esztergomi W,Kozarmisleny W,44,15
10.01. 17:00,Kisvardai KC W,NEKA W,25,24
10.01. 17:00,Kozarmisleny W,Vasas W,18,32
10.01. 15:30,Alba Fehervar W,Budaors W,30,24
07.01. 17:00,Mosonmagyarovar W,Szombathelyi W,31,29
06.01. 17:00,Gyor W,Esztergomi W,30,20
05.01. 17:00,DVSC Schaeffler W,Vaci W,35,24
04.01. 15:00,Ferencvaros W,Dunaujvarosi W,33,13
30.12. 17:00,Budaors W,Szombathelyi W,34,34
30.12. 17:00,DVSC Schaeffler W,Kisvardai KC W,38,20
30.12. 16:00,Dunaujvarosi W,Vaci W,18,42
29.12. 17:00,Alba Fehervar W,Kozarmisleny W,29,17
29.12. 17:00,Vasas W,Gyor W,16,32
19.12. 17:00,Mosonmagyarovar W,NEKA W,34,27
16.11. 17:00,Szombathelyi W,NEKA W,30,29
15.11. 17:00,Kisvardai KC W,Dunaujvarosi W,32,27
15.11. 17:00,Kozarmisleny W,Budaors W,23,26
12.11. 18:00,Mosonmagyarovar W,DVSC Schaeffler W,22,26
12.11. 17:00,Alba Fehervar W,Gyor W,26,31
12.11. 17:00,Ferencvaros W,Vasas W,42,27
12.11. 17:00,Vaci W,Esztergomi W,31,31
02.11. 15:00,Esztergomi W,Kisvardai KC W,32,22
01.11. 17:00,Vaci W,Vasas W,31,29
01.11. 16:00,Dunaujvarosi W,Mosonmagyarovar W,18,18
31.10. 17:00,Budaors W,NEKA W,34,23
29.10. 17:00,Alba Fehervar W,Ferencvaros W,26,31
29.10. 17:00,DVSC Schaeffler W,Szombathelyi W,42,22
28.10. 17:00,Gyor W,Kozarmisleny W,43,26
25.10. 16:00,Kisvardai KC W,Vasas W,30,27
