date,home,away
25.03. 17:00,Tatabanya,Komloi
27.03. 17:00,Ferencvaros,Csurgoi
27.03. 17:00,PLER,Budakalasz
27.03. 17:00,Szigetszentmiklosi,Veszprem
27.03. 17:30,Gyongyosi,Gyor
28.03. 15:00,Budai Farkasok,NEKA
28.03. 17:00,Szeged,Balatonfuredi
01.04. 16:00,Tatabanya,NEKA
03.04. 16:00,PLER,Csurgoi
03.04. 16:00,Szigetszentmiklosi,Gyor
03.04. 16:30,Budai Farkasok,Ferencvaros
04.04. 16:00,Balatonfuredi,Veszprem
04.04. 16:00,Gyongyosi,Budakalasz
04.04. 16:00,Szeged,Komloi
10.04. 16:00,Gyor,Tatabanya
11.04. 15:00,Budakalasz,Budai Farkasok
11.04. 15:00,Csurgoi,Balatonfuredi
11.04. 16:00,Ferencvaros,PLER
11.04. 16:00,Komloi,Szigetszentmiklosi
11.04. 16:00,NEKA,Gyongyosi
13.04. 15:45,Veszprem,Szeged
24.04. 16:00,Gyor,Szeged
24.04. 16:00,PLER,Budai Farkasok
24.04. 16:00,Veszprem,Csurgoi
25.04. 15:00,Budakalasz,Tatabanya
25.04. 16:00,Gyongyosi,Ferencvaros
25.04. 16:00,Komloi,Balatonfuredi
25.04. 17:00,NEKA,Szigetszentmiklosi
30.04. 16:30,Budai Farkasok,Csurgoi
01.05. 16:00,Szigetszentmiklosi,Budakalasz
02.05. 16:00,Balatonfuredi,Gyor
02.05. 16:00,Gyongyosi,PLER
02.05. 16:00,Szeged,NEKA
02.05. 16:00,Tatabanya,Ferencvaros
03.05. 16:00,Veszprem,Komloi
10.05. 16:00,Budakalasz,Szeged
10.05. 16:00,Csurgoi,Komloi
10.05. 16:00,Ferencvaros,Szigetszentmiklosi
10.05. 16:00,Gyongyosi,Budai Farkasok
10.05. 16:00,Gyor,Veszprem
10.05. 16:00,NEKA,Balatonfuredi
10.05. 16:00,PLER,Tatabanya
23.05. 16:00,Balatonfuredi,Budakalasz
23.05. 16:00,Gyongyosi,Csurgoi
23.05. 16:00,Komloi,Gyor
23.05. 16:00,NEKA,Veszprem
23.05. 16:00,Szeged,Ferencvaros
23.05. 16:00,Szigetszentmiklosi,PLER
23.05. 16:00,Tatabanya,Budai Farkasok
