date,home,away,home_score,away_score
01.03. 17:15,Tertnes W,Fana W,24,23
01.03. 17:00,Gjerpen W,Romerike Ravens W,32,24
01.03. 17:00,Haslum W,Fjellhammer W,31,41
01.03. 17:00,Sola W,Follo W,45,27
01.03. 15:15,Larvik W,Molde W,27,28
01.03. 15:00,Storhamar W,Fredrikstad W,33,26
28.02. 15:00,Byasen W,Oppsal W,36,28
26.02. 17:15,Fana W,Storhamar W,26,35
25.02. 18:00,Follo W,Larvik W,26,31
25.02. 17:00,Oppsal W,Tertnes W,38,37
25.02. 17:00,Romerike Ravens W,Sola W,21,45
23.02. 18:00,Molde W,Haslum W,40,22
22.02. 15:00,Fredrikstad W,Gjerpen W,29,26
22.02. 14:00,Fjellhammer W,Byasen W,28,29
18.02. 17:30,Tertnes W,Fjellhammer W,35,27
18.02. 17:00,Byasen W,Molde W,28,36
18.02. 17:00,Haslum W,Larvik W,22,20
18.02. 17:00,Sola W,Fredrikstad W,36,29
18.02. 17:00,Storhamar W,Oppsal W,33,26
15.02. 17:00,Gjerpen W,Fana W,26,23
15.02. 16:00,Romerike Ravens W,Follo W,25,34
11.02. 18:00,Fjellhammer W,Storhamar W,22,31
11.02. 18:00,Follo W,Haslum W,34,26
11.02. 17:00,Fana W,Sola W,27,35
11.02. 17:00,Larvik W,Byasen W,32,29
08.02. 17:00,Oppsal W,Gjerpen W,34,30
08.02. 15:00,Fredrikstad W,Romerike Ravens W,40,28
04.02. 17:15,Storhamar W,Molde W,31,27
04.02. 17:00,Byasen W,Haslum W,37,23
04.02. 17:00,Fredrikstad W,Follo W,27,27
04.02. 17:00,Gjerpen W,Fjellhammer W,33,18
04.02. 17:00,Romerike Ravens W,Fana W,22,34
04.02. 17:00,Sola W,Oppsal W,29,28
03.02. 17:15,Tertnes W,Larvik W,31,29
01.02. 14:00,Oppsal W,Romerike Ravens W,32,22
31.01. 17:15,Larvik W,Storhamar W,25,31
31.01. 17:00,Byasen W,Follo W,40,25
31.01. 17:00,Molde W,Gjerpen W,36,36
31.01. 16:00,Fana W,Fredrikstad W,25,19
31.01. 16:00,Haslum W,Tertnes W,22,41
31.01. 12:30,Fjellhammer W,Sola W,28,34
28.01. 17:30,Tertnes W,Byasen W,28,23
28.01. 17:00,Gjerpen W,Larvik W,30,34
28.01. 17:00,Sola W,Molde W,30,26
28.01. 17:00,Storhamar W,Haslum W,38,21
25.01. 17:00,Follo W,Fana W,30,32
25.01. 17:00,Romerike Ravens W,Fjellhammer W,25,33
24.01. 15:00,Fredrikstad W,Oppsal W,37,26
21.01. 17:15,Sola W,Larvik W,33,29
21.01. 17:00,Follo W,Tertnes W,23,32
21.01. 17:00,Fredrikstad W,Fjellhammer W,27,26
21.01. 17:00,Storhamar W,Byasen W,29,19
21.01. 16:30,Fana W,Oppsal W,33,27
18.01. 17:00,Gjerpen W,Haslum W,26,28
18.01. 16:00,Romerike Ravens W,Molde W,22,39
14.01. 19:00,Haslum W,Sola W,22,40
14.01. 17:15,Tertnes W,Storhamar W,27,38
14.01. 17:00,Fjellhammer W,Fana W,22,33
14.01. 17:00,Larvik W,Romerike Ravens W,38,25
14.01. 17:00,Molde W,Fredrikstad W,32,27
14.01. 17:00,Oppsal W,Follo W,25,28
14.01. 16:45,Byasen W,Gjerpen W,25,26
11.01. 17:00,Oppsal W,Fjellhammer W,27,35
07.01. 17:30,Romerike Ravens W,Haslum W,27,26
07.01. 17:15,Sola W,Byasen W,38,33
07.01. 17:00,Fana W,Molde W,25,28
07.01. 17:00,Follo W,Storhamar W,27,31
07.01. 17:00,Fredrikstad W,Larvik W,31,33
07.01. 17:00,Gjerpen W,Tertnes W,24,26
04.01. 17:15,Tertnes W,Sola W,25,30
04.01. 17:00,Larvik W,Fana W,34,32
04.01. 15:00,Molde W,Oppsal W,33,23
04.01. 15:00,Storhamar W,Gjerpen W,27,22
21.12. 14:30,Molde W,Sola W,30,27
20.12. 13:30,Storhamar W,Fjellhammer W,25,22
17.12. 17:00,Sola W,Fana W,34,27
17.12. 17:00,Tertnes W,Molde W,27,27
16.11. 17:00,Byasen W,Romerike Ravens W,32,26
16.11. 17:00,Fjellhammer W,Follo W,22,28
16.11. 17:00,Haslum W,Fredrikstad W,25,31
12.11. 17:30,Tertnes W,Oppsal W,30,28
12.11. 17:00,Gjerpen W,Fredrikstad W,29,23
12.11. 17:00,Larvik W,Follo W,33,26
12.11. 17:00,Sola W,Romerike Ravens W,34,28
12.11. 17:00,Storhamar W,Fana W,30,18
12.11. 16:30,Haslum W,Molde W,24,39
09.11. 17:00,Byasen W,Fjellhammer W,33,21
02.11. 18:15,Fana W,Tertnes W,22,22
02.11. 17:00,Fjellhammer W,Haslum W,34,25
02.11. 17:00,Oppsal W,Byasen W,29,27
02.11. 16:00,Romerike Ravens W,Gjerpen W,21,27
29.10. 17:15,Molde W,Larvik W,26,29
29.10. 17:00,Follo W,Sola W,23,26
29.10. 17:00,Fredrikstad W,Storhamar W,19,34
29.10. 17:00,Romerike Ravens W,Tertnes W,32,39
26.10. 17:00,Byasen W,Fana W,26,29
26.10. 17:00,Haslum W,Oppsal W,24,34
25.10. 14:00,Molde W,Follo W,28,27
24.10. 16:00,Larvik W,Fjellhammer W,28,28
22.10. 16:30,Tertnes W,Fredrikstad W,30,31
22.10. 16:00,Storhamar W,Romerike Ravens W,32,17
21.10. 16:00,Gjerpen W,Sola W,24,29
12.10. 16:15,Sola W,Storhamar W,32,29
12.10. 16:00,Follo W,Gjerpen W,20,21
12.10. 16:00,Oppsal W,Larvik W,20,30
12.10. 15:00,Fana W,Haslum W,32,23
12.10. 15:00,Fjellhammer W,Molde W,33,38
12.10. 14:00,Fredrikstad W,Byasen W,30,34
