date,home,away
15.03. 14:00,Molde W,Tertnes W
15.03. 17:00,Gjerpen W,Follo W
18.03. 17:00,Byasen W,Fredrikstad W
18.03. 17:00,Haslum W,Fana W
18.03. 17:00,Larvik W,Oppsal W
18.03. 17:00,Molde W,Fjellhammer W
18.03. 17:00,Tertnes W,Romerike Ravens W
18.03. 17:15,Storhamar W,Sola W
22.03. 13:00,Fredrikstad W,Haslum W
22.03. 16:00,Romerike Ravens W,Byasen W
22.03. 17:00,Follo W,Fjellhammer W
22.03. 17:00,Oppsal W,Molde W
22.03. 18:15,Sola W,Tertnes W
25.03. 17:00,Gjerpen W,Storhamar W
25.03. 17:15,Fana W,Larvik W
26.03. 17:00,Byasen W,Sola W
28.03. 15:00,Tertnes W,Gjerpen W
28.03. 19:00,Larvik W,Fredrikstad W
29.03. 14:00,Storhamar W,Follo W
29.03. 15:00,Molde W,Fana W
29.03. 16:00,Fjellhammer W,Oppsal W
29.03. 16:00,Haslum W,Romerike Ravens W
15.04. 16:30,Tertnes W,Follo W
16.04. 16:00,Byasen W,Storhamar W
16.04. 16:00,Haslum W,Gjerpen W
16.04. 16:00,Molde W,Romerike Ravens W
16.04. 16:00,Oppsal W,Fana W
16.04. 16:15,Larvik W,Sola W
16.04. 17:00,Fjellhammer W,Fredrikstad W
22.04. 16:00,Fana W,Fjellhammer W
22.04. 16:00,Follo W,Oppsal W
22.04. 16:00,Fredrikstad W,Molde W
22.04. 16:00,Gjerpen W,Byasen W
22.04. 16:00,Romerike Ravens W,Larvik W
22.04. 16:00,Sola W,Haslum W
22.04. 16:00,Storhamar W,Tertnes W
