date,home,away,home_score,away_score
04.03. 17:00,Charlottenlund,Tiller,40,21
01.03. 15:00,Bjornar,Tiller,30,26
01.03. 15:00,Ryger Stavanger,Grenland,27,28
01.03. 14:00,Lillestrom,Bergsoy,29,34
01.03. 13:00,Asane,Charlottenlund,37,31
28.02. 15:00,Haslum HK,Kragero IF,32,26
28.02. 15:00,Nordstrand,Melhus,35,28
28.02. 15:00,Viking TIF,Bodo,29,30
22.02. 17:00,Melhus,Bjornar,46,31
22.02. 15:00,Charlottenlund,Viking TIF,25,34
22.02. 15:00,Grenland,Nordstrand,21,29
22.02. 15:00,Tiller,Lillestrom,19,33
21.02. 15:30,Kragero IF,Ryger Stavanger,24,22
18.02. 17:00,Bergsoy,Asane,32,31
18.02. 16:00,Bodo,Haslum HK,35,26
15.02. 16:00,Ryger Stavanger,Bodo,28,24
15.02. 15:00,Asane,Tiller,33,35
15.02. 15:00,Grenland,Melhus,36,33
14.02. 16:00,Nordstrand,Kragero IF,40,26
14.02. 14:00,Haslum HK,Charlottenlund,28,27
14.02. 14:00,Lillestrom,Bjornar,29,29
14.02. 14:00,Viking TIF,Bergsoy,33,33
08.02. 16:00,Kragero IF,Grenland,36,33
08.02. 15:00,Bjornar,Asane,36,35
08.02. 15:00,Bodo,Nordstrand,28,26
08.02. 15:00,Charlottenlund,Ryger Stavanger,34,23
08.02. 15:00,Melhus,Lillestrom,33,31
08.02. 15:00,Tiller,Viking TIF,28,47
08.02. 13:30,Bergsoy,Haslum HK,33,19
01.02. 16:00,Melhus,Kragero IF,38,24
01.02. 16:00,Ryger Stavanger,Bergsoy,25,28
01.02. 15:00,Asane,Lillestrom,34,26
01.02. 15:00,Grenland,Bodo,31,41
01.02. 15:00,Viking TIF,Bjornar,36,26
31.01. 15:00,Nordstrand,Charlottenlund,37,35
31.01. 13:00,Haslum HK,Tiller,31,19
25.01. 16:30,Tiller,Ryger Stavanger,34,25
25.01. 16:00,Bodo,Kragero IF,33,24
25.01. 15:00,Bergsoy,Nordstrand,35,29
25.01. 15:00,Bjornar,Haslum HK,32,29
25.01. 15:00,Charlottenlund,Grenland,39,29
25.01. 14:00,Lillestrom,Viking TIF,27,36
21.01. 15:30,Asane,Melhus,29,33
18.01. 17:00,Ryger Stavanger,Bjornar,31,31
18.01. 16:00,Nordstrand,Tiller,30,23
18.01. 15:00,Melhus,Bodo,26,34
18.01. 14:00,Grenland,Bergsoy,29,39
18.01. 14:00,Kragero IF,Charlottenlund,24,34
16.01. 16:30,Viking TIF,Asane,33,26
13.01. 17:30,Haslum HK,Lillestrom,31,31
04.01. 14:00,Kragero IF,Tiller,28,30
21.12. 15:00,Melhus,Viking TIF,35,36
20.12. 16:00,Kragero IF,Bergsoy,32,36
20.12. 16:00,Nordstrand,Bjornar,43,31
20.12. 15:00,Ryger Stavanger,Lillestrom,30,30
20.12. 13:00,Grenland,Tiller,25,29
20.12. 13:00,Haslum HK,Asane,32,22
17.12. 16:00,Bodo,Charlottenlund,32,24
13.12. 16:00,Asane,Ryger Stavanger,31,24
13.12. 15:00,Bergsoy,Bodo,25,30
13.12. 15:00,Bjornar,Grenland,27,33
13.12. 15:00,Tiller,Kragero IF,30,26
13.12. 15:00,Viking TIF,Haslum HK,38,23
13.12. 14:00,Charlottenlund,Melhus,30,26
13.12. 14:00,Lillestrom,Nordstrand,24,27
07.12. 17:00,Ryger Stavanger,Viking TIF,35,32
07.12. 16:00,Kragero IF,Bjornar,28,26
07.12. 15:00,Melhus,Haslum HK,29,27
06.12. 16:00,Nordstrand,Asane,24,39
06.12. 15:00,Charlottenlund,Bergsoy,24,25
06.12. 14:00,Grenland,Lillestrom,29,34
03.12. 15:50,Bodo,Tiller,33,20
30.11. 15:00,Bergsoy,Grenland,33,31
23.11. 15:00,Asane,Grenland,32,29
23.11. 15:00,Bjornar,Bodo,30,29
23.11. 15:00,Tiller,Charlottenlund,29,26
22.11. 15:00,Viking TIF,Nordstrand,35,25
22.11. 14:00,Lillestrom,Kragero IF,26,29
22.11. 13:00,Bergsoy,Melhus,25,28
20.11. 16:30,Haslum HK,Ryger Stavanger,24,23
16.11. 17:15,Melhus,Ryger Stavanger,31,25
16.11. 16:00,Bodo,Lillestrom,28,28
16.11. 15:30,Kragero IF,Asane,24,29
16.11. 15:00,Charlottenlund,Bjornar,30,20
16.11. 15:00,Grenland,Viking TIF,27,39
15.11. 16:00,Nordstrand,Haslum HK,28,28
15.11. 13:00,Bergsoy,Tiller,30,26
09.11. 17:00,Haslum HK,Grenland,27,23
09.11. 16:00,Ryger Stavanger,Nordstrand,21,26
09.11. 15:00,Asane,Bodo,30,33
09.11. 15:00,Tiller,Melhus,24,31
08.11. 14:00,Lillestrom,Charlottenlund,23,29
08.11. 13:00,Bjornar,Bergsoy,26,27
08.11. 13:00,Viking TIF,Kragero IF,41,23
05.11. 15:30,Tiller,Haslum HK,34,30
26.10. 16:00,Kragero IF,Haslum HK,33,32
26.10. 15:00,Bergsoy,Lillestrom,32,24
26.10. 15:00,Charlottenlund,Asane,31,26
26.10. 15:00,Melhus,Nordstrand,25,23
26.10. 15:00,Tiller,Bjornar,33,30
25.10. 13:30,Bodo,Viking TIF,24,27
25.10. 13:00,Grenland,Ryger Stavanger,32,19
19.10. 15:30,Viking TIF,Charlottenlund,37,30
19.10. 14:00,Bjornar,Melhus,32,37
19.10. 14:00,Haslum HK,Bodo,25,29
19.10. 14:00,Ryger Stavanger,Kragero IF,31,31
19.10. 13:00,Nordstrand,Grenland,29,23
