date,home,away,home_score,away_score
21.03. 17:00,Start Elblag W,Sosnica Gliwice W,32,29
21.03. 17:00,Gniezno W,MKS Lublin W,26,28
19.03. 17:00,Koszalin W,Kobierzyce W,24,34
18.03. 19:30,Zaglebie W,Piotrcovia W,20,27
16.03. 17:00,Sosnica Gliwice W,Ruch Kalisz W,41,29
15.03. 17:00,Zaglebie W,Koszalin W,35,25
15.03. 15:00,MKS Lublin W,Kobierzyce W,28,25
14.03. 17:00,Start Elblag W,Galychanka Lviv W,27,31
11.03. 19:30Pen,Piotrcovia W,Gniezno W,29,28
01.03. 15:00Pen,Kobierzyce W,Zaglebie W,34,35
01.03. 15:00,Koszalin W,Gniezno W,27,26
28.02. 17:00,Ruch Kalisz W,Start Elblag W,38,37
27.02. 17:00,Galychanka Lviv W,Sosnica Gliwice W,25,23
25.02. 19:30,MKS Lublin W,Piotrcovia W,29,28
25.02. 17:00,Gniezno W,Zaglebie W,13,24
23.02. 17:00,Piotrcovia W,Kobierzyce W,28,27
22.02. 15:00,Galychanka Lviv W,Ruch Kalisz W,38,33
22.02. 15:00,Sosnica Gliwice W,Start Elblag W,28,31
17.02. 19:30,Koszalin W,MKS Lublin W,19,33
13.02. 17:00,Koszalin W,Piotrcovia W,25,24
07.02. 17:00,Piotrcovia W,Sosnica Gliwice W,33,24
07.02. 15:00,Kobierzyce W,Galychanka Lviv W,31,32
07.02. 15:00,MKS Lublin W,Start Elblag W,37,23
04.02. 19:30,Gniezno W,Koszalin W,26,31
04.02. 17:00,Zaglebie W,Ruch Kalisz W,39,25
01.02. 15:00,Start Elblag W,Zaglebie W,33,39
31.01. 17:00,Ruch Kalisz W,Gniezno W,24,32
31.01. 15:00,Sosnica Gliwice W,Galychanka Lviv W,26,21
28.01. 19:30,Kobierzyce W,MKS Lublin W,24,32
27.01. 19:00,Gniezno W,Start Elblag W,30,21
24.01. 17:00Pen,Piotrcovia W,Ruch Kalisz W,35,37
24.01. 15:00,Galychanka Lviv W,MKS Lublin W,20,36
24.01. 15:00,Sosnica Gliwice W,Koszalin W,35,31
21.01. 19:30,Kobierzyce W,Zaglebie W,23,31
21.01. 17:00,Ruch Kalisz W,MKS Lublin W,27,32
19.01. 17:00,Ruch Kalisz W,Sosnica Gliwice W,28,34
18.01. 17:00,Start Elblag W,Piotrcovia W,31,32
17.01. 15:00,Koszalin W,Galychanka Lviv W,28,26
14.01. 19:30,MKS Lublin W,Zaglebie W,34,28
14.01. 17:00,Kobierzyce W,Gniezno W,26,24
10.01. 17:00,Piotrcovia W,Kobierzyce W,28,29
10.01. 15:00,Koszalin W,Ruch Kalisz W,25,32
10.01. 15:00,Sosnica Gliwice W,Start Elblag W,30,27
07.01. 19:30,Gniezno W,MKS Lublin W,25,29
07.01. 17:00,Zaglebie W,Galychanka Lviv W,34,22
04.01. 17:00,Start Elblag W,Koszalin W,22,26
04.01. 17:00,Zaglebie W,Gniezno W,45,37
04.01. 11:30,MKS Lublin W,Piotrcovia W,29,26
03.01. 17:00,Ruch Kalisz W,Galychanka Lviv W,29,33
03.01. 15:00,Kobierzyce W,Sosnica Gliwice W,34,21
28.12. 15:00,Galychanka Lviv W,Gniezno W,37,35
28.12. 15:00,Koszalin W,Kobierzyce W,33,32
28.12. 15:00,Piotrcovia W,Zaglebie W,27,28
28.12. 11:30,Sosnica Gliwice W,MKS Lublin W,22,33
27.12. 17:00,Ruch Kalisz W,Start Elblag W,34,37
21.12. 17:00,Start Elblag W,Galychanka Lviv W,34,33
21.12. 15:00,Kobierzyce W,Ruch Kalisz W,34,21
21.12. 15:00,MKS Lublin W,Koszalin W,31,26
20.12. 14:00,Gniezno W,Piotrcovia W,35,28
19.12. 16:00,Zaglebie W,Sosnica Gliwice W,39,25
17.12. 17:00,Kobierzyce W,Piotrcovia W,25,27
17.12. 17:00,Start Elblag W,MKS Lublin W,29,35
13.12. 17:00,Ruch Kalisz W,Kobierzyce W,30,33
16.11. 15:00,Galychanka Lviv W,Piotrcovia W,22,32
15.11. 15:00,Sosnica Gliwice W,Gniezno W,13,21
12.11. 19:30,Start Elblag W,Kobierzyce W,29,36
12.11. 17:00,Koszalin W,Zaglebie W,31,36
08.11. 15:00,Sosnica Gliwice W,Piotrcovia W,29,34
05.11. 19:30,Koszalin W,Gniezno W,32,27
05.11. 17:00,Galychanka Lviv W,Kobierzyce W,29,21
04.11. 17:00,Ruch Kalisz W,Zaglebie W,28,45
02.11. 15:00,Galychanka Lviv W,Sosnica Gliwice W,32,30
31.10. 19:00,Gniezno W,Ruch Kalisz W,42,18
31.10. 17:00,Piotrcovia W,Koszalin W,32,21
31.10. 17:00,Zaglebie W,Start Elblag W,40,17
30.10. 19:30,MKS Lublin W,Kobierzyce W,34,29
26.10. 17:00,Start Elblag W,Gniezno W,23,32
25.10. 14:00,Koszalin W,Sosnica Gliwice W,28,27
25.10. 14:00,Ruch Kalisz W,Piotrcovia W,27,29
24.10. 16:00,MKS Lublin W,Galychanka Lviv W,28,22
22.10. 18:30,Zaglebie W,Kobierzyce W,35,31
12.10. 14:00,Galychanka Lviv W,Koszalin W,24,31
11.10. 16:00,Gniezno W,Kobierzyce W,28,20
11.10. 14:00,Sosnica Gliwice W,Ruch Kalisz W,34,29
10.10. 16:00,Piotrcovia W,Start Elblag W,32,28
08.10. 18:30,Zaglebie W,MKS Lublin W,33,29
05.10. 16:00Pen,Start Elblag W,Sosnica Gliwice W,39,37
05.10. 14:00,Ruch Kalisz W,Koszalin W,23,24
01.10. 16:00,Galychanka Lviv W,Zaglebie W,19,31
30.09. 18:30,MKS Lublin W,Gniezno W,29,27
25.09. 16:00,Piotrcovia W,MKS Lublin W,26,17
24.09. 18:30,Gniezno W,Zaglebie W,24,36
24.09. 16:00,Galychanka Lviv W,Ruch Kalisz W,31,23
24.09. 16:00,Koszalin W,Start Elblag W,30,33
24.09. 16:00,Sosnica Gliwice W,Kobierzyce W,24,31
14.09. 14:00,MKS Lublin W,Sosnica Gliwice W,35,27
