date,home,away
21.03. 17:00,Start Elblag W,Sosnica Gliwice W
21.03. 17:00,Gniezno W,MKS Lublin W
23.03. 17:00,Ruch Kalisz W,Galychanka Lviv W
25.03. 19:30,MKS Lublin W,Zaglebie W
28.03. 15:00,Sosnica Gliwice W,Galychanka Lviv W
28.03. 17:00,Gniezno W,Kobierzyce W
28.03. 17:00,Koszalin W,Piotrcovia W
31.03. 16:00,Start Elblag W,Ruch Kalisz W
15.04. 18:30,Ruch Kalisz W,Sosnica Gliwice W
19.04. 14:00,Galychanka Lviv W,Start Elblag W
19.04. 14:00,MKS Lublin W,Koszalin W
19.04. 16:00,Kobierzyce W,Piotrcovia W
19.04. 16:00,Zaglebie W,Gniezno W
22.04. 18:30,Gniezno W,Piotrcovia W
26.04. 14:00,Kobierzyce W,MKS Lublin W
26.04. 14:00,Koszalin W,Zaglebie W
02.05. 16:00,Gniezno W,Koszalin W
03.05. 16:00,Piotrcovia W,MKS Lublin W
03.05. 16:00,Zaglebie W,Kobierzyce W
16.05. 16:00,Kobierzyce W,Koszalin W
16.05. 16:00,MKS Lublin W,Gniezno W
17.05. 16:00,Piotrcovia W,Zaglebie W
23.05. 16:00,Kobierzyce W,Gniezno W
23.05. 16:00,Piotrcovia W,Koszalin W
24.05. 16:00,Zaglebie W,MKS Lublin W
