date,home,away,home_score,away_score
07.03. 13:00FRO,Pogon Szczecin W,Kielce W,-,-
07.03. 14:00FRO,Legnica W,Pietrowice Wielkie W,-,-
11.03. 18:20FRO,Handball Warszawa W,SMS ZPRP Plock W,-,-
14.03. 14:00FRO,Pogon Szczecin W,AZS Poznan W,-,-
14.03. 19:00FRO,SMS ZPRP Plock W,Sambor Tczew W,-,-
15.03. 16:00FRO,Radom W,Olkusz W,-,-
18.03. 17:00FRO,Radom W,SMS ZPRP Plock W,-,-
22.03. 17:00FRO,Pietrowice Wielkie W,Handball Warszawa W,-,-
22.03. 17:00FRO,Radom W,Legnica W,-,-
22.03. 17:00FRO,Sambor Tczew W,AZS Poznan W,-,-
22.03. 17:00FRO,SMS ZPRP Plock W,Olkusz W,-,-
22.03. 17:00FRO,Zory W,Kielce W,-,-
29.03. 16:00FRO,AZS Poznan W,SMS ZPRP Plock W,-,-
29.03. 16:00FRO,Kielce W,Radom W,-,-
29.03. 16:00FRO,Olkusz W,Handball Warszawa W,-,-
29.03. 16:00FRO,Pogon Szczecin W,Sambor Tczew W,-,-
29.03. 16:00FRO,Zory W,Pietrowice Wielkie W,-,-
19.04. 16:00FRO,Handball Warszawa W,AZS Poznan W,-,-
19.04. 16:00FRO,Pietrowice Wielkie W,Olkusz W,-,-
19.04. 16:00FRO,Radom W,Zory W,-,-
19.04. 16:00FRO,Sambor Tczew W,Legnica W,-,-
19.04. 16:00FRO,SMS ZPRP Plock W,Pogon Szczecin W,-,-
26.04. 16:00FRO,AZS Poznan W,Olkusz W,-,-
26.04. 16:00FRO,Legnica W,SMS ZPRP Plock W,-,-
26.04. 16:00FRO,Pogon Szczecin W,Handball Warszawa W,-,-
26.04. 16:00FRO,Radom W,Pietrowice Wielkie W,-,-
26.04. 16:00FRO,Sambor Tczew W,Kielce W,-,-
03.05. 16:00FRO,Handball Warszawa W,Legnica W,-,-
03.05. 16:00FRO,Olkusz W,Pogon Szczecin W,-,-
03.05. 16:00FRO,Pietrowice Wielkie W,AZS Poznan W,-,-
03.05. 16:00FRO,Sambor Tczew W,Zory W,-,-
03.05. 16:00FRO,SMS ZPRP Plock W,Kielce W,-,-
