date,home,away,home_score,away_score
14.03. 17:00,Benfica W,CJ Almeida Garrett W,31,25
14.03. 15:00,ABC Braga W,Sao Pedro Sul W,27,22
14.03. 11:00,Gil Eanes W,Madeira SAD W,19,25
28.02. 17:15,Juvelis W,CS Madeira W,21,22
22.02. 11:00,Benfica W,Juvelis W,34,14
14.02. 18:00,ABC Braga W,Madeira SAD W,19,22
14.02. 18:00,CALE W,Gil Eanes W,19,32
14.02. 18:00,CJ Almeida Garrett W,Benfica W,18,32
14.02. 18:00,Colegio de Gaia W,Sao Pedro Sul W,23,33
12.02. 21:30,CALE W,Colegio de Gaia W,23,23
07.02. 18:30,ABC Braga W,CS Madeira W,32,28
07.02. 18:00,Sao Pedro Sul W,Benfica W,29,24
07.02. 17:00,Juvelis W,Madeira SAD W,14,22
07.02. 15:00,CJ Almeida Garrett W,Gil Eanes W,22,20
01.02. 15:00,Madeira SAD W,CALE W,38,21
01.02. 12:00,CS Madeira W,Sao Pedro Sul W,22,33
31.01. 18:00,CS Madeira W,CALE W,22,24
31.01. 17:30,Madeira SAD W,Sao Pedro Sul W,30,23
31.01. 17:00,ABC Braga W,CJ Almeida Garrett W,27,24
31.01. 16:00,Gil Eanes W,Colegio de Gaia W,27,24
24.01. 18:00,Gil Eanes W,Benfica W,23,32
24.01. 17:15,Juvelis W,ABC Braga W,25,30
24.01. 17:00,CJ Almeida Garrett W,Colegio de Gaia W,31,23
17.01. 18:00,CALE W,Juvelis W,30,21
17.01. 18:00,Sao Pedro Sul W,CJ Almeida Garrett W,28,25
17.01. 17:00,Colegio de Gaia W,Benfica W,18,35
17.01. 15:00,ABC Braga W,Gil Eanes W,23,20
11.01. 15:00,Madeira SAD W,Gil Eanes W,23,24
11.01. 12:00,CS Madeira W,CJ Almeida Garrett W,17,25
10.01. 18:00,Sao Pedro Sul W,CALE W,25,17
10.01. 17:30,CS Madeira W,Gil Eanes W,26,26
10.01. 17:00,Benfica W,ABC Braga W,34,23
10.01. 17:00,Colegio de Gaia W,Juvelis W,21,15
10.01. 15:00,Madeira SAD W,CJ Almeida Garrett W,31,31
20.12. 13:00,Benfica W,Madeira SAD W,31,20
16.12. 21:30,CJ Almeida Garrett W,CALE W,27,14
13.12. 18:00,CALE W,Benfica W,18,38
13.12. 18:00,CS Madeira W,Madeira SAD W,20,32
13.12. 17:15,Juvelis W,Sao Pedro Sul W,22,27
13.12. 17:00,ABC Braga W,Colegio de Gaia W,31,25
07.12. 16:30,Benfica W,CS Madeira W,32,9
06.12. 18:30,Sao Pedro Sul W,ABC Braga W,34,28
06.12. 18:00,Gil Eanes W,Juvelis W,18,16
06.12. 16:00,Colegio de Gaia W,Madeira SAD W,17,38
29.11. 20:15,ABC Braga W,CALE W,34,32
29.11. 18:00,Gil Eanes W,Sao Pedro Sul W,18,25
29.11. 17:15,Juvelis W,CJ Almeida Garrett W,20,21
29.11. 16:30,Colegio de Gaia W,CS Madeira W,32,16
15.11. 21:00,Benfica W,CJ Almeida Garrett W,32,22
15.11. 18:00,Gil Eanes W,CALE W,29,25
12.11. 21:00,Sao Pedro Sul W,Colegio de Gaia W,30,18
09.11. 15:00,Madeira SAD W,ABC Braga W,29,20
09.11. 12:00,CS Madeira W,Juvelis W,24,35
08.11. 18:00,CS Madeira W,ABC Braga W,23,28
08.11. 18:00,Gil Eanes W,CJ Almeida Garrett W,20,31
08.11. 15:00,Colegio de Gaia W,CALE W,22,24
08.11. 15:00,Madeira SAD W,Juvelis W,25,12
05.11. 21:30,Benfica W,Sao Pedro Sul W,33,20
02.11. 15:00,Benfica W,Colegio de Gaia W,35,15
01.11. 18:00,CJ Almeida Garrett W,ABC Braga W,25,28
01.11. 18:00,Sao Pedro Sul W,CS Madeira W,32,16
01.11. 17:15,Juvelis W,Benfica W,26,30
01.11. 16:00,CALE W,Madeira SAD W,20,22
01.11. 15:00,Colegio de Gaia W,Gil Eanes W,21,30
