date,home,away
14.03. 11:00FRO,Gil Eanes W,Madeira SAD W
14.03. 15:00FRO,ABC Braga W,Sao Pedro Sul W
14.03. 17:00FRO,Benfica W,CJ Almeida Garrett W
21.03. 15:30FRO,Colegio de Gaia W,CS Madeira W
21.03. 17:00FRO,Sao Pedro Sul W,Madeira SAD W
21.03. 17:15FRO,Juvelis W,CALE W
21.03. 17:15FRO,ABC Braga W,Benfica W
21.03. 19:00FRO,CJ Almeida Garrett W,Gil Eanes W
28.03. 17:15FRO,Juvelis W,Colegio de Gaia W
28.03. 19:00FRO,Benfica W,Sao Pedro Sul W
28.03. 21:00FRO,Gil Eanes W,ABC Braga W
29.03. 14:00FRO,Madeira SAD W,CJ Almeida Garrett W
29.03. 15:00FRO,CALE W,CS Madeira W
18.04. 16:00FRO,Colegio de Gaia W,CALE W
18.04. 16:30FRO,CS Madeira W,Juvelis W
18.04. 17:00FRO,Sao Pedro Sul W,CJ Almeida Garrett W
18.04. 18:00FRO,ABC Braga W,Madeira SAD W
18.04. 18:00FRO,Benfica W,Gil Eanes W
25.04. 14:00FRO,Madeira SAD W,Benfica W
25.04. 17:00FRO,CJ Almeida Garrett W,ABC Braga W
25.04. 17:00FRO,Gil Eanes W,Sao Pedro Sul W
09.05. 14:00FRO,Madeira SAD W,Gil Eanes W
09.05. 16:30FRO,CS Madeira W,Colegio de Gaia W
09.05. 17:00FRO,Sao Pedro Sul W,ABC Braga W
09.05. 18:30FRO,CALE W,Juvelis W
09.05. 20:00FRO,CJ Almeida Garrett W,Benfica W
16.05. 14:00FRO,Benfica W,ABC Braga W
16.05. 14:00FRO,Madeira SAD W,Sao Pedro Sul W
16.05. 16:30FRO,CS Madeira W,CALE W
16.05. 17:00FRO,Colegio de Gaia W,Juvelis W
16.05. 17:00FRO,Gil Eanes W,CJ Almeida Garrett W
23.05. 14:00FRO,CJ Almeida Garrett W,Madeira SAD W
23.05. 16:00FRO,CALE W,Colegio de Gaia W
23.05. 16:00FRO,Juvelis W,CS Madeira W
23.05. 17:00FRO,Sao Pedro Sul W,Benfica W
23.05. 20:00FRO,ABC Braga W,Gil Eanes W
28.05. 18:30FRO,Madeira SAD W,ABC Braga W
30.05. 15:00FRO,CJ Almeida Garrett W,Sao Pedro Sul W
30.05. 17:00FRO,Gil Eanes W,Benfica W
04.06. 16:00FRO,ABC Braga W,CJ Almeida Garrett W
04.06. 16:00FRO,Benfica W,Madeira SAD W
04.06. 16:00FRO,Sao Pedro Sul W,Gil Eanes W
