date,home,away,home_score,away_score
08.03. 15:00,Gaia,Sporting,29,41
07.03. 21:30,Vitoria SC,Gaia,28,29
07.03. 20:30,Benfica,Porto,29,29
07.03. 18:00,Aguas Santas,Sporting,30,36
07.03. 18:00,Arsenal,ABC Braga,28,42
07.03. 18:00,Avanca,Povoa,23,27
07.03. 17:00,Maritimo,Belenenses,28,24
01.03. 15:00,Sporting,Vitoria SC,40,27
28.02. 18:00,Povoa,Arsenal,31,26
28.02. 15:00,ABC Braga,Benfica,30,35
28.02. 15:00,Belenenses,Aguas Santas,21,33
28.02. 15:00,Gaia,Avanca,28,28
28.02. 15:00Awrd,Porto,Maritimo,15,0
25.02. 20:30,Vitoria SC,Maritimo,26,28
22.02. 18:00,Avanca,Sporting,30,40
21.02. 20:00,Arsenal,Benfica,23,43
21.02. 18:30,Aguas Santas,Porto,22,28
21.02. 18:30,Vitoria SC,Belenenses,28,22
21.02. 18:00,Povoa,Gaia,30,24
20.02. 20:00,Maritimo,ABC Braga,30,27
14.02. 21:00,Sporting,Povoa,42,21
14.02. 18:00,Gaia,Arsenal,37,21
14.02. 15:00,ABC Braga,Aguas Santas,27,30
14.02. 15:00,Belenenses,Avanca,37,27
14.02. 15:00,Benfica,Maritimo,40,30
13.02. 20:30,Porto,Vitoria SC,29,19
11.02. 21:00,Povoa,Belenenses,24,24
11.02. 21:00,Vitoria SC,ABC Braga,24,25
11.02. 20:00,Aguas Santas,Benfica,28,26
04.02. 17:00,Arsenal,Maritimo,23,32
31.01. 18:00,Avanca,Aguas Santas,27,29
19.12. 20:00,Benfica,Sporting,29,37
17.12. 21:00,ABC Braga,Avanca,34,29
17.12. 20:00,Belenenses,Gaia,23,19
17.12. 20:00,Porto,Povoa,39,30
17.12. 17:45,Maritimo,Aguas Santas,28,27
16.12. 20:00,Benfica,Vitoria SC,33,22
16.12. 19:30,Sporting,Arsenal,43,22
13.12. 19:00,Sporting,Belenenses,43,23
13.12. 18:00,Arsenal,Aguas Santas,23,27
13.12. 18:00,Avanca,Benfica,25,34
13.12. 18:00,Gaia,Porto,27,45
13.12. 15:00,Povoa,ABC Braga,34,36
10.12. 21:00,ABC Braga,Gaia,28,28
10.12. 20:00,Aguas Santas,Vitoria SC,32,26
10.12. 20:00,Belenenses,Arsenal,46,23
10.12. 20:00,Porto,Sporting,32,36
10.12. 17:00,Maritimo,Avanca,30,24
09.12. 20:45,Benfica,Povoa,31,22
07.12. 15:00,Sporting,ABC Braga,43,28
06.12. 18:00,Arsenal,Vitoria SC,24,26
06.12. 18:00,Gaia,Benfica,30,30
06.12. 15:00,Belenenses,Porto,20,39
06.12. 15:00,Povoa,Maritimo,26,26
30.11. 18:30,Sporting,Avanca,57,28
30.11. 17:00,Maritimo,Gaia,30,24
29.11. 18:30,Aguas Santas,Povoa,21,19
29.11. 16:00,Vitoria SC,Avanca,28,26
29.11. 15:00,ABC Braga,Belenenses,32,31
27.11. 20:45,Porto,Arsenal,51,26
23.11. 15:00,Porto,ABC Braga,32,32
23.11. 15:00,Sporting,Maritimo,41,31
22.11. 21:00,Gaia,Aguas Santas,23,24
22.11. 18:00,Povoa,Vitoria SC,34,29
22.11. 15:00,Arsenal,Avanca,29,30
22.11. 15:00,Belenenses,Benfica,29,30
16.11. 18:30,Sporting,Aguas Santas,38,21
15.11. 18:00,Gaia,Vitoria SC,30,32
15.11. 18:00,Porto,Benfica,27,27
15.11. 18:00,Povoa,Avanca,28,27
15.11. 17:00,ABC Braga,Arsenal,31,19
15.11. 15:00,Belenenses,Maritimo,28,28
08.11. 18:00,Aguas Santas,Belenenses,29,26
08.11. 18:00,Arsenal,Povoa,22,25
08.11. 18:00,Avanca,Gaia,29,27
08.11. 16:00,Vitoria SC,Sporting,25,40
07.11. 21:00,Benfica,ABC Braga,34,31
07.11. 19:00,Maritimo,Porto,28,34
25.10. 17:00,Benfica,Arsenal,38,19
25.10. 16:00,ABC Braga,Maritimo,27,24
25.10. 14:00,Belenenses,Vitoria SC,31,24
25.10. 14:00,Gaia,Povoa,25,28
25.10. 14:00,Porto,Aguas Santas,35,32
19.10. 16:00,Povoa,Sporting,18,34
18.10. 17:00,Arsenal,Gaia,21,22
18.10. 17:00,Avanca,Belenenses,33,31
18.10. 16:30,Vitoria SC,Porto,22,38
18.10. 14:00,Aguas Santas,ABC Braga,26,23
17.10. 17:00,Maritimo,Benfica,30,38
12.10. 15:00,Maritimo,Arsenal,37,26
11.10. 17:30,Sporting,Gaia,45,28
11.10. 16:00,ABC Braga,Vitoria SC,28,27
11.10. 14:00,Belenenses,Povoa,27,30
11.10. 13:30,Benfica,Aguas Santas,26,22
10.10. 19:00,Porto,Avanca,46,30
04.10. 18:00,Povoa,Porto,26,35
04.10. 17:00,Arsenal,Sporting,22,42
04.10. 17:00,Avanca,ABC Braga,30,34
04.10. 16:30,Gaia,Belenenses,26,39
04.10. 14:00,Aguas Santas,Maritimo,22,29
04.10. 14:00,Vitoria SC,Benfica,31,32
01.10. 20:00,Aguas Santas,Arsenal,33,17
01.10. 19:30,Benfica,Avanca,48,31
01.10. 19:00,ABC Braga,Povoa,32,26
01.10. 19:00,Belenenses,Sporting,26,43
01.10. 19:00,Porto,Gaia,48,26
01.10. 17:30,Maritimo,Vitoria SC,34,23
