date,home,away
14.03. 20:00,Avanca,Porto
28.03. 17:00,ABC Braga,Belenenses
28.03. 18:00,Avanca,Gaia
28.03. 18:00,Porto,Sporting
28.03. 21:30,Vitoria SC,Arsenal
11.04. 14:00,ABC Braga,Povoa
11.04. 14:00,Porto,Benfica
11.04. 15:00,Vitoria SC,Avanca
11.04. 17:00,Arsenal,Gaia
25.04. 15:30,Povoa,Belenenses
25.04. 16:00,Benfica,Sporting
25.04. 17:00,Avanca,Arsenal
25.04. 17:30,Gaia,Vitoria SC
02.05. 15:00,Belenenses,ABC Braga
02.05. 15:00,Sporting,Porto
02.05. 17:00,Arsenal,Vitoria SC
02.05. 17:00,Gaia,Avanca
09.05. 14:00,Benfica,Porto
09.05. 15:30,Povoa,ABC Braga
09.05. 17:00,Avanca,Vitoria SC
09.05. 17:00,Gaia,Arsenal
23.05. 17:00,Belenenses,Povoa
23.05. 17:00,Arsenal,Avanca
23.05. 17:00,Vitoria SC,Gaia
23.05. 17:00,Sporting,Benfica
