date,home,away,home_score,away_score
15.03. 12:45,Guardes W,Porrino W,18,27
14.03. 20:00,Lanzarote Zonzamas W,Malaga W,20,22
14.03. 18:30,Gran Canaria W,Elche-Mustang W,24,19
14.03. 18:30,Morvedre W,Aula Valladolid W,24,17
14.03. 18:00,Sporting La Rioja W,San Jose Obrero W,28,24
14.03. 17:00,Bera Bera W,Elda Prestigia W,26,25
14.03. 17:00,BM Granollers W,Beti-Onak W,20,25
10.03. 18:00,Beti-Onak W,Guardes W,24,19
01.03. 11:25,San Jose Obrero W,BM Granollers W,24,25
28.02. 18:45,Bera Bera W,Sporting La Rioja W,21,16
28.02. 18:00,Aula Valladolid W,Guardes W,24,26
28.02. 18:00,Malaga W,Morvedre W,29,21
28.02. 17:15,Porrino W,Gran Canaria W,18,20
28.02. 17:00,Beti-Onak W,Lanzarote Zonzamas W,32,23
28.02. 17:00,Elda Prestigia W,Elche-Mustang W,21,22
22.02. 18:00,Sporting La Rioja W,Elda Prestigia W,21,16
22.02. 12:00,Guardes W,Malaga W,19,25
22.02. 12:00,Lanzarote Zonzamas W,San Jose Obrero W,27,28
21.02. 18:30,Gran Canaria W,Aula Valladolid W,35,28
21.02. 18:30,Morvedre W,Beti-Onak W,23,26
21.02. 18:00,Elche-Mustang W,Porrino W,22,18
21.02. 17:00,BM Granollers W,Bera Bera W,18,29
18.02. 19:30,Porrino W,Aula Valladolid W,20,20
15.02. 12:00,Aula Valladolid W,Elche-Mustang W,20,20
14.02. 19:30,San Jose Obrero W,Morvedre W,20,22
14.02. 18:00,Malaga W,Gran Canaria W,26,20
14.02. 17:00,Bera Bera W,Lanzarote Zonzamas W,25,26
14.02. 17:00,Elda Prestigia W,Porrino W,27,27
14.02. 16:00,Sporting La Rioja W,BM Granollers W,27,23
07.02. 20:00,Lanzarote Zonzamas W,Sporting La Rioja W,17,16
07.02. 19:30,Gran Canaria W,Beti-Onak W,30,21
07.02. 18:30,Morvedre W,Bera Bera W,14,28
07.02. 18:00,Guardes W,San Jose Obrero W,25,20
07.02. 17:00,BM Granollers W,Elda Prestigia W,28,22
07.02. 12:45,Elche-Mustang W,Malaga W,22,27
01.02. 11:00,San Jose Obrero W,Gran Canaria W,19,21
