date,home,away,home_score,away_score
07.03. 15:30FRO,Barcelona II,Proin Triana,-,-
07.03. 17:00FRO,Balonmano Soria,Alcobendas,-,-
07.03. 17:30FRO,Oviedo,Puerto Sagunto,-,-
07.03. 18:00FRO,Agustinos Alicante,Benidorm,-,-
07.03. 18:00FRO,Malaga,Anaitasuna,-,-
07.03. 18:30FRO,Eivissa,Contazara Zaragoza,-,-
08.03. 11:00FRO,Burgos,Cisne,-,-
08.03. 11:30FRO,BM Sinfin,OAR Coruna,-,-
14.03. 17:30FRO,Puerto Sagunto,Malaga,-,-
14.03. 18:00FRO,Burgos,Agustinos Alicante,-,-
14.03. 18:00FRO,OAR Coruna,Benidorm,-,-
14.03. 18:30FRO,Anaitasuna,Balonmano Soria,-,-
14.03. 18:30FRO,Proin Triana,BM Sinfin,-,-
14.03. 19:00FRO,Cisne,Oviedo,-,-
14.03. 19:30FRO,Contazara Zaragoza,Barcelona II,-,-
15.03. 11:00FRO,Alcobendas,Eivissa,-,-
28.03. 15:30FRO,Barcelona II,Alcobendas,-,-
28.03. 17:00FRO,Balonmano Soria,Puerto Sagunto,-,-
28.03. 17:00FRO,BM Sinfin,Contazara Zaragoza,-,-
28.03. 17:00FRO,Malaga,Cisne,-,-
28.03. 17:30FRO,Oviedo,Burgos,-,-
28.03. 18:00FRO,Benidorm,Proin Triana,-,-
28.03. 18:00FRO,OAR Coruna,Agustinos Alicante,-,-
28.03. 18:30FRO,Eivissa,Anaitasuna,-,-
08.04. 18:00FRO,Puerto Sagunto,Agustinos Alicante,-,-
11.04. 17:00FRO,Burgos,Malaga,-,-
11.04. 17:30FRO,Contazara Zaragoza,Benidorm,-,-
11.04. 17:30FRO,Proin Triana,OAR Coruna,-,-
11.04. 18:00FRO,Cisne,Balonmano Soria,-,-
12.04. 10:00FRO,Anaitasuna,Barcelona II,-,-
12.04. 11:00FRO,Puerto Sagunto,Eivissa,-,-
12.04. 16:00FRO,Oviedo,Agustinos Alicante,-,-
12.04. 16:30FRO,Alcobendas,BM Sinfin,-,-
15.04. 16:00FRO,Benidorm,Burgos,-,-
19.04. 10:00FRO,Malaga,Oviedo,-,-
19.04. 16:00FRO,Agustinos Alicante,Proin Triana,-,-
19.04. 16:00FRO,Balonmano Soria,Burgos,-,-
19.04. 16:00FRO,Barcelona II,Puerto Sagunto,-,-
19.04. 16:00FRO,Benidorm,Alcobendas,-,-
19.04. 16:00FRO,BM Sinfin,Anaitasuna,-,-
19.04. 17:00FRO,OAR Coruna,Contazara Zaragoza,-,-
19.04. 18:00FRO,Eivissa,Cisne,-,-
26.04. 10:00FRO,Anaitasuna,Benidorm,-,-
26.04. 10:00FRO,Burgos,Eivissa,-,-
26.04. 16:00FRO,Alcobendas,OAR Coruna,-,-
26.04. 16:00FRO,Malaga,Agustinos Alicante,-,-
26.04. 16:00FRO,Oviedo,Balonmano Soria,-,-
26.04. 16:30FRO,Puerto Sagunto,BM Sinfin,-,-
26.04. 17:30FRO,Contazara Zaragoza,Proin Triana,-,-
26.04. 18:00FRO,Cisne,Barcelona II,-,-
03.05. 16:00FRO,Balonmano Soria,Malaga,-,-
03.05. 16:00FRO,Barcelona II,Burgos,-,-
03.05. 16:00FRO,Benidorm,Puerto Sagunto,-,-
03.05. 16:00FRO,BM Sinfin,Cisne,-,-
03.05. 16:00FRO,Contazara Zaragoza,Agustinos Alicante,-,-
03.05. 16:00FRO,OAR Coruna,Anaitasuna,-,-
03.05. 16:00FRO,Proin Triana,Alcobendas,-,-
03.05. 17:00FRO,Eivissa,Oviedo,-,-
10.05. 16:00FRO,Agustinos Alicante,Balonmano Soria,-,-
10.05. 16:00FRO,Alcobendas,Contazara Zaragoza,-,-
10.05. 16:00FRO,Oviedo,Barcelona II,-,-
10.05. 16:30FRO,Puerto Sagunto,OAR Coruna,-,-
10.05. 17:00FRO,Anaitasuna,Proin Triana,-,-
10.05. 17:00FRO,Burgos,BM Sinfin,-,-
10.05. 17:00FRO,Cisne,Benidorm,-,-
10.05. 17:00FRO,Malaga,Eivissa,-,-
