date,home,away,home_score,away_score
20.03. 18:00,Kristianstad W,Boden W,26,27
11.03. 18:00,Hallby W,Skara W,25,33
11.03. 18:00,Onnereds W,Aranas W,30,22
11.03. 18:00,Skuru W,Kungalvs W,26,24
11.03. 18:00,Vasteras W,Skovde W,29,31
11.03. 17:00,Savehof W,Boden W,29,25
10.03. 18:00,Kristianstad W,H 65 Hoor W,29,40
28.02. 14:00,Kungalvs W,Vasteras W,27,25
28.02. 13:30,Savehof W,Hallby W,36,25
28.02. 13:00,Aranas W,H 65 Hoor W,27,24
26.02. 18:00,Skovde W,Skuru W,28,33
25.02. 18:00,Boden W,Onnereds W,31,30
25.02. 18:00,Skara W,Kristianstad W,34,25
22.02. 13:00,Skuru W,Hallby W,24,27
21.02. 14:00,Kungalvs W,Aranas W,28,26
21.02. 13:00,H 65 Hoor W,Boden W,25,23
21.02. 13:00,Onnereds W,Skovde W,23,23
21.02. 13:00,Vasteras W,Skara W,28,24
18.02. 18:00,Kristianstad W,Savehof W,27,36
16.02. 18:00,Skovde W,Kungalvs W,27,19
14.02. 15:00,Skara W,Onnereds W,25,24
14.02. 13:00,Aranas W,Skuru W,17,34
13.02. 18:45,Savehof W,H 65 Hoor W,34,23
11.02. 18:00,Boden W,Vasteras W,26,31
11.02. 17:30,Hallby W,Kristianstad W,34,29
07.02. 15:00,Vasteras W,Aranas W,27,25
07.02. 14:00,Kungalvs W,Hallby W,19,29
07.02. 13:00,H 65 Hoor W,Skara W,31,24
07.02. 12:00,Skuru W,Savehof W,28,31
05.02. 18:00,Skovde W,Boden W,32,26
04.02. 17:00,Onnereds W,Kristianstad W,31,24
02.02. 17:30,Hallby W,H 65 Hoor W,28,36
01.02. 14:00,Aranas W,Skovde W,31,27
30.01. 17:30,Boden W,Kungalvs W,26,23
29.01. 18:00,Savehof W,Onnereds W,24,25
29.01. 18:00,Skara W,Skuru W,27,27
28.01. 18:00,Kristianstad W,Vasteras W,27,23
26.01. 18:00,Kungalvs W,Skara W,21,36
22.01. 18:00,Aranas W,Boden W,25,29
22.01. 18:00,H 65 Hoor W,Skuru W,25,24
22.01. 18:00,Onnereds W,Hallby W,29,19
22.01. 18:00,Skovde W,Kristianstad W,29,25
18.01. 13:00,H 65 Hoor W,Onnereds W,26,23
18.01. 13:00,Skuru W,Vasteras W,25,27
16.01. 18:00,Skara W,Skovde W,28,22
14.01. 18:00,Savehof W,Kungalvs W,35,24
14.01. 17:30,Hallby W,Aranas W,31,29
11.01. 16:30,Savehof W,Skovde W,29,28
11.01. 15:00,Skara W,Aranas W,29,24
10.01. 14:00,Kungalvs W,Kristianstad W,26,25
10.01. 14:00,Vasteras W,Hallby W,33,24
08.01. 18:00,Skovde W,H 65 Hoor W,26,20
07.01. 18:00,Aranas W,Savehof W,24,26
07.01. 18:00,Boden W,Skara W,23,22
07.01. 18:00,Skuru W,Onnereds W,17,20
04.01. 13:00,Onnereds W,Vasteras W,25,24
03.01. 16:00,Hallby W,Boden W,31,29
03.01. 13:00,H 65 Hoor W,Kungalvs W,46,16
03.01. 13:00,Skuru W,Kristianstad W,29,30
30.12. 18:00,Skovde W,Skara W,23,26
30.12. 17:00,Aranas W,Onnereds W,25,25
29.12. 18:00,Boden W,Hallby W,32,27
29.12. 18:00,Kristianstad W,Skuru W,33,26
29.12. 18:00,Kungalvs W,Savehof W,21,35
29.12. 17:00,Vasteras W,H 65 Hoor W,25,23
26.12. 14:00,Savehof W,Vasteras W,30,27
22.12. 18:00,H 65 Hoor W,Aranas W,36,24
21.12. 15:00,Onnereds W,Kungalvs W,24,21
21.12. 14:00,Hallby W,Skuru W,30,28
21.12. 14:00,Kristianstad W,Skovde W,22,24
20.12. 15:00,Skara W,Boden W,24,29
18.12. 18:00,Skovde W,Savehof W,25,34
17.12. 18:00,Boden W,Aranas W,28,27
17.12. 18:00,Kristianstad W,Hallby W,32,23
17.12. 18:00,Kungalvs W,H 65 Hoor W,18,25
17.12. 18:00,Skuru W,Skara W,31,34
17.12. 17:00,Vasteras W,Onnereds W,18,28
15.11. 13:00,H 65 Hoor W,Kristianstad W,36,29
14.11. 17:00,Onnereds W,Boden W,24,23
12.11. 18:00,Aranas W,Kungalvs W,27,27
12.11. 18:00,Hallby W,Skovde W,25,32
12.11. 18:00,Savehof W,Skuru W,34,23
12.11. 18:00,Skara W,Vasteras W,30,26
07.11. 18:00,Skuru W,Aranas W,30,22
07.11. 18:00,Vasteras W,Kungalvs W,33,21
06.11. 18:00,Kristianstad W,Skara W,25,34
06.11. 18:00,Skovde W,Onnereds W,18,25
05.11. 18:00,Boden W,H 65 Hoor W,35,24
05.11. 18:00,Hallby W,Savehof W,26,31
01.11. 14:00,Kungalvs W,Boden W,32,33
30.10. 18:00,H 65 Hoor W,Skovde W,36,26
29.10. 18:00,Aranas W,Vasteras W,26,26
29.10. 18:00,Onnereds W,Skuru W,22,23
29.10. 18:00,Savehof W,Kristianstad W,27,26
29.10. 18:00,Skara W,Hallby W,36,26
26.10. 13:00,Boden W,Savehof W,26,32
25.10. 14:00,Skara W,Kungalvs W,31,22
25.10. 13:00,Skovde W,Aranas W,33,32
25.10. 12:00,Hallby W,Vasteras W,29,36
25.10. 12:00,Kristianstad W,Onnereds W,30,34
25.10. 12:00,Skuru W,H 65 Hoor W,23,29
11.10. 13:00,Kungalvs W,Skovde W,19,24
11.10. 13:00,Vasteras W,Skuru W,19,25
11.10. 12:00,Aranas W,Hallby W,23,24
11.10. 12:00,Boden W,Kristianstad W,33,36
11.10. 12:00,H 65 Hoor W,Savehof W,31,22
11.10. 12:00,Onnereds W,Skara W,28,23
