date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,Champions League,Aalborg,Fuchse Berlin,63.5,1.62,1.91,2026-03-04T07:07:45Z
2026-03-04,Champions League,Aalborg,Fuchse Berlin,64.5,1.79,1.72,2026-03-04T07:07:45Z
2026-03-04,Champions League,Aalborg,Fuchse Berlin,65.5,1.97,1.58,2026-03-04T07:07:45Z
2026-03-04,Champions League,Eurofarm Pelister,PSG,58.5,1.61,1.92,2026-03-04T07:07:45Z
2026-03-04,Champions League,Eurofarm Pelister,PSG,59.5,1.77,1.74,2026-03-04T07:07:45Z
2026-03-04,Champions League,Eurofarm Pelister,PSG,60.5,1.97,1.58,2026-03-04T07:07:45Z
2026-03-04,Champions League,RK Zagreb,Wisla Plock,57.5,1.75,1.76,2026-03-04T07:07:45Z
2026-03-04,Champions League,Tauron Kielce,Sporting CP,63.5,1.6,1.94,2026-03-04T07:07:45Z
2026-03-04,Champions League,Tauron Kielce,Sporting CP,64.5,1.75,1.75,2026-03-04T07:07:45Z
2026-03-04,Champions League,Tauron Kielce,Sporting CP,65.5,1.93,1.61,2026-03-04T07:07:45Z
2026-03-05,Champions League,Dinamo Bucuresti,Kolstad Handball,60.5,1.62,1.91,2026-03-04T07:07:45Z
2026-03-05,Champions League,Dinamo Bucuresti,Kolstad Handball,61.5,1.78,1.73,2026-03-04T07:07:45Z
2026-03-05,Champions League,Dinamo Bucuresti,Kolstad Handball,62.5,1.97,1.58,2026-03-04T07:07:45Z
2026-03-05,Champions League,Magdeburg,Barcelona,61.5,1.59,1.95,2026-03-04T07:07:45Z
2026-03-05,Champions League,Magdeburg,Barcelona,62.5,1.75,1.76,2026-03-04T07:07:45Z
2026-03-05,Champions League,Magdeburg,Barcelona,63.5,1.93,1.61,2026-03-04T07:07:45Z
2026-03-05,Champions League,Nantes,Veszprem,63.5,1.63,1.89,2026-03-04T07:07:45Z
2026-03-05,Champions League,Nantes,Veszprem,64.5,1.8,1.71,2026-03-04T07:07:45Z
2026-03-05,Champions League,Nantes,Veszprem,65.5,1.98,1.57,2026-03-04T07:07:45Z
2026-03-05,Champions League,Pick Szeged,GOG,63.5,1.6,1.94,2026-03-04T07:07:45Z
2026-03-05,Champions League,Pick Szeged,GOG,64.5,1.76,1.75,2026-03-04T07:07:45Z
2026-03-05,Champions League,Pick Szeged,GOG,65.5,1.94,1.6,2026-03-04T07:07:45Z
