date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-05,Starligue,Dunkerque,Toulouse,56.5,1.54,2.04,2026-03-04T14:04:18Z
2026-03-05,Starligue,Dunkerque,Toulouse,57.5,1.68,1.83,2026-03-04T14:04:18Z
2026-03-05,Starligue,Dunkerque,Toulouse,58.5,1.86,1.66,2026-03-04T14:04:18Z
2026-03-06,Starligue,Istres Ouest Provence,Tremblay,60.5,1.6,1.95,2026-03-04T14:04:18Z
2026-03-06,Starligue,Istres Ouest Provence,Tremblay,61.5,1.75,1.76,2026-03-04T14:04:18Z
2026-03-06,Starligue,Istres Ouest Provence,Tremblay,62.5,1.94,1.6,2026-03-04T14:04:18Z
2026-03-06,Starligue,Rennes,Chambery,61.5,1.66,1.86,2026-03-04T14:04:18Z
2026-03-06,Starligue,Rennes,Chambery,62.5,1.83,1.68,2026-03-04T14:04:18Z
2026-03-06,Starligue,Rennes,Chambery,63.5,2.03,1.54,2026-03-04T14:04:18Z
2026-03-06,Starligue,Saint Raphael,Dijon Bourgogne H B,63.5,1.85,1.67,2026-03-04T14:04:18Z
