date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,2. Bundesliga,Ludwigshafen,Dormagen,59.5,1.54,2.04,2026-03-04T14:01:22Z
2026-03-04,2. Bundesliga,Ludwigshafen,Dormagen,60.5,1.68,1.83,2026-03-04T14:01:22Z
2026-03-04,2. Bundesliga,Ludwigshafen,Dormagen,61.5,1.86,1.66,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,56.5,1.65,1.88,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,57.5,1.81,1.7,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,58.5,2.03,1.54,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,56.5,1.67,1.85,2026-03-04T14:59:35Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,57.5,1.84,1.68,2026-03-04T14:59:35Z
2026-03-05,Bundesliga,Gummersbach,Lemgo,58.5,2.06,1.53,2026-03-04T14:59:35Z
2026-03-05,Bundesliga,Stuttgart,Kiel,60.5,1.61,1.93,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Stuttgart,Kiel,61.5,1.76,1.75,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Stuttgart,Kiel,62.5,1.96,1.59,2026-03-04T14:01:22Z
2026-03-05,Bundesliga,Stuttgart,Kiel,60.5,1.61,1.92,2026-03-04T14:59:35Z
2026-03-05,Bundesliga,Stuttgart,Kiel,61.5,1.77,1.74,2026-03-04T14:59:35Z
