date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,REMA 1000-ligaen,Halden,Kristiansand,1.92,7.09,2.09,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Naerboe IL,OIF Arendal,1.5,8.52,2.81,2026-03-04T14:04:41Z
2026-03-07,REMA 1000-ligaen,Runar,Elverum,4.01,10.03,1.26,2026-03-06T14:59:16Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,1.81,9.79,2.06,2026-03-06T20:49:20Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,1.83,8.9,2.07,2026-03-07T08:48:40Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,1.89,6.85,2.15,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,1.9,7.16,2.11,2026-03-07T19:58:05Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,1.91,7.23,2.09,2026-03-08T14:42:00Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.68,9.05,2.31,2026-03-06T20:49:20Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.79,6.88,2.29,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.76,7.38,2.29,2026-03-07T19:58:05Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.77,7.38,2.28,2026-03-08T08:47:59Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.78,7.38,2.26,2026-03-08T11:02:10Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,1.99,7.34,NA,2026-03-08T14:42:00Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,1.53,9.11,2.65,2026-03-06T20:49:20Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,1.57,7.48,2.7,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,1.56,8.36,2.63,2026-03-07T19:58:05Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,1.55,8.34,2.67,2026-03-08T11:02:10Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,1.5,8.28,2.85,2026-03-08T14:42:00Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,1.26,11.11,3.92,2026-03-06T20:49:20Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,1.25,11.93,3.91,2026-03-07T08:48:40Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,1.27,9.55,3.98,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,1.26,9.83,4.08,2026-03-07T19:58:05Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,8.92,14.97,1.04,2026-03-06T20:49:20Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,10.63,14.78,1.02,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,11.04,14.94,1.02,2026-03-07T19:58:05Z
2026-03-11,REMA 1000-ligaen,Drammen,Bergen Handball,2.06,6.84,1.97,2026-03-10T15:05:38Z
2026-03-11,REMA 1000-ligaen,Drammen,Bergen Handball,1.92,7.95,2.02,2026-03-10T20:51:05Z
2026-03-11,REMA 1000-ligaen,Drammen,Bergen Handball,1.94,7.51,2.03,2026-03-11T08:59:49Z
2026-03-11,REMA 1000-ligaen,Drammen,Bergen Handball,1.99,7.55,1.98,2026-03-11T15:05:33Z
2026-03-11,REMA 1000-ligaen,Sandefjord Handball,Runar,2.86,8.8,1.48,2026-03-10T15:05:38Z
2026-03-11,REMA 1000-ligaen,Sandefjord Handball,Runar,2.75,8.34,1.52,2026-03-10T20:51:05Z
2026-03-11,REMA 1000-ligaen,Sandefjord Handball,Runar,2.96,8.42,1.46,2026-03-11T15:05:33Z
2026-03-15,REMA 1000-ligaen,Arendal,Halden,1.47,9.41,2.81,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Drammen,Naerbo,1.53,9.47,2.63,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Elverum,Kolstad Handball,1.89,8.94,2.01,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Fjellhammer,Follo HK,1.73,9.41,2.2,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Kristiansand,Bergen Handball,2.76,10.2,1.47,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Runar,BSK Handball Elite,1.28,10.83,3.74,2026-03-13T15:07:42Z
2026-03-15,REMA 1000-ligaen,Sandnes HK,Sandefjord Handball,3.16,10.33,1.38,2026-03-13T15:07:42Z
